uuid;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_mediane_dbm;rssi_min_dbm;rssi_max_dbm;rssi_ecart_type_db;intervalle_moyen_ms;intervalle_mediane_ms;canal_37;canal_38;canal_39
00112233-4455-6677-8899-aabbcc33b3d5;1;1;-58.0;-58.0;-58.0;-58.0;0.0;;;0;1;0
00112233-4455-6677-8899-aabbcc9daff8;1;1;-64.0;-64.0;-64.0;-64.0;0.0;;;1;0;0
00112233-4455-6677-8899-aabbccdd9fbf;1;1;-61.0;-61.0;-61.0;-61.0;0.0;;;0;1;0
00112233-4455-6677-8899-aabbccddeeff;3714;2277;-57.525309639203016;-58.0;-83.0;-50.0;5.745502816125056;219.94620372711773;266.37542247772217;436;1618;1660
00112233-4455-8e4c-138e-4dd3713a2bce;1;1;-60.0;-60.0;-60.0;-60.0;0.0;;;0;1;0
00112233-44e5-9f13-063d-1f5d991400bc;1;1;-53.0;-53.0;-53.0;-53.0;0.0;;;0;0;1
e20a25e1-fa1a-d396-64a6-2d8655e5b511;1;1;-53.0;-53.0;-53.0;-53.0;0.0;;;0;0;1
e20a39f4-7314-18a0-8a37-982d5bfbef51;1;1;-52.0;-52.0;-52.0;-52.0;0.0;;;0;0;1
e20a39f4-73f5-4bc4-a12f-17d1ad07a961;3916;2409;-57.605720122574056;-58.0;-87.0;-50.0;5.587022388525133;214.12688885799156;262.1655464172363;558;1648;1710
e20a39f4-73f5-4bc4-a1cf-eb5dc704e25a;1;1;-58.0;-58.0;-58.0;-58.0;0.0;;;0;1;0
e20a39f4-73f5-4bc4-a1df-98bbd9d19a3c;1;1;-62.0;-62.0;-62.0;-62.0;0.0;;;0;1;0
e24ad590-fed8-2f90-b9f2-ab36f4ccfea7;1;1;-52.0;-52.0;-52.0;-52.0;0.0;;;0;0;1
