numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
7492,1784155333.770889044,1784155333.771080971,192.000,de:69:68:83:11:77,-68,37,14,0x02,LE 1M
7493,1784155333.864366055,1784155333.864501953,136.000,inconnue,-55,38,7,0x07,LE 1M
7494,1784155333.891071081,1784155333.891206980,136.000,inconnue,-62,39,7,0x07,LE 1M
7495,1784155333.908103943,1784155333.908383846,280.000,6b:64:f0:75:f7:1b,-79,37,25,0x00,LE 1M
7496,1784155333.986449957,1784155333.986585855,136.000,inconnue,-53,38,7,0x07,LE 1M
7497,1784155333.994837999,1784155333.994973898,136.000,inconnue,-59,39,7,0x07,LE 1M
7498,1784155334.122123957,1784155334.122395992,272.000,5c:6a:e6:84:89:d9,-75,37,24,0x00,LE 1M
7499,1784155334.149380922,1784155334.149516821,136.000,inconnue,-62,38,7,0x07,LE 1M
7500,1784155334.171314955,1784155334.171450853,136.000,inconnue,-60,39,7,0x07,LE 1M
7501,1784155334.214833021,1784155334.215112925,280.000,6b:64:f0:75:f7:1b,-79,37,25,0x00,LE 1M
7502,1784155334.279685020,1784155334.279820919,136.000,inconnue,-68,38,7,0x07,LE 1M
7503,1784155334.308415890,1784155334.308551788,136.000,inconnue,-67,39,7,0x07,LE 1M
7504,1784155334.351511002,1784155334.351774931,264.000,5b:0e:82:ac:b5:80,-89,37,23,0x02,LE 1M
7505,1784155334.398924112,1784155334.399196148,272.000,inconnue,-73,38,24,0x0c,LE 1M
7506,1784155334.432585955,1784155334.432857990,272.000,5c:6a:e6:84:89:d9,-84,39,24,0x00,LE 1M
7507,1784155334.469685078,1784155334.469820976,136.000,inconnue,-70,37,7,0x07,LE 1M
7508,1784155334.544174910,1784155334.544310808,136.000,inconnue,-66,38,7,0x07,LE 1M
7509,1784155334.566493988,1784155334.566629887,136.000,inconnue,-74,39,7,0x07,LE 1M
7510,1784155334.631206036,1784155334.631478071,272.000,5c:52:b3:c2:63:e6,-84,37,24,0x00,LE 1M
7511,1784155334.674062967,1784155334.674335003,272.000,5c:52:b3:c2:63:e6,-96,38,24,0x00,LE 1M
7512,1784155334.713191986,1784155334.713464022,272.000,5c:6a:e6:84:89:d9,-83,39,24,0x00,LE 1M
7513,1784155334.735747099,1784155334.735882998,136.000,inconnue,-67,37,7,0x07,LE 1M
7514,1784155334.792495012,1784155334.792630911,136.000,inconnue,-64,38,7,0x07,LE 1M
7515,1784155334.820595980,1784155334.820731878,136.000,inconnue,-66,39,7,0x07,LE 1M
7516,1784155334.876888990,1784155334.877161026,272.000,62:2a:01:6b:af:fd,-89,37,24,0x04,LE 1M
7517,1784155334.922564983,1784155334.922837019,272.000,5c:6a:86:84:89:d9,-72,38,24,0x00,LE 1M
7518,1784155334.951492071,1784155334.951764107,272.000,5c:6a:e6:84:89:d9,-82,39,24,0x00,LE 1M
7519,1784155334.979490042,1784155334.979625940,136.000,inconnue,-66,37,7,0x07,LE 1M
7520,1784155335.023413897,1784155335.023589849,176.000,61:88:fd:ab:2b:54,-54,38,12,0x03,LE 1M
7521,1784155335.058679104,1784155335.058951139,272.000,45:de:c9:20:50:35,-80,39,24,0x00,LE 1M
7522,1784155335.093303919,1784155335.093583822,280.000,60:64:de:f5:64:c8,-96,37,25,0x00,LE 1M
7523,1784155335.119848967,1784155335.120024920,176.000,60:64:c6:f5:64:c8,-55,38,12,0x03,LE 1M
7524,1784155335.151777983,1784155335.151913881,136.000,inconnue,-66,39,7,0x07,LE 1M
7525,1784155335.181158066,1784155335.181430101,272.000,62:2a:01:6b:af:fc,-92,37,24,0x00,LE 1M
7526,1784155335.182676077,1784155335.182852030,176.000,5c:52:b3:c2:63:e6,-55,38,12,0x03,LE 1M
7527,1784155335.229387999,1784155335.229660034,272.000,5c:6a:e6:84:89:d9,-81,39,24,0x00,LE 1M
7528,1784155335.278851032,1784155335.279114962,264.000,51:3a:c6:48:bc:0e,-87,37,23,0x00,LE 1M
7529,1784155335.354662895,1784155335.354798794,136.000,inconnue,-65,38,7,0x07,LE 1M
7530,1784155335.379336119,1784155335.379472017,136.000,inconnue,-67,39,7,0x07,LE 1M
7531,1784155335.415426970,1784155335.415618896,192.000,c7:e2:46:27:ec:60,-76,37,14,0x02,LE 1M
7532,1784155335.501071930,1784155335.501207829,136.000,inconnue,-66,38,7,0x07,LE 1M
7533,1784155335.533132076,1784155335.533267975,136.000,inconnue,-67,39,7,0x07,LE 1M
7534,1784155335.534938097,1784155335.535202026,264.000,51:3a:c6:48:bc:0e,-85,37,23,0x00,LE 1M
7535,1784155335.567636013,1784155335.567915916,280.000,6b:64:f0:75:f7:1b,-88,38,25,0x00,LE 1M
7536,1784155335.595592976,1784155335.595865011,272.000,45:de:c9:20:50:35,-79,39,24,0x00,LE 1M
7537,1784155335.641865015,1784155335.642000914,136.000,inconnue,-70,37,7,0x07,LE 1M
7538,1784155335.765201092,1784155335.765336990,136.000,inconnue,-65,38,7,0x07,LE 1M
7539,1784155335.792378902,1784155335.792514801,136.000,inconnue,-66,39,7,0x07,LE 1M
7540,1784155335.837903023,1784155335.838166952,264.000,51:3a:c6:48:bc:0e,-86,37,23,0x00,LE 1M
7541,1784155335.915031910,1784155335.915167809,136.000,inconnue,-64,38,7,0x07,LE 1M
7542,1784155335.980725050,1784155335.980997086,272.000,5c:52:b3:c2:63:e6,-87,39,24,0x00,LE 1M
7543,1784155336.050472021,1784155336.050744057,272.000,5c:6a:e6:84:89:d9,-76,37,24,0x00,LE 1M
7544,1784155336.067707062,1784155336.067842960,136.000,inconnue,-64,38,7,0x07,LE 1M
