numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_dbm;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
305;1784208766.256443977;2989.296178;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208766.256812096;2.025;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
306;1784208767.548521042;2990.588255;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208767.548889160;1292.077;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
307;1784208767.574805975;2990.614540;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208767.575174093;26.285;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
308;1784208768.814620018;2991.854354;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208768.814988136;1239.814;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
309;1784208768.843121052;2991.882855;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208768.843489170;28.501;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
310;1784208770.101274014;2993.141008;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208770.101642132;1258.153;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
311;1784208771.380156994;2994.419891;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208771.380525112;1278.883;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
312;1784208771.407825947;2994.447560;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208771.408194065;27.669;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
313;1784208772.661303997;2995.701038;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208772.661672115;1253.478;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
314;1784208772.684370041;2995.724104;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208772.684738159;23.066;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
315;1784208773.970628023;2997.010362;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208773.970996141;1286.258;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
316;1784208774.018142939;2997.057877;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208774.018511057;47.515;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
317;1784208775.238826036;2998.278560;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208775.239194155;1220.683;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
318;1784208776.506882906;2999.546617;dc:a6:32:65:e5:71;36;0x00;-48;37;368.000;1784208776.507251024;1268.057;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
319;1784208776.529238939;2999.568973;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208776.529607058;22.356;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
320;1784208776.551954031;2999.591688;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208776.552322149;22.715;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
321;1784208777.787798882;3000.827533;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208777.788167000;1235.845;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
322;1784208777.820836067;3000.860570;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208777.821204185;33.037;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
323;1784208779.067168951;3002.106903;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208779.067537069;1246.333;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
324;1784208779.069291115;3002.109025;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208779.069659233;2.122;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
325;1784208780.352781057;3003.392515;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208780.353149176;1283.490;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
326;1784208780.379419088;3003.419153;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208780.379787207;26.638;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
327;1784208781.631272078;3004.671006;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208781.631640196;1251.853;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
328;1784208781.673855066;3004.713589;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208781.674223185;42.583;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
329;1784208782.910151958;3005.949886;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208782.910520077;1236.297;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
330;1784208782.932552099;3005.972286;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208782.932920218;22.400;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
331;1784208784.202253103;3007.241987;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208784.202621222;1269.701;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
