numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,4.4536566734313965,7.530821800231934,3.077165126800537,-29.0,1.2589254117941661e-06,3.8739213744160136e-06
2,20.314226627349854,24.487191200256348,4.172964572906494,-28.75,1.333521432163324e-06,5.564737693629082e-06
3,35.011168479919434,44.744662284851074,9.73349380493164,-28.333333333333332,1.4677992676220705e-06,1.4286815078282622e-05
4,45.82060742378235,47.85635423660278,2.0357468128204346,-29.0,1.2589254117941661e-06,2.5628533946386266e-06
5,50.98569893836975,55.12029409408569,4.134595155715942,-28.0,1.584893192461114e-06,6.552891715876897e-06
6,56.20454788208008,60.36169123649597,4.1571433544158936,-28.25,1.4962356560944329e-06,6.220066114373076e-06
