parametre;valeur
debut;2026-08-08T21:01:57.757218
motif_arret;arrêt manuel
nombre_mesures;7687
energie_totale_j;8.16299993752297e-10
simulation_activee;False
mcp3208_active;False
ble_actif;True
wifi_actif;False
