device_id;uuid_principal;adresse_mac_principale;uuid_observes;adresses_mac_observees;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_min_dbm;rssi_max_dbm;puissance_moyenne_nw;energie_totale_nj;longueur_moyenne_octets;longueur_min_octets;longueur_max_octets;intervalle_moyen_ms;canal_37;canal_38;canal_39
Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;74:1a:0c:1a:f3:d0;e20a3974-73f5-4bc4-a12f-17d1ad07a961 | e20a39b4-460e-622b-bc24-9c6292fb2e6c | e20a39f4-7395-10ef-ee47-82125041b657 | e20a39f4-73e5-4bc4-a12f-17d1ad07a961 | e20a39f4-73f5-0bc4-a12f-17d1ad07a961 | e20a39f4-73f5-4b06-9e2d-776e4fde14c0 | e20a39f4-73f5-4bc4-a12f-17d0ad07a961 | e20a39f4-73f5-4bc4-a12f-17d131d996e5 | e20a39f4-73f5-4bc4-a12f-17d17d1a10c4 | e20a39f4-73f5-4bc4-a12f-17d1ad07a961 | e20a39f4-73f5-4bc4-a12f-17d1ad07ab61 | e20a39f4-73f5-4bc4-a12f-17d1adce5356 | e20a39f4-73f5-4bc4-a12f-17d1bd07d961 | e20a39f4-73f5-4bc4-a12f-37d1ad07a9e1 | e20a39f4-73f5-4bc4-a13b-cc9d5e943d85 | e20a39f4-73f5-4bc4-a13f-17d1ad07a961 | e20a39f4-73f5-4bc4-a1af-17d1ad072961 | e20a39f4-73f5-4bc4-a1af-77b1987f6941 | e20a39f4-73f5-4fc4-a12f-17ddad07a961 | e20a39f4-73f5-5bc4-a12f-17d1ad07a961 | e20a39f4-e3f5-4bc4-a12f-17d1ad07a961 | e20af9e2-9d7a-171f-6b38-66af441fee58 | e21239f4-73f5-0bc4-a12f-17d1ad07a961;44:1a:0c:1a:f3:d0 | 74:1a:0c:1a:f3:10 | 74:1a:0c:1a:f3:d0 | 74:1a:0c:da:f3:d0 | 74:2a:0c:1a:f3:d0;322;314;-70.45962732919254;-91.0;-60.0;0.35525617083405325;0.03935101553094641;33;33;33;190.19022993386363;67;141;114
Appareil_002;e20a39f4-73f5-4bc4-a12f-17d10dd97ffa;74:1a:08:1a:f3:d0;e20a39f4-73f5-4bc4-a12f-17d10dd97ffa;74:1a:08:1a:f3:d0;1;1;-87.0;-87.0;-87.0;0.001995262314968883;6.863702363492956e-07;33;33;33;;0;0;1
Appareil_003;e20639f4-73f5-4bc4-a12f-17d1ad07a961;74:1a:0d:9a:f3:d0;e20639f4-73f5-4bc4-a12f-17d1ad07a961;74:1a:0d:9a:f3:d0;1;1;-89.0;-89.0;-89.0;0.0012589254117941662;5.942127943668464e-07;49;49;49;;0;0;1
Appareil_004;e20a79f4-73f5-4fc4-a12f-97d0ad07a961;74:1a:0d:1a:f3:d0;e20a79f4-73f5-4fc4-a12f-97d0ad07a961;74:1a:0d:1a:f3:d0;1;1;-90.0;-90.0;-90.0;0.001;3.4399999999999996e-07;33;33;33;;0;0;1
Appareil_005;e20a39f4-73f5-cbc4-a12e-57d1ad072961;74:1a:0c:1a:f3:90;e20a39f4-73f5-cbc4-a12e-57d1ad072961;74:1a:0c:1a:f3:90;1;1;-87.0;-87.0;-87.0;0.001995262314968883;6.863702363492956e-07;33;33;33;;0;0;1
Appareil_006;e20a39f4-73f5-4bc4-a12f-17d1ad87a861;7c:1a:0c:5a:f3:d0;e20a39f4-73f5-4bc4-a12f-17d1ad87a861;7c:1a:0c:5a:f3:d0;1;1;-88.0;-88.0;-88.0;0.001584893192461111;5.452032582066221e-07;33;33;33;;0;0;1
Appareil_007;e20a3df4-77f5-4bc4-a12f-17d1ad07a961;70:1a:0c:1a:f3:d0;e20a3df4-77f5-4bc4-a12f-17d1ad07a961;70:1a:0c:1a:f3:d0;1;1;-91.0;-91.0;-91.0;0.0007943282347242822;2.73248912745153e-07;33;33;33;;0;0;1
Appareil_008;e20a39f4-73f5-4bc4-a12c-17d1a907a9e1;74:5a:0c:1a:f1:d0;e20a39f4-73f5-4bc4-a12c-17d1a907a9e1;74:5a:0c:1a:f1:d0;1;1;-84.0;-84.0;-84.0;0.003981071705534969;1.7198229767911067e-06;44;44;44;;0;0;1
