parametre;valeur
mode_acquisition;Durée limitée
duree_demandee_s;120
nombre_trames_demande;
heure_debut;2026-07-22T23:32:11.386719
heure_fin;2026-07-22T23:34:12.541000
duree_reelle_s;121.15421140400008
nombre_trames_final;1887
nombre_appareils_logiques;13
motif_arret;durée atteinte
regle_regroupement;meme UUID OU meme adresse MAC
grandeur_alerte;RSSI
seuil_vert_orange;-70
seuil_orange_rouge;-60
chronometre_demarre_a_la_premiere_trame;True
