temps_s,rssi_dbm
0.010190010070800781,-31
0.1200723648071289,-32
0.23218584060668945,-32
0.3419175148010254,-33
0.4517180919647217,-33
0.5614824295043945,-32
0.6712167263031006,-32
0.7809622287750244,-33
0.8907382488250732,-33
1.005086898803711,-33
1.1175217628479004,-33
1.2284951210021973,-33
1.3450980186462402,-33
1.4622995853424072,-33
1.576981544494629,-32
1.6868422031402588,-32
1.7965855598449707,-32
1.9060885906219482,-32
2.0159459114074707,-32
2.125554323196411,-32
2.2353997230529785,-32
2.345209836959839,-32
2.455045223236084,-32
2.565988302230835,-32
2.6757566928863525,-32
2.785396099090576,-32
2.895092725753784,-32
3.0046896934509277,-32
3.114352226257324,-32
3.2241721153259277,-32
3.3337464332580566,-32
3.4434311389923096,-32
3.5532078742980957,-33
3.6628339290618896,-34
3.7724616527557373,-33
3.882185935974121,-33
3.9918267726898193,-33
4.101446151733398,-33
4.210827350616455,-32
4.320485591888428,-32
4.430138111114502,-32
4.538832426071167,-30
4.6484692096710205,-29
4.758195400238037,-29
4.867890357971191,-29
4.97751522064209,-29
5.090382099151611,-29
5.2028648853302,-29
5.315314769744873,-29
5.4278481006622314,-28
5.540347099304199,-28
5.6491477489471436,-28
5.761470079421997,-28
5.873775005340576,-28
5.986431121826172,-28
6.098628759384155,-28
6.210816860198975,-28
6.323322296142578,-28
6.43567419052124,-28
6.549315929412842,-28
6.661716461181641,-29
6.7741992473602295,-29
6.886535882949829,-29
6.998919725418091,-29
7.111300945281982,-30
7.223784923553467,-30
7.336430072784424,-30
7.4486634731292725,-31
7.561071395874023,-31
7.67422080039978,-31
7.786520004272461,-31
7.89881706237793,-32
8.011055707931519,-32
8.123375177383423,-32
8.235996961593628,-32
8.348753452301025,-32
8.460898637771606,-32
8.574264526367188,-32
8.684326171875,-31
8.796411752700806,-31
8.90831995010376,-31
9.020434856414795,-30
9.132571697235107,-30
9.244831800460815,-29
9.356919765472412,-29
9.469091176986694,-29
9.583317756652832,-28
9.695640325546265,-28
9.807835817337036,-28
9.920673131942749,-28
10.032899856567383,-28
10.14415955543518,-29
10.256312608718872,-28
10.368144273757935,-28
10.480113506317139,-28
10.593198537826538,-28
10.705953359603882,-28
10.818374872207642,-28
10.930742263793945,-28
11.0431489944458,-28
11.156147956848145,-28
11.262742519378662,-32
11.372375011444092,-37
11.482038259506226,-39
11.590721607208252,-39
11.700341939926147,-37
11.809993028640747,-37
11.91879916191101,-35
12.028420686721802,-34
12.138017892837524,-33
12.246960639953613,-29
12.356892585754395,-29
12.466567516326904,-29
12.576029062271118,-29
12.685698509216309,-28
12.794782400131226,-28
12.904374361038208,-28
13.014003992080688,-28
13.122774124145508,-28
13.232390642166138,-28
13.342004537582397,-28
13.450805425643921,-28
13.56055474281311,-28
13.670364141464233,-28
13.779898405075073,-28
13.889606714248657,-28
13.998837232589722,-28
14.108582973480225,-28
14.218437910079956,-28
14.328125238418579,-28
14.437871932983398,-28
14.547592878341675,-28
14.657299518585205,-28
14.767006635665894,-28
14.876726150512695,-29
14.986506938934326,-29
15.096246480941772,-30
15.205906867980957,-30
15.315674304962158,-30
15.425328016281128,-31
15.535171747207642,-31
15.64833927154541,-32
15.75833010673523,-32
15.868061542510986,-32
15.97783088684082,-32
16.087533473968506,-32
16.197258234024048,-32
16.310521602630615,-32
16.422175407409668,-32
16.534608364105225,-32
16.64686417579651,-32
16.75938105583191,-32
16.87213659286499,-32
16.984595775604248,-32
17.096818447113037,-32
17.20909595489502,-32
17.321494340896606,-32
17.434054613113403,-32
17.54641079902649,-32
17.65544033050537,-32
17.767879724502563,-32
17.880086421966553,-32
17.992530584335327,-32
18.1048903465271,-32
18.217236757278442,-32
18.32948613166809,-32
18.44170832633972,-32
18.55396580696106,-32
18.665838479995728,-32
18.778187036514282,-32
18.89054822921753,-32
19.00408625602722,-32
19.11639714241028,-32
19.228707551956177,-32
19.341123819351196,-32
19.45375633239746,-32
19.56827664375305,-32
19.68072199821472,-32
19.793046474456787,-33
19.90536403656006,-33
20.017938137054443,-33
20.130077362060547,-33
20.242363691329956,-33
20.35550856590271,-32
20.468023538589478,-32
20.582013607025146,-32
20.694467067718506,-32
20.806875467300415,-32
20.919186115264893,-32
21.031678438186646,-32
21.144129514694214,-32
21.256383180618286,-32
21.368712902069092,-32
21.481676816940308,-32
21.594114303588867,-33
21.70645809173584,-33
21.818809986114502,-33
21.931129693984985,-33
22.04375696182251,-34
22.156047344207764,-34
22.268568754196167,-34
22.380874633789062,-34
22.494563817977905,-34
22.606932640075684,-33
22.719186782836914,-33
22.83171534538269,-33
22.944297790527344,-33
23.05726456642151,-32
23.16963243484497,-32
23.282085180282593,-32
23.394500494003296,-32
23.507463693618774,-31
23.619789123535156,-31
23.732253074645996,-34
23.84445333480835,-33
23.95674753189087,-33
24.068963527679443,-32
24.181635856628418,-32
24.2939395904541,-32
24.406150102615356,-31
24.518561124801636,-31
24.63083028793335,-29
24.743098497390747,-28
24.855854511260986,-28
24.968141317367554,-28
25.080386638641357,-28
25.19266176223755,-27
25.304436683654785,-27
25.416382789611816,-27
25.528397798538208,-27
25.640431880950928,-28
25.75304627418518,-28
25.866689920425415,-28
25.97948384284973,-28
26.09168004989624,-28
26.204137325286865,-28
26.316458225250244,-28
26.428772449493408,-28
26.541009664535522,-28
26.652631282806396,-28
26.764220237731934,-29
26.87698745727539,-29
26.988577365875244,-30
27.100816011428833,-30
27.21319603919983,-30
27.325619220733643,-30
27.438114643096924,-30
27.549785375595093,-31
27.66152834892273,-31
27.773280143737793,-31
27.88532567024231,-31
27.996944904327393,-31
28.109102249145508,-32
28.221383571624756,-31
28.33361315727234,-31
28.44596219062805,-31
28.558173179626465,-31
28.67049479484558,-31
28.78263235092163,-30
28.89480495452881,-31
29.007266521453857,-30
29.11970281600952,-29
29.232558250427246,-30
29.3508038520813,-30
29.462254524230957,-30
29.57604742050171,-30
29.688204050064087,-30
29.80031681060791,-30
29.912259340286255,-30
30.024488925933838,-30
30.1368088722229,-30
30.24901247024536,-30
30.361669540405273,-30
30.47393012046814,-30
30.586191654205322,-30
30.698535680770874,-30
30.81099510192871,-30
30.92395329475403,-30
31.036373138427734,-30
31.14875602722168,-30
31.261064291000366,-30
31.373472213745117,-30
31.485666513442993,-29
31.598043203353882,-29
31.710356950759888,-30
31.81942868232727,-29
31.932658433914185,-29
32.04589557647705,-30
32.158018827438354,-30
32.270427227020264,-30
32.38277769088745,-30
32.49515962600708,-30
32.607484579086304,-30
32.71977782249451,-30
32.8319365978241,-30
32.94432353973389,-30
33.05674362182617,-30
33.169898986816406,-30
33.28218364715576,-30
33.394421339035034,-30
33.50664210319519,-30
33.618152379989624,-30
33.72926688194275,-30
33.84135985374451,-30
33.95353817939758,-30
34.06574010848999,-30
34.17797517776489,-30
34.29085922241211,-30
34.40320563316345,-30
34.51517701148987,-30
34.62748575210571,-30
34.739667892456055,-30
34.85188126564026,-29
34.96406388282776,-29
35.0763099193573,-30
35.18825173377991,-29
35.30102038383484,-29
35.4133243560791,-29
35.52574801445007,-29
35.6431839466095,-29
35.75548481941223,-29
35.86785554885864,-29
35.97961139678955,-30
36.09215211868286,-30
36.20452690124512,-30
36.31612825393677,-30
36.428569078445435,-30
36.54116892814636,-30
36.65395140647888,-30
36.766480922698975,-30
36.878973960876465,-30
36.994245290756226,-30
37.105597257614136,-30
37.217833042144775,-30
37.32993674278259,-30
37.44206762313843,-30
37.55427575111389,-30
37.66659641265869,-30
37.77911996841431,-30
37.891197204589844,-30
38.00345420837402,-30
38.11567664146423,-30
38.22814917564392,-30
38.34043765068054,-30
38.45321536064148,-30
38.565619468688965,-30
38.67796516418457,-30
38.790175914764404,-30
38.90324115753174,-30
39.01570010185242,-30
39.12805366516113,-30
