temps_s,rssi_dbm,puissance_w
0.010587692260742188,-32,6.30957344480193e-07
0.8705885410308838,-29,1.2589254117941661e-06
1.469712257385254,-29,1.2589254117941661e-06
2.11295223236084,-30,1e-06
2.7000949382781982,-31,7.943282347242822e-07
3.3266546726226807,-34,3.981071705534969e-07
3.918538808822632,-30,1e-06
4.534198999404907,-29,1.2589254117941661e-06
5.143096446990967,-29,1.2589254117941661e-06
5.716674566268921,-29,1.2589254117941661e-06
6.313093662261963,-30,1e-06
6.9009058475494385,-30,1e-06
7.512178182601929,-31,7.943282347242822e-07
8.113761901855469,-32,6.30957344480193e-07
8.724748849868774,-30,1e-06
9.293442487716675,-31,7.943282347242822e-07
9.85318660736084,-33,5.011872336272725e-07
10.435029029846191,-36,2.5118864315095823e-07
11.026562452316284,-37,1.9952623149688787e-07
11.59229063987732,-37,1.9952623149688787e-07
12.174034595489502,-36,2.5118864315095823e-07
12.750106811523438,-33,5.011872336272725e-07
13.335488557815552,-34,3.981071705534969e-07
13.926750898361206,-35,3.162277660168379e-07
14.51853609085083,-36,2.5118864315095823e-07
15.111532926559448,-35,3.162277660168379e-07
15.782637596130371,-36,2.5118864315095823e-07
16.3888521194458,-34,3.981071705534969e-07
16.972715854644775,-34,3.981071705534969e-07
17.56849193572998,-34,3.981071705534969e-07
18.169580698013306,-34,3.981071705534969e-07
18.76229190826416,-32,6.30957344480193e-07
19.35759687423706,-30,1e-06
19.96593451499939,-30,1e-06
20.582512617111206,-31,7.943282347242822e-07
21.13811731338501,-34,3.981071705534969e-07
21.690046548843384,-35,3.162277660168379e-07
22.245631456375122,-35,3.162277660168379e-07
22.796042680740356,-35,3.162277660168379e-07
23.34876775741577,-34,3.981071705534969e-07
23.911206483840942,-30,1e-06
24.477291345596313,-29,1.2589254117941661e-06
25.04599165916443,-31,7.943282347242822e-07
25.61277151107788,-30,1e-06
26.18085479736328,-30,1e-06
26.747326612472534,-30,1e-06
27.32282590866089,-30,1e-06
27.88989019393921,-31,7.943282347242822e-07
28.45849895477295,-33,5.011872336272725e-07
29.026390552520752,-34,3.981071705534969e-07
29.609730005264282,-36,2.5118864315095823e-07
30.199883937835693,-35,3.162277660168379e-07
30.78053045272827,-37,1.9952623149688787e-07
31.361433744430542,-37,1.9952623149688787e-07
31.94312310218811,-36,2.5118864315095823e-07
32.531790018081665,-36,2.5118864315095823e-07
33.11575508117676,-33,5.011872336272725e-07
33.70990324020386,-34,3.981071705534969e-07
34.30969786643982,-32,6.30957344480193e-07
34.911893367767334,-32,6.30957344480193e-07
35.505638122558594,-33,5.011872336272725e-07
36.10245394706726,-32,6.30957344480193e-07
36.736910820007324,-32,6.30957344480193e-07
37.34106492996216,-31,7.943282347242822e-07
37.93700122833252,-32,6.30957344480193e-07
38.53247857093811,-31,7.943282347242822e-07
39.14365100860596,-29,1.2589254117941661e-06
39.76243782043457,-29,1.2589254117941661e-06
40.37368893623352,-30,1e-06
40.987674951553345,-31,7.943282347242822e-07
41.544288635253906,-33,5.011872336272725e-07
42.102577924728394,-34,3.981071705534969e-07
42.665146350860596,-33,5.011872336272725e-07
43.2256646156311,-34,3.981071705534969e-07
43.78166890144348,-32,6.30957344480193e-07
44.3380925655365,-29,1.2589254117941661e-06
44.89616346359253,-29,1.2589254117941661e-06
45.45388078689575,-29,1.2589254117941661e-06
46.10560894012451,-30,1e-06
46.66009473800659,-31,7.943282347242822e-07
47.218021631240845,-32,6.30957344480193e-07
47.77338981628418,-34,3.981071705534969e-07
48.342570304870605,-31,7.943282347242822e-07
48.91285276412964,-29,1.2589254117941661e-06
49.49095797538757,-29,1.2589254117941661e-06
50.06350088119507,-29,1.2589254117941661e-06
50.63173007965088,-29,1.2589254117941661e-06
51.20416975021362,-30,1e-06
51.77291703224182,-31,7.943282347242822e-07
52.34330081939697,-32,6.30957344480193e-07
52.92291784286499,-30,1e-06
53.695711612701416,-30,1e-06
54.418477058410645,-30,1e-06
