temps_s,rssi_dbm,puissance_w
0.010246753692626953,-29,1.2589254117941661e-06
0.885326623916626,-29,1.2589254117941661e-06
1.4242677688598633,-28,1.584893192461114e-06
2.0058977603912354,-28,1.584893192461114e-06
2.6067006587982178,-28,1.584893192461114e-06
3.1809349060058594,-29,1.2589254117941661e-06
3.7382235527038574,-29,1.2589254117941661e-06
4.311857461929321,-28,1.584893192461114e-06
4.855753183364868,-28,1.584893192461114e-06
5.401922225952148,-28,1.584893192461114e-06
5.950967788696289,-28,1.584893192461114e-06
6.50941276550293,-28,1.584893192461114e-06
7.078216075897217,-28,1.584893192461114e-06
7.649143218994141,-28,1.584893192461114e-06
8.234137058258057,-28,1.584893192461114e-06
8.767584800720215,-28,1.584893192461114e-06
9.300731658935547,-27,1.9952623149688787e-06
9.828504085540771,-24,3.981071705534969e-06
10.376468420028687,-24,3.981071705534969e-06
10.925289630889893,-23,5.011872336272725e-06
11.461311340332031,-24,3.981071705534969e-06
12.01318645477295,-26,2.5118864315095823e-06
12.572340250015259,-31,7.943282347242822e-07
13.09525203704834,-30,1e-06
13.616203784942627,-23,5.011872336272725e-06
14.196376085281372,-23,5.011872336272725e-06
14.772958993911743,-23,5.011872336272725e-06
15.427285194396973,-25,3.162277660168379e-06
16.01546597480774,-27,1.9952623149688787e-06
16.602118253707886,-29,1.2589254117941661e-06
17.169984102249146,-29,1.2589254117941661e-06
17.755527019500732,-28,1.584893192461114e-06
18.331372022628784,-25,3.162277660168379e-06
18.912237644195557,-24,3.981071705534969e-06
19.49073624610901,-24,3.981071705534969e-06
20.0903582572937,-24,3.981071705534969e-06
20.680948495864868,-26,2.5118864315095823e-06
21.219056129455566,-28,1.584893192461114e-06
21.75434160232544,-28,1.584893192461114e-06
22.28874111175537,-28,1.584893192461114e-06
22.85106873512268,-28,1.584893192461114e-06
23.39480972290039,-24,3.981071705534969e-06
23.932902336120605,-24,3.981071705534969e-06
24.482614755630493,-24,3.981071705534969e-06
25.0351881980896,-25,3.162277660168379e-06
25.585452556610107,-27,1.9952623149688787e-06
