numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,0.010246753692626953,12.572340250015259,12.562093496322632,-27.272727272727273,1.873817422860383e-06,2.3539069661010453e-05
2,13.616203784942627,32.94433903694153,19.3281352519989,-26.058823529411764,2.478093263258942e-06,4.789692175933615e-05
3,33.60494041442871,51.12993097305298,17.524990558624268,-26.344827586206897,2.3201562933498166e-06,4.0660717135488214e-05
4,51.695109128952026,92.87105631828308,41.175947189331055,-26.028985507246375,2.495177521334324e-06,0.00010274129784646808
5,94.03179478645325,111.18888425827026,17.157089471817017,-25.689655172413794,2.6979536400730018e-06,4.6289031993546894e-05
6,111.80833196640015,118.67871737480164,6.870385408401489,-27.0,1.9952623149688787e-06,1.370822109469556e-05
7,119.29520058631897,132.87731003761292,13.582109451293945,-26.681818181818183,2.146931469159245e-06,2.9159858198548175e-05
8,134.1222493648529,170.61423015594482,36.49198079109192,-26.24561403508772,2.373769779285321e-06,8.662356118815445e-05
9,171.24639296531677,192.99050164222717,21.7441086769104,-26.205882352941178,2.3955859908360607e-06,5.2089882129623385e-05
10,193.644695520401,225.53313970565796,31.888444185256958,-25.98076923076923,2.523033848276466e-06,8.045562404827816e-05
11,232.18626976013184,232.7845230102539,0.5982532501220703,-29.0,1.2589254117941661e-06,7.531562192671257e-07
12,233.37623476982117,233.97695207595825,0.600717306137085,-29.0,1.2589254117941661e-06,7.562582820005119e-07
13,308.33060121536255,376.1042878627777,67.77368664741516,-25.229357798165136,2.9996060452506322e-06,0.00020329436017650857
14,379.91710138320923,382.4270942211151,2.509992837905884,-28.0,1.584893192461114e-06,3.9780705619231875e-06
15,386.2348029613495,388.14618492126465,1.9113819599151611,-28.0,1.584893192461114e-06,3.029336256462521e-06
16,407.98523116111755,412.77421164512634,4.788980484008789,-24.875,3.25461783498046e-06,1.558630129462836e-05
