temps_s,rssi_dbm,puissance_w
0.01016998291015625,-46,2.511886431509582e-08
0.9664590358734131,-44,3.981071705534969e-08
1.562911033630371,-43,5.011872336272725e-08
2.1766905784606934,-46,2.511886431509582e-08
2.7417542934417725,-45,3.162277660168379e-08
3.3501076698303223,-44,3.981071705534969e-08
3.9474408626556396,-43,5.011872336272725e-08
4.561103343963623,-42,6.30957344480193e-08
5.201449394226074,-42,6.30957344480193e-08
5.789388179779053,-41,7.943282347242822e-08
6.37719202041626,-43,5.011872336272725e-08
6.961724758148193,-45,3.162277660168379e-08
7.560246706008911,-45,3.162277660168379e-08
8.155521869659424,-45,3.162277660168379e-08
8.766021251678467,-44,3.981071705534969e-08
9.322832584381104,-43,5.011872336272725e-08
9.88590383529663,-42,6.30957344480193e-08
10.459162950515747,-42,6.30957344480193e-08
11.037625074386597,-42,6.30957344480193e-08
11.614504337310791,-42,6.30957344480193e-08
12.219821214675903,-42,6.30957344480193e-08
12.825883388519287,-43,5.011872336272725e-08
13.416866779327393,-43,5.011872336272725e-08
14.016982793807983,-44,3.981071705534969e-08
14.644576072692871,-43,5.011872336272725e-08
15.333671808242798,-42,6.30957344480193e-08
15.99107027053833,-41,7.943282347242822e-08
16.602877616882324,-42,6.30957344480193e-08
17.19332003593445,-42,6.30957344480193e-08
17.804354906082153,-42,6.30957344480193e-08
18.405925512313843,-41,7.943282347242822e-08
19.006335258483887,-45,3.162277660168379e-08
19.60357141494751,-53,5.011872336272715e-09
20.203514575958252,-55,3.1622776601683795e-09
20.81441640853882,-53,5.011872336272715e-09
21.367886304855347,-45,3.162277660168379e-08
21.92348027229309,-47,1.9952623149688786e-08
22.480311155319214,-52,6.309573444801943e-09
23.035839557647705,-53,5.011872336272715e-09
23.587229013442993,-53,5.011872336272715e-09
24.142775535583496,-49,1.2589254117941661e-08
24.712482213974,-46,2.511886431509582e-08
25.282688856124878,-41,7.943282347242822e-08
25.85119080543518,-41,7.943282347242822e-08
26.419105768203735,-42,6.30957344480193e-08
26.995301008224487,-45,3.162277660168379e-08
27.562213897705078,-52,6.309573444801943e-09
28.132286310195923,-53,5.011872336272715e-09
28.700668811798096,-53,5.011872336272715e-09
29.29598832130432,-48,1.5848931924611143e-08
29.879963397979736,-42,6.30957344480193e-08
30.469647884368896,-41,7.943282347242822e-08
31.054009199142456,-41,7.943282347242822e-08
31.638721227645874,-40,1e-07
32.20391297340393,-40,1e-07
32.76455497741699,-40,1e-07
33.33043336868286,-44,3.981071705534969e-08
33.895721197128296,-45,3.162277660168379e-08
34.47329521179199,-44,3.981071705534969e-08
35.04858088493347,-40,1e-07
35.62114381790161,-35,3.162277660168379e-07
36.21388506889343,-31,7.943282347242822e-07
36.804513454437256,-31,7.943282347242822e-07
37.39957928657532,-33,5.011872336272725e-07
37.99285626411438,-34,3.981071705534969e-07
38.588749170303345,-34,3.981071705534969e-07
39.19620633125305,-34,3.981071705534969e-07
39.799638748168945,-32,6.30957344480193e-07
40.40814566612244,-30,1e-06
41.07967448234558,-28,1.584893192461114e-06
41.67544412612915,-29,1.2589254117941661e-06
42.275737047195435,-29,1.2589254117941661e-06
42.86749005317688,-28,1.584893192461114e-06
43.47072744369507,-28,1.584893192461114e-06
44.06312799453735,-28,1.584893192461114e-06
44.655521869659424,-30,1e-06
45.2545120716095,-32,6.30957344480193e-07
45.85401940345764,-33,5.011872336272725e-07
46.4504292011261,-34,3.981071705534969e-07
47.043846130371094,-32,6.30957344480193e-07
47.63934564590454,-27,1.9952623149688787e-06
48.261791706085205,-27,1.9952623149688787e-06
48.866289138793945,-27,1.9952623149688787e-06
49.47563862800598,-28,1.584893192461114e-06
50.081828355789185,-30,1e-06
50.695316314697266,-33,5.011872336272725e-07
51.30410099029541,-34,3.981071705534969e-07
51.93649768829346,-34,3.981071705534969e-07
52.54753804206848,-34,3.981071705534969e-07
53.16198229789734,-36,2.5118864315095823e-07
53.76940178871155,-37,1.9952623149688787e-07
54.38404607772827,-41,7.943282347242822e-08
54.991830587387085,-41,7.943282347242822e-08
55.60663557052612,-41,7.943282347242822e-08
56.21402597427368,-42,6.30957344480193e-08
56.825284004211426,-42,6.30957344480193e-08
57.4388644695282,-42,6.30957344480193e-08
58.07164812088013,-43,5.011872336272725e-08
58.692785024642944,-44,3.981071705534969e-08
59.31671071052551,-46,2.511886431509582e-08
59.93696355819702,-41,7.943282347242822e-08
60.573344469070435,-38,1.584893192461114e-07
61.1946222782135,-36,2.5118864315095823e-07
61.81462073326111,-36,2.5118864315095823e-07
62.43828511238098,-36,2.5118864315095823e-07
63.06599569320679,-35,3.162277660168379e-07
63.73042893409729,-36,2.5118864315095823e-07
64.35458779335022,-37,1.9952623149688787e-07
64.98160314559937,-39,1.2589254117941662e-07
65.6092848777771,-38,1.584893192461114e-07
66.2370057106018,-38,1.584893192461114e-07
66.85881328582764,-37,1.9952623149688787e-07
67.49405646324158,-37,1.9952623149688787e-07
68.22430300712585,-38,1.584893192461114e-07
68.85723972320557,-38,1.584893192461114e-07
69.49206709861755,-37,1.9952623149688787e-07
70.1259834766388,-37,1.9952623149688787e-07
70.76685976982117,-37,1.9952623149688787e-07
71.40399527549744,-37,1.9952623149688787e-07
72.03581500053406,-39,1.2589254117941662e-07
72.6718578338623,-40,1e-07
73.31554770469666,-39,1.2589254117941662e-07
73.9525785446167,-39,1.2589254117941662e-07
74.5863425731659,-40,1e-07
75.22327208518982,-40,1e-07
75.89605212211609,-41,7.943282347242822e-08
76.53065967559814,-40,1e-07
77.17987155914307,-40,1e-07
77.82712864875793,-40,1e-07
78.48872995376587,-40,1e-07
79.13760685920715,-40,1e-07
79.78229212760925,-38,1.584893192461114e-07
80.43127369880676,-35,3.162277660168379e-07
81.08687376976013,-35,3.162277660168379e-07
81.73234152793884,-35,3.162277660168379e-07
82.38158321380615,-35,3.162277660168379e-07
82.97526693344116,-35,3.162277660168379e-07
83.57717704772949,-36,2.5118864315095823e-07
84.17824673652649,-39,1.2589254117941662e-07
84.77161431312561,-40,1e-07
85.36904001235962,-40,1e-07
85.97149991989136,-40,1e-07
86.56790971755981,-37,1.9952623149688787e-07
87.16632294654846,-36,2.5118864315095823e-07
87.76005673408508,-35,3.162277660168379e-07
88.36627960205078,-36,2.5118864315095823e-07
88.96142506599426,-37,1.9952623149688787e-07
89.55822706222534,-39,1.2589254117941662e-07
90.18560147285461,-40,1e-07
90.78811407089233,-39,1.2589254117941662e-07
91.389883518219,-39,1.2589254117941662e-07
91.98427700996399,-40,1e-07
92.5785756111145,-40,1e-07
93.18389391899109,-39,1.2589254117941662e-07
93.77887296676636,-38,1.584893192461114e-07
94.37899398803711,-38,1.584893192461114e-07
94.97390151023865,-40,1e-07
95.60239434242249,-40,1e-07
96.30116820335388,-40,1e-07
96.90537929534912,-40,1e-07
97.51424980163574,-40,1e-07
98.11935234069824,-40,1e-07
98.72920799255371,-40,1e-07
99.3395562171936,-36,2.5118864315095823e-07
99.94448471069336,-36,2.5118864315095823e-07
100.55802655220032,-36,2.5118864315095823e-07
101.17124390602112,-36,2.5118864315095823e-07
101.77968978881836,-36,2.5118864315095823e-07
102.392911195755,-36,2.5118864315095823e-07
102.99704313278198,-37,1.9952623149688787e-07
103.60920786857605,-38,1.584893192461114e-07
104.2168390750885,-39,1.2589254117941662e-07
104.82497310638428,-43,5.011872336272725e-08
105.43856596946716,-41,7.943282347242822e-08
106.04928302764893,-37,1.9952623149688787e-07
106.65924835205078,-28,1.584893192461114e-06
107.26882123947144,-24,3.981071705534969e-06
107.8835940361023,-24,3.981071705534969e-06
108.50852036476135,-24,3.981071705534969e-06
109.12349700927734,-26,2.5118864315095823e-06
109.73919653892517,-28,1.584893192461114e-06
110.47273087501526,-29,1.2589254117941661e-06
111.39296007156372,-27,1.9952623149688787e-06
112.22041940689087,-25,3.162277660168379e-06
112.83863806724548,-24,3.981071705534969e-06
113.46220970153809,-25,3.162277660168379e-06
114.07882761955261,-27,1.9952623149688787e-06
114.72947597503662,-28,1.584893192461114e-06
115.36246156692505,-29,1.2589254117941661e-06
115.9917049407959,-30,1e-06
116.87219858169556,-29,1.2589254117941661e-06
117.51318693161011,-29,1.2589254117941661e-06
118.14165163040161,-29,1.2589254117941661e-06
118.77415585517883,-29,1.2589254117941661e-06
