numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,0.8705885410308838,2.11295223236084,1.242363691329956,-29.0,1.2589254117941661e-06,1.5640432217056851e-06
2,4.534198999404907,6.313093662261963,1.7788946628570557,-29.0,1.2589254117941661e-06,2.239495695975763e-06
3,24.477291345596313,25.04599165916443,0.5687003135681152,-29.0,1.2589254117941661e-06,7.159512764462109e-07
4,39.14365100860596,40.37368893623352,1.2300379276275635,-29.0,1.2589254117941661e-06,1.548526004560973e-06
5,44.3380925655365,46.10560894012451,1.7675163745880127,-29.0,1.2589254117941661e-06,2.2251712797311453e-06
6,48.91285276412964,51.20416975021362,2.2913169860839844,-29.0,1.2589254117941661e-06,2.8845971802567478e-06
7,64.0576286315918,65.86309766769409,1.805469036102295,-29.0,1.2589254117941661e-06,2.2729508497566977e-06
8,77.3349256515503,78.64964866638184,1.314723014831543,-29.0,1.2589254117941661e-06,1.6551382128420678e-06
9,86.85306143760681,87.41465473175049,0.5615932941436768,-29.0,1.2589254117941661e-06,7.070040690906705e-07
10,97.6497094631195,100.03517365455627,2.3854641914367676,-28.25,1.4962356560944329e-06,3.5692165795641677e-06
11,104.8417661190033,106.04423713684082,1.2024710178375244,-29.0,1.2589254117941661e-06,1.5138213213016555e-06
12,116.49727249145508,118.34900546073914,1.8517329692840576,-28.666666666666668,1.3593563908785242e-06,2.5171650459967498e-06
13,121.48075675964355,123.36140632629395,1.8806495666503906,-29.0,1.2589254117941661e-06,2.367597530135863e-06
14,123.98978090286255,125.8808696269989,1.8910887241363525,-29.0,1.2589254117941661e-06,2.3807396507726617e-06
15,130.85835456848145,131.48692679405212,0.6285722255706787,-29.0,1.2589254117941661e-06,7.913255479189422e-07
16,144.22969317436218,146.1290967464447,1.8994035720825195,-28.666666666666668,1.3593563908785242e-06,2.5819663845678704e-06
17,155.09389877319336,155.7395145893097,0.645615816116333,-29.0,1.2589254117941661e-06,8.127821571650812e-07
18,157.72289299964905,159.01401114463806,1.2911181449890137,-29.0,1.2589254117941661e-06,1.6254214423552138e-06
19,164.2013647556305,166.77031421661377,2.5689494609832764,-29.0,1.2589254117941661e-06,3.234115758046772e-06
20,169.30348420143127,173.11990308761597,3.8164188861846924,-28.833333333333332,1.3081774742601954e-06,4.9925532192479995e-06
21,175.0193383693695,176.92499947547913,1.9056611061096191,-28.666666666666668,1.3593563908785242e-06,2.590472603438748e-06
22,184.46843433380127,187.35552954673767,2.8870952129364014,-29.0,1.2589254117941661e-06,3.6346375298349246e-06
23,197.16113686561584,199.11243104934692,1.951294183731079,-29.0,1.2589254117941661e-06,2.45653383378521e-06
24,204.32657170295715,207.36545038223267,3.0388786792755127,-28.8,1.3182567385564074e-06,4.0060222966103404e-06
25,209.1574387550354,212.14649868011475,2.9890599250793457,-29.0,1.2589254117941661e-06,3.7630034970579545e-06
26,222.37652850151062,223.57754015922546,1.2010116577148438,-29.0,1.2589254117941661e-06,1.5119840957582538e-06
27,224.1856656074524,226.57650804519653,2.3908424377441406,-28.75,1.333521432163324e-06,3.1882396316574197e-06
28,235.0561866760254,235.65123796463013,0.5950512886047363,-29.0,1.2589254117941661e-06,7.491251885453669e-07
29,239.26747846603394,241.72658157348633,2.4591031074523926,-29.0,1.2589254117941661e-06,3.0958273921938167e-06
30,244.1928083896637,244.9225115776062,0.7297031879425049,-29.0,1.2589254117941661e-06,9.186418863680338e-07
31,246.17374110221863,246.78653240203857,0.6127912998199463,-29.0,1.2589254117941661e-06,7.714585394697082e-07
32,248.67005395889282,249.90721154212952,1.2371575832366943,-29.0,1.2589254117941661e-06,1.5574891199305308e-06
33,257.21598291397095,257.86459040641785,0.6486074924468994,-29.0,1.2589254117941661e-06,8.165484545214943e-07
34,258.48100066185,259.0967264175415,0.6157257556915283,-29.0,1.2589254117941661e-06,7.751528005362315e-07
35,259.71252846717834,260.95305705070496,1.2405285835266113,-29.0,1.2589254117941661e-06,1.5617329578586727e-06
36,282.68526792526245,283.30096983909607,0.6157019138336182,-29.0,1.2589254117941661e-06,7.751227854154439e-07
37,285.1577367782593,286.400532245636,1.242795467376709,-29.0,1.2589254117941661e-06,1.5645867955431464e-06
38,300.427396774292,302.3179545402527,1.8905577659606934,-29.0,1.2589254117941661e-06,2.3800712140327245e-06
39,304.2107174396515,311.22888255119324,7.018165111541748,-29.0,1.2589254117941661e-06,8.835346403087144e-06
40,321.9170472621918,323.1846671104431,1.2676198482513428,-29.0,1.2589254117941661e-06,1.59583883945828e-06
41,324.44369077682495,327.0004539489746,2.556763172149658,-29.0,1.2589254117941661e-06,3.218774129358667e-06
42,329.5313251018524,331.42904829978943,1.8977231979370117,-29.0,1.2589254117941661e-06,2.389091958434194e-06
43,342.3160049915314,342.95208168029785,0.6360766887664795,-29.0,1.2589254117941661e-06,8.007731073380099e-07
44,344.23211693763733,345.50484108924866,1.2727241516113281,-29.0,1.2589254117941661e-06,1.602264776667672e-06
45,349.4224805831909,351.33709692955017,1.914616346359253,-29.0,1.2589254117941661e-06,2.4103591722681642e-06
46,362.249568939209,362.8901665210724,0.6405975818634033,-29.0,1.2589254117941661e-06,8.06464574541732e-07
47,364.1791832447052,366.09470224380493,1.9155189990997314,-29.0,1.2589254117941661e-06,2.4114955447411784e-06
48,368.68615198135376,370.63101601600647,1.94486403465271,-29.0,1.2589254117941661e-06,2.448438755708826e-06
49,382.3145332336426,382.9728157520294,0.6582825183868408,-29.0,1.2589254117941661e-06,8.287285905370543e-07
50,384.9315128326416,386.2448101043701,1.3132972717285156,-29.0,1.2589254117941661e-06,1.6533433086189764e-06
