temps_s,rssi_dbm
0.014460563659667969,-26
0.46567773818969727,-26
0.8184573650360107,-26
1.2286505699157715,-26
1.5926437377929688,-27
1.9923439025878906,-27
2.3744544982910156,-27
2.7255077362060547,-26
3.085466146469116,-26
3.4592702388763428,-41
3.8295865058898926,-37
4.195609092712402,-30
4.533827781677246,-23
4.876430988311768,-23
5.224540710449219,-23
5.621934652328491,-24
5.966166019439697,-24
6.318068265914917,-23
6.689711093902588,-23
7.053926229476929,-23
7.413138389587402,-24
7.769936800003052,-24
8.136488676071167,-24
8.501922130584717,-23
8.839481115341187,-24
9.179702520370483,-25
9.518502473831177,-25
9.857207775115967,-26
10.209718227386475,-26
10.555889129638672,-26
10.900966882705688,-26
11.246225595474243,-27
11.59075117111206,-26
11.946474313735962,-26
12.296125888824463,-26
12.650106191635132,-30
12.997591972351074,-28
13.348968267440796,-26
13.707453489303589,-24
14.066239833831787,-23
14.430352210998535,-23
14.787675857543945,-23
15.148025274276733,-24
15.50546383857727,-25
15.87013053894043,-26
16.234575986862183,-26
16.610437870025635,-30
16.96878933906555,-27
17.329871892929077,-27
17.696768760681152,-23
18.058316469192505,-23
18.41866660118103,-23
18.77910327911377,-23
19.15284514427185,-24
19.560718536376953,-25
19.960484981536865,-26
20.342031240463257,-27
20.753883600234985,-27
21.167489290237427,-27
21.50642967224121,-26
21.844536542892456,-26
22.187580108642578,-26
22.525300979614258,-26
22.863787412643433,-26
23.205672025680542,-27
23.549887657165527,-27
23.888565063476562,-27
24.240431308746338,-27
24.593600273132324,-27
24.939719438552856,-31
25.293834447860718,-30
25.636979818344116,-24
25.981098413467407,-24
26.330085039138794,-23
26.67458176612854,-24
27.024123191833496,-24
27.36988663673401,-25
27.715052366256714,-25
28.066608667373657,-26
28.411460399627686,-26
28.758822202682495,-27
29.11487102508545,-27
29.47407102584839,-27
29.826128482818604,-27
30.182979822158813,-27
30.53510355949402,-27
30.936992168426514,-27
31.295525312423706,-27
31.647561073303223,-27
31.998577117919922,-31
32.35024666786194,-30
32.7011239528656,-29
33.059271574020386,-24
33.41217827796936,-24
33.778298139572144,-24
34.14136981964111,-23
34.50021719932556,-23
34.85844016075134,-25
35.22367978096008,-26
35.59911561012268,-26
35.959068775177,-27
36.32436680793762,-28
36.68310761451721,-27
37.04995322227478,-27
37.413936614990234,-27
37.778087854385376,-26
38.14908027648926,-26
38.516008377075195,-26
38.88109612464905,-26
39.25657916069031,-26
39.62442469596863,-26
39.99059438705444,-26
40.36087679862976,-26
40.73261857032776,-26
41.10012078285217,-26
41.43904209136963,-26
41.777278900146484,-27
42.12156319618225,-26
42.46019005775452,-26
42.79851794242859,-28
43.143733501434326,-26
43.48326253890991,-26
43.82655692100525,-24
44.1712212562561,-24
44.51328134536743,-23
44.85428309440613,-23
45.20094156265259,-24
45.54900932312012,-24
45.89096021652222,-25
46.237704038619995,-26
46.58037185668945,-27
46.92279291152954,-27
47.267327070236206,-27
47.61027503013611,-27
47.95780062675476,-27
48.30708026885986,-27
48.656588077545166,-26
49.001099824905396,-26
49.3499641418457,-26
49.69844102859497,-26
50.0499210357666,-26
50.397141456604004,-26
50.74639368057251,-26
51.095728397369385,-26
51.44429302215576,-26
51.79202198982239,-26
52.150312662124634,-26
52.49660277366638,-31
52.84015965461731,-30
53.1877977848053,-29
53.566452503204346,-41
53.93299651145935,-32
54.28540921211243,-26
54.636496782302856,-24
54.99020075798035,-24
55.3476824760437,-24
55.70693564414978,-24
56.11785435676575,-24
56.53999972343445,-25
56.97678279876709,-26
57.35457181930542,-26
57.757689237594604,-27
58.47233772277832,-39
59.01219081878662,-28
59.52684688568115,-23
60.01436138153076,-23
60.64565563201904,-24
61.21073603630066,-25
61.68497824668884,-26
62.1017119884491,-26
62.60044264793396,-27
63.08883500099182,-27
63.62753176689148,-27
64.10335540771484,-27
64.55720233917236,-27
65.04396986961365,-27
65.56894946098328,-27
66.11686944961548,-27
66.77984189987183,-27
67.40336728096008,-27
67.91955995559692,-27
68.49684119224548,-26
69.0348596572876,-27
69.6538496017456,-27
70.12687134742737,-27
70.6658947467804,-26
71.18573522567749,-27
71.61237525939941,-26
72.02859139442444,-29
72.45432472229004,-28
72.85183668136597,-24
73.34810376167297,-23
73.84406089782715,-23
74.35011076927185,-23
74.81199383735657,-24
75.34655451774597,-26
75.83777356147766,-27
76.45429611206055,-26
76.9167115688324,-27
77.46656942367554,-27
77.91313052177429,-27
78.36210370063782,-27
78.93067979812622,-27
79.37000608444214,-27
80.01411485671997,-28
80.53991603851318,-28
81.03847885131836,-28
81.4678602218628,-27
81.93533968925476,-27
82.33100891113281,-27
82.71880912780762,-27
83.11263465881348,-26
83.50144219398499,-27
83.88791012763977,-27
84.26223230361938,-27
84.64117813110352,-26
85.0050745010376,-25
85.54285764694214,-24
86.0828697681427,-23
86.47884321212769,-24
86.84957647323608,-25
87.22584295272827,-27
