temps_s,rssi_dbm,puissance_w
0.010137557983398438,-36,2.5118864315095823e-07
0.9475741386413574,-28,1.584893192461114e-06
1.5451734066009521,-29,1.2589254117941661e-06
2.190298557281494,-29,1.2589254117941661e-06
2.773386240005493,-27,1.9952623149688787e-06
3.3755228519439697,-27,1.9952623149688787e-06
3.9937565326690674,-27,1.9952623149688787e-06
4.6334614753723145,-28,1.584893192461114e-06
5.220686435699463,-28,1.584893192461114e-06
5.845818042755127,-28,1.584893192461114e-06
6.463528871536255,-28,1.584893192461114e-06
7.069605350494385,-28,1.584893192461114e-06
7.710570812225342,-28,1.584893192461114e-06
8.3689706325531,-28,1.584893192461114e-06
8.967839479446411,-28,1.584893192461114e-06
9.562434196472168,-29,1.2589254117941661e-06
10.167176723480225,-29,1.2589254117941661e-06
10.803936243057251,-28,1.584893192461114e-06
11.410006046295166,-29,1.2589254117941661e-06
12.005298137664795,-28,1.584893192461114e-06
12.619450092315674,-28,1.584893192461114e-06
13.234724760055542,-31,7.943282347242822e-07
13.841343402862549,-31,7.943282347242822e-07
14.477979898452759,-28,1.584893192461114e-06
15.098469495773315,-27,1.9952623149688787e-06
15.797167301177979,-28,1.584893192461114e-06
16.432743549346924,-28,1.584893192461114e-06
17.05423927307129,-28,1.584893192461114e-06
17.680742502212524,-28,1.584893192461114e-06
18.31307315826416,-29,1.2589254117941661e-06
18.93550419807434,-28,1.584893192461114e-06
19.565980434417725,-28,1.584893192461114e-06
20.247007608413696,-29,1.2589254117941661e-06
20.903655529022217,-28,1.584893192461114e-06
21.488633394241333,-28,1.584893192461114e-06
22.069625854492188,-30,1e-06
22.650878429412842,-31,7.943282347242822e-07
23.23411202430725,-29,1.2589254117941661e-06
23.814779043197632,-29,1.2589254117941661e-06
24.42204976081848,-28,1.584893192461114e-06
25.017168045043945,-29,1.2589254117941661e-06
25.613908529281616,-28,1.584893192461114e-06
26.211602210998535,-29,1.2589254117941661e-06
26.810910940170288,-29,1.2589254117941661e-06
27.407183408737183,-30,1e-06
28.00064706802368,-31,7.943282347242822e-07
28.59688448905945,-30,1e-06
29.21150827407837,-30,1e-06
29.820353269577026,-29,1.2589254117941661e-06
30.43274974822998,-29,1.2589254117941661e-06
31.041720628738403,-29,1.2589254117941661e-06
31.65481925010681,-29,1.2589254117941661e-06
32.26528286933899,-29,1.2589254117941661e-06
32.8755247592926,-30,1e-06
33.48798227310181,-30,1e-06
34.11630582809448,-29,1.2589254117941661e-06
34.738101959228516,-28,1.584893192461114e-06
35.36294674873352,-28,1.584893192461114e-06
35.98466420173645,-28,1.584893192461114e-06
36.614104986190796,-29,1.2589254117941661e-06
37.239084243774414,-30,1e-06
37.862088441848755,-29,1.2589254117941661e-06
38.48846650123596,-28,1.584893192461114e-06
39.162333726882935,-28,1.584893192461114e-06
39.80665421485901,-27,1.9952623149688787e-06
40.448525190353394,-28,1.584893192461114e-06
41.143773794174194,-29,1.2589254117941661e-06
41.7370023727417,-30,1e-06
42.3344202041626,-31,7.943282347242822e-07
42.91793417930603,-32,6.30957344480193e-07
43.50788998603821,-32,6.30957344480193e-07
44.09468746185303,-32,6.30957344480193e-07
44.68115544319153,-32,6.30957344480193e-07
45.36545753479004,-32,6.30957344480193e-07
45.97929763793945,-32,6.30957344480193e-07
46.57290458679199,-32,6.30957344480193e-07
47.15888023376465,-32,6.30957344480193e-07
47.73894429206848,-32,6.30957344480193e-07
48.351479291915894,-32,6.30957344480193e-07
48.94320487976074,-32,6.30957344480193e-07
49.61899757385254,-32,6.30957344480193e-07
50.21796941757202,-32,6.30957344480193e-07
50.82037806510925,-32,6.30957344480193e-07
51.414774656295776,-31,7.943282347242822e-07
52.004401445388794,-30,1e-06
52.59558391571045,-28,1.584893192461114e-06
53.20581865310669,-30,1e-06
53.80079412460327,-31,7.943282347242822e-07
54.40398621559143,-28,1.584893192461114e-06
54.99865460395813,-28,1.584893192461114e-06
55.602023124694824,-28,1.584893192461114e-06
56.203731060028076,-27,1.9952623149688787e-06
56.80207538604736,-27,1.9952623149688787e-06
57.4049117565155,-29,1.2589254117941661e-06
58.02184796333313,-30,1e-06
58.63429856300354,-32,6.30957344480193e-07
59.25131678581238,-32,6.30957344480193e-07
59.86351275444031,-32,6.30957344480193e-07
60.49533700942993,-32,6.30957344480193e-07
61.109293699264526,-32,6.30957344480193e-07
61.727033853530884,-32,6.30957344480193e-07
62.345064878463745,-32,6.30957344480193e-07
62.96538305282593,-31,7.943282347242822e-07
63.57958936691284,-31,7.943282347242822e-07
64.19395732879639,-31,7.943282347242822e-07
64.8049623966217,-32,6.30957344480193e-07
65.43327021598816,-32,6.30957344480193e-07
66.0403962135315,-31,7.943282347242822e-07
66.65462756156921,-29,1.2589254117941661e-06
67.27041363716125,-29,1.2589254117941661e-06
67.9042739868164,-29,1.2589254117941661e-06
68.5341808795929,-29,1.2589254117941661e-06
