temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
725.4050550460815,Wi-Fi 2.4 GHz,"PAQUET,0,TAILLE,22,Welcome to new project",-70,1e-10,,4.5532688847707826e-07
730.0083699226379,Wi-Fi 2.4 GHz,"PAQUET,1,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-69,1.2589254117941662e-10,,4.5532688847707826e-07
735.0769205093384,Wi-Fi 2.4 GHz,"PAQUET,2,TAILLE,22,Welcome to new project",-69,1.2589254117941662e-10,,4.5532688847707826e-07
740.1498429775238,Wi-Fi 2.4 GHz,"PAQUET,3,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-73,5.011872336272715e-11,,4.5532688847707826e-07
745.2657091617584,Wi-Fi 2.4 GHz,"PAQUET,4,TAILLE,22,Welcome to new project",-67,1.9952623149688828e-10,,4.5532688847707826e-07
750.4104568958282,Wi-Fi 2.4 GHz,"PAQUET,5,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-69,1.2589254117941662e-10,,4.5532688847707826e-07
755.4818637371063,Wi-Fi 2.4 GHz,"PAQUET,6,TAILLE,22,Welcome to new project",-72,6.309573444801942e-11,,4.5532688847707826e-07
760.5701997280121,Wi-Fi 2.4 GHz,"PAQUET,7,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-68,1.584893192461111e-10,,4.5532688847707826e-07
765.17018866539,Wi-Fi 2.4 GHz,"PAQUET,8,TAILLE,22,Welcome to new project",-69,1.2589254117941662e-10,,4.5532688847707826e-07
770.2574298381805,Wi-Fi 2.4 GHz,"PAQUET,9,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-67,1.9952623149688828e-10,,4.5532688847707826e-07
775.2859992980957,Wi-Fi 2.4 GHz,"PAQUET,10,TAILLE,22,Welcome to new project",-70,1e-10,,4.5532688847707826e-07
780.334751367569,Wi-Fi 2.4 GHz,"PAQUET,11,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-67,1.9952623149688828e-10,,4.5532688847707826e-07
785.4091639518738,Wi-Fi 2.4 GHz,"PAQUET,12,TAILLE,22,Welcome to new project",-65,3.1622776601683795e-10,,4.5532688847707826e-07
789.9849798679352,Wi-Fi 2.4 GHz,"PAQUET,13,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-65,3.1622776601683795e-10,,4.5532688847707826e-07
795.0367171764374,Wi-Fi 2.4 GHz,"PAQUET,14,TAILLE,22,Welcome to new project",-64,3.9810717055349694e-10,,4.5532688847707826e-07
800.1204214096069,Wi-Fi 2.4 GHz,"PAQUET,15,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-65,3.1622776601683795e-10,,4.5532688847707826e-07
805.2350842952728,Wi-Fi 2.4 GHz,"PAQUET,16,TAILLE,22,Welcome to new project",-65,3.1622776601683795e-10,,4.5532688847707826e-07
810.3356437683105,Wi-Fi 2.4 GHz,"PAQUET,17,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-65,3.1622776601683795e-10,,4.5532688847707826e-07
815.379138469696,Wi-Fi 2.4 GHz,"PAQUET,18,TAILLE,22,Welcome to new project",-66,2.511886431509582e-10,,4.5532688847707826e-07
820.9268870353699,Wi-Fi 2.4 GHz,"PAQUET,19,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-65,3.1622776601683795e-10,,4.5532688847707826e-07
825.4661641120911,Wi-Fi 2.4 GHz,"PAQUET,20,TAILLE,22,Welcome to new project",-65,3.1622776601683795e-10,,4.5532688847707826e-07
829.9722521305084,Wi-Fi 2.4 GHz,"PAQUET,21,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-65,3.1622776601683795e-10,,4.5532688847707826e-07
835.4961922168732,Wi-Fi 2.4 GHz,"PAQUET,22,TAILLE,22,Welcome to new project",-66,2.511886431509582e-10,,4.5532688847707826e-07
840.1535940170288,Wi-Fi 2.4 GHz,"PAQUET,23,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-64,3.9810717055349694e-10,,4.5532688847707826e-07
845.2393567562103,Wi-Fi 2.4 GHz,"PAQUET,24,TAILLE,22,Welcome to new project",-67,1.9952623149688828e-10,,4.5532688847707826e-07
850.3242373466492,Wi-Fi 2.4 GHz,"PAQUET,25,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-65,3.1622776601683795e-10,,4.5532688847707826e-07
855.3909533023834,Wi-Fi 2.4 GHz,"PAQUET,26,TAILLE,22,Welcome to new project",-67,1.9952623149688828e-10,,4.5532688847707826e-07
860.4535491466522,Wi-Fi 2.4 GHz,"PAQUET,27,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-65,3.1622776601683795e-10,,4.5532688847707826e-07
865.0105214118958,Wi-Fi 2.4 GHz,"PAQUET,28,TAILLE,22,Welcome to new project",-67,1.9952623149688828e-10,,4.5532688847707826e-07
870.5720701217651,Wi-Fi 2.4 GHz,"PAQUET,29,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-67,1.9952623149688828e-10,,4.5532688847707826e-07
875.1756393909454,Wi-Fi 2.4 GHz,"PAQUET,30,TAILLE,22,Welcome to new project",-66,2.511886431509582e-10,,4.5532688847707826e-07
880.2953262329102,Wi-Fi 2.4 GHz,"PAQUET,31,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-67,1.9952623149688828e-10,,4.5532688847707826e-07
885.4126703739166,Wi-Fi 2.4 GHz,"PAQUET,32,TAILLE,22,Welcome to new project",-67,1.9952623149688828e-10,,4.5532688847707826e-07
890.038904428482,Wi-Fi 2.4 GHz,"PAQUET,33,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-68,1.584893192461111e-10,,4.5532688847707826e-07
895.1036586761475,Wi-Fi 2.4 GHz,"PAQUET,34,TAILLE,22,Welcome to new project",-68,1.584893192461111e-10,,4.5532688847707826e-07
900.208732843399,Wi-Fi 2.4 GHz,"PAQUET,35,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-67,1.9952623149688828e-10,,4.5532688847707826e-07
905.3132231235504,Wi-Fi 2.4 GHz,"PAQUET,36,TAILLE,22,Welcome to new project",-65,3.1622776601683795e-10,,4.5532688847707826e-07
910.9155292510986,Wi-Fi 2.4 GHz,"PAQUET,37,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-67,1.9952623149688828e-10,,4.5532688847707826e-07
915.0217072963715,Wi-Fi 2.4 GHz,"PAQUET,38,TAILLE,22,Welcome to new project",-61,7.943282347242822e-10,,4.5532688847707826e-07
