temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
56.58953022956848,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-50,1e-08,,3.004175255885922e-05
57.587055683135986,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-50,1e-08,,3.004175255885922e-05
58.5939679145813,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-50,1e-08,,3.004175255885922e-05
59.63645792007446,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-50,1e-08,,3.004175255885922e-05
60.64774179458618,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-50,1e-08,,3.004175255885922e-05
61.66520142555237,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-50,1e-08,,3.004175255885922e-05
62.676021099090576,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-50,1e-08,,3.004175255885922e-05
63.688886642456055,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-50,1e-08,,3.004175255885922e-05
64.74837756156921,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
65.77551364898682,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
66.80609464645386,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
67.83642101287842,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
68.8784191608429,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
69.95137929916382,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
70.99153804779053,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
72.03358769416809,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
73.0721914768219,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
74.11724305152893,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
75.2144763469696,Beacons BLE,Beacon BLE | MAC=61:40:78:0A:0C:52,-76,2.5118864315095823e-11,,3.004175255885922e-05
76.25424480438232,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
77.29488587379456,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
78.34842848777771,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
79.39985632896423,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
80.51573610305786,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
81.56296062469482,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
82.61036562919617,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
83.65797257423401,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
84.70324158668518,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
85.80569887161255,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
86.85866689682007,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
87.9209623336792,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
88.98322010040283,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
90.0473792552948,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
91.16295552253723,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
92.22937774658203,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
93.30406022071838,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
94.3807783126831,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
95.3767249584198,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
96.37048530578613,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
97.3801817893982,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
98.39757347106934,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
99.41638970375061,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
100.42739462852478,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
101.49427461624146,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
102.50309157371521,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
103.51494097709656,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
104.52524757385254,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
105.53865790367126,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
106.57732725143433,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
107.58378100395203,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-70,1e-10,,3.004175255885922e-05
108.59650611877441,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
109.60301923751831,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
110.60817980766296,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
111.73477864265442,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
112.7344138622284,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
113.7364137172699,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
114.76900887489319,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
115.76956629753113,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
116.81846880912781,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
117.84607672691345,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
118.86423110961914,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
119.88366317749023,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
120.90171551704407,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
121.95377659797668,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
122.96680021286011,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
123.9895350933075,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-41,7.943282347242822e-08,,3.004175255885922e-05
125.0037579536438,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
126.02582240104675,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
127.07581853866577,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
128.10732984542847,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
129.13126754760742,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
130.1613450050354,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
131.18387389183044,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
132.24031591415405,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
133.2625949382782,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
134.28797340393066,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
135.3252658843994,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
136.3710675239563,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
137.4336006641388,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
