numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
1,1783972661.499339104,1783972661.499515057,176.000,7a:31:07:b4:9d:3f,-46,37,12,0x03,LE 1M
2,1783972661.525908947,1783972661.526268959,360.000,67:6d:ea:60:e2:68,-55,38,35,0x00,LE 1M
3,1783972661.552503109,1783972661.552863121,360.000,67:6d:ea:60:e2:68,-56,39,35,0x00,LE 1M
4,1783972661.578609943,1783972661.578889847,280.000,60:17:27:94:50:d3,-77,37,25,0x00,LE 1M
5,1783972661.626741886,1783972661.627141953,400.000,inconnue,-86,38,40,0x0c,LE 1M
6,1783972661.663383007,1783972661.663662910,280.000,63:f0:a4:5a:38:5b,-90,39,25,0x00,LE 1M
7,1783972661.689814091,1783972661.689990044,176.000,65:a4:5e:01:2f:4d,-45,37,12,0x03,LE 1M
8,1783972661.716748953,1783972661.717108965,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
9,1783972661.755855083,1783972661.756215096,360.000,67:6d:ea:60:e2:68,-58,39,35,0x00,LE 1M
10,1783972661.777905941,1783972661.778081894,176.000,4b:cf:57:97:ae:26,-45,37,12,0x03,LE 1M
11,1783972661.816250086,1783972661.816610098,360.000,67:6d:ea:60:e2:68,-58,38,35,0x00,LE 1M
12,1783972661.853234053,1783972661.853594065,360.000,67:6d:ea:60:e2:68,-58,39,35,0x00,LE 1M
13,1783972661.879601002,1783972661.879776955,176.000,77:f3:51:e5:de:c8,-46,37,12,0x03,LE 1M
14,1783972661.906050920,1783972661.906330824,280.000,60:17:27:94:50:d3,-74,38,25,0x00,LE 1M
15,1783972661.927525043,1783972661.927804947,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
16,1783972661.970357895,1783972661.970717907,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
17,1783972662.002063036,1783972662.002423048,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
18,1783972662.028660059,1783972662.029020071,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
19,1783972662.050293922,1783972662.050469875,176.000,4b:cf:57:97:ae:26,-45,37,12,0x03,LE 1M
20,1783972662.088879108,1783972662.089055061,176.000,56:aa:ac:66:20:3d,-46,38,12,0x03,LE 1M
21,1783972662.110680103,1783972662.110952139,272.000,56:2a:ac:66:22:3d,-95,39,24,0x00,LE 1M
22,1783972662.137177944,1783972662.137761831,584.000,7a:31:03:b4:9d:3f,-91,37,63,0x00,LE 1M
23,1783972662.174349070,1783972662.174621105,272.000,77:f3:51:e5:de:c8,-84,38,24,0x00,LE 1M
24,1783972662.200681925,1783972662.200793982,112.000,77:f3:41:f5:3a:c8,-92,39,4,0x00,LE 1M
25,1783972662.221771955,1783972662.221907854,136.000,inconnue,-94,37,7,0x07,LE 1M
26,1783972662.243232965,1783972662.243512869,280.000,60:17:27:94:50:d3,-75,38,25,0x00,LE 1M
27,1783972662.264719963,1783972662.264999866,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
28,1783972662.296981096,1783972662.297341108,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
29,1783972662.323575020,1783972662.323935032,360.000,67:6d:ea:60:e2:68,-53,38,35,0x00,LE 1M
30,1783972662.335063934,1783972662.335423946,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
31,1783972662.367269039,1783972662.367541075,272.000,56:a6:ac:66:20:3d,-91,37,24,0x00,LE 1M
32,1783972662.384676933,1783972662.384948969,272.000,56:aa:ac:66:20:3d,-88,38,24,0x00,LE 1M
33,1783972662.417172909,1783972662.417532921,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
34,1783972662.443676949,1783972662.443940878,264.000,55:ed:d5:86:38:dc,-80,37,23,0x02,LE 1M
35,1783972662.475918055,1783972662.476197958,280.000,60:17:27:94:50:d3,-74,38,25,0x00,LE 1M
36,1783972662.502346992,1783972662.502626896,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
37,1783972662.539544106,1783972662.539920092,376.000,13:5f:b6:14:87:ce,-91,37,37,0x02,LE 1M
38,1783972662.576397896,1783972662.576757908,360.000,67:6d:ea:60:e2:68,-53,38,35,0x00,LE 1M
39,1783972662.597903013,1783972662.598263025,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
40,1783972662.609814882,1783972662.610174894,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
41,1783972662.610599041,1783972662.610959053,360.000,67:6d:ea:60:e2:68,-53,38,35,0x00,LE 1M
42,1783972662.637289047,1783972662.637649059,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
43,1783972662.685035944,1783972662.685411930,376.000,15:5f:b6:17:87:ce,-92,37,37,0x02,LE 1M
44,1783972662.711429119,1783972662.711605072,176.000,60:17:27:94:50:d3,-46,38,12,0x03,LE 1M
45,1783972662.732831001,1783972662.733110905,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
46,1783972662.770282984,1783972662.770642996,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
47,1783972662.793812037,1783972662.794172049,360.000,67:6d:ea:60:e2:68,-53,38,35,0x00,LE 1M
48,1783972662.827308893,1783972662.827668905,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
49,1783972662.893425941,1783972662.893785954,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
50,1783972662.915074110,1783972662.915434122,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
51,1783972662.941890001,1783972662.942250013,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
52,1783972662.969021082,1783972662.969397068,376.000,f5:09:5f:56:32:5d,-92,37,37,0x00,LE 1M
53,1783972663.006403923,1783972663.006763935,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
54,1783972663.033327103,1783972663.033687115,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
55,1783972663.133124113,1783972663.133484125,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
56,1783972663.159795046,1783972663.160155058,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
57,1783972663.186496973,1783972663.186856985,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
58,1783972663.213212967,1783972663.213588953,376.000,d3:5c:36:16:87:ce,-96,37,37,0x02,LE 1M
59,1783972663.239892006,1783972663.240067959,176.000,60:17:27:94:50:d3,-46,38,12,0x03,LE 1M
60,1783972663.266611099,1783972663.266891003,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
61,1783972663.303642035,1783972663.304002047,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
62,1783972663.335441113,1783972663.335801125,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
63,1783972663.362068892,1783972663.362428904,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
64,1783972663.393356085,1783972663.393491983,136.000,inconnue,-92,37,7,0x07,LE 1M
65,1783972663.442656040,1783972663.443016052,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
66,1783972663.492778063,1783972663.493138075,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
67,1783972663.524965048,1783972663.525244951,280.000,60:17:27:94:50:d3,-80,37,25,0x00,LE 1M
68,1783972663.563138008,1783972663.563313961,176.000,60:17:27:94:50:d3,-46,38,12,0x03,LE 1M
69,1783972663.585916042,1783972663.586195946,280.000,60:17:27:94:50:d3,-76,39,25,0x00,LE 1M
70,1783972663.617451906,1783972663.617587805,136.000,inconnue,-93,37,7,0x07,LE 1M
71,1783972663.655163050,1783972663.655523062,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
72,1783972663.692102909,1783972663.692462921,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
73,1783972663.713402033,1783972663.713937998,536.000,65:a4:5e:01:37:4d,-90,37,57,0x00,LE 1M
74,1783972663.745368958,1783972663.745544910,176.000,56:aa:ac:66:20:3d,-46,38,12,0x03,LE 1M
75,1783972663.772370100,1783972663.772730112,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
76,1783972663.803997993,1783972663.804277897,280.000,60:17:27:94:50:d3,-79,37,25,0x00,LE 1M
77,1783972663.820266962,1783972663.820546865,280.000,60:17:27:94:50:d3,-72,38,25,0x00,LE 1M
78,1783972663.841459990,1783972663.841739893,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
79,1783972663.873461008,1783972663.873821020,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
80,1783972663.895087957,1783972663.895447969,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
81,1783972663.916440010,1783972663.916800022,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
82,1783972663.948344946,1783972663.948520899,176.000,56:aa:ac:66:20:3d,-45,37,12,0x03,LE 1M
83,1783972663.980592012,1783972663.980952024,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
84,1783972664.002258062,1783972664.002618074,360.000,67:6d:ea:60:e2:68,-56,39,35,0x00,LE 1M
85,1783972664.044912100,1783972664.045088053,176.000,77:f3:51:e5:de:c8,-45,37,12,0x03,LE 1M
86,1783972664.066067934,1783972664.066347837,280.000,60:17:27:94:50:d3,-73,38,25,0x00,LE 1M
87,1783972664.103243113,1783972664.103523016,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
88,1783972664.125118017,1783972664.125478029,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
89,1783972664.161961079,1783972664.162321091,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
90,1783972664.183446884,1783972664.183806896,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
91,1783972664.220285892,1783972664.220565796,280.000,63:f0:a4:5a:38:5b,-91,37,25,0x00,LE 1M
92,1783972664.263190031,1783972664.263550043,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
93,1783972664.284713030,1783972664.285073042,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
94,1783972664.316781044,1783972664.317060947,280.000,60:17:27:94:50:d3,-79,37,25,0x00,LE 1M
95,1783972664.349011898,1783972664.349275827,264.000,55:ed:d5:86:38:dc,-73,38,23,0x02,LE 1M
96,1783972664.380682945,1783972664.380874872,192.000,c7:e9:61:8c:2d:db,-77,39,14,0x02,LE 1M
97,1783972664.407435894,1783972664.407795906,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
98,1783972664.455852032,1783972664.456212044,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
99,1783972664.479831934,1783972664.480191946,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
100,1783972664.498099089,1783972664.498291016,192.000,f3:90:73:ed:de:fc,-91,37,14,0x02,LE 1M
101,1783972664.511807919,1783972664.512167931,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
102,1783972664.533318996,1783972664.533679008,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
103,1783972664.561825037,1783972664.562201023,376.000,cd:7f:b2:17:a7:ce,-94,37,37,0x02,LE 1M
104,1783972664.593775034,1783972664.594054937,280.000,60:17:27:94:50:d3,-73,38,25,0x00,LE 1M
105,1783972664.620609045,1783972664.620888948,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
106,1783972664.647567987,1783972664.647927999,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
107,1783972664.668975115,1783972664.669335127,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
108,1783972664.690421104,1783972664.690781116,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
109,1783972664.711994886,1783972664.712186813,192.000,f9:5f:e0:8a:21:a7,-91,37,14,0x02,LE 1M
110,1783972664.774271965,1783972664.774631977,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
111,1783972664.776123047,1783972664.776483059,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
112,1783972664.837394953,1783972664.837674856,280.000,60:17:27:94:50:d3,-79,37,25,0x00,LE 1M
113,1783972664.909358978,1783972664.909718990,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
114,1783972664.930896044,1783972664.931256056,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
115,1783972664.947590113,1783972664.947870016,280.000,63:f0:64:5a:78:5b,-90,37,25,0x00,LE 1M
116,1783972665.014266968,1783972665.014539003,272.000,56:aa:ac:66:20:3d,-94,38,24,0x00,LE 1M
117,1783972665.036149979,1783972665.036509991,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
118,1783972665.132859945,1783972665.133139849,280.000,60:17:27:94:50:d3,-79,37,25,0x00,LE 1M
119,1783972665.159209967,1783972665.159489870,280.000,60:17:27:94:50:d3,-75,38,25,0x00,LE 1M
120,1783972665.195969105,1783972665.196249008,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
121,1783972665.309499025,1783972665.309859037,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
122,1783972665.325927019,1783972665.326287031,360.000,67:6d:ea:60:e2:68,-53,38,35,0x00,LE 1M
123,1783972665.352366924,1783972665.352726936,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
124,1783972665.400070906,1783972665.400350809,280.000,60:17:27:94:50:d3,-79,37,25,0x00,LE 1M
125,1783972665.421336889,1783972665.421616793,280.000,60:17:27:94:50:d3,-75,38,25,0x00,LE 1M
126,1783972665.458203077,1783972665.458482981,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
127,1783972665.500653982,1783972665.501013994,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
128,1783972665.527340889,1783972665.527700901,360.000,67:6d:ea:60:e2:68,-54,38,35,0x00,LE 1M
129,1783972665.553999901,1783972665.554359913,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
130,1783972665.586260080,1783972665.586539984,280.000,63:f0:a4:5a:38:5b,-91,37,25,0x00,LE 1M
131,1783972665.623658895,1783972665.623930931,272.000,56:aa:a4:66:20:3d,-91,38,24,0x00,LE 1M
132,1783972665.645046949,1783972665.645406961,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
133,1783972665.677128077,1783972665.677407980,280.000,60:17:27:94:50:d3,-80,37,25,0x00,LE 1M
134,1783972665.703741074,1783972665.704020977,280.000,60:17:27:94:50:d3,-75,38,25,0x00,LE 1M
135,1783972665.704699993,1783972665.704979897,280.000,60:17:27:94:50:d3,-77,39,25,0x00,LE 1M
136,1783972665.747071028,1783972665.747431040,360.000,67:6d:ea:60:e2:68,-55,37,35,0x00,LE 1M
137,1783972665.784202099,1783972665.784562111,360.000,67:6d:ea:60:e2:68,-53,38,35,0x00,LE 1M
138,1783972665.805691957,1783972665.806051970,360.000,67:6d:ea:60:e2:68,-56,39,35,0x00,LE 1M
139,1783972665.837833881,1783972665.838161945,328.000,79:31:07:b4:9d:3f,-91,37,31,0x00,LE 1M
140,1783972665.864356995,1783972665.864685059,328.000,7e:31:09:b4:9d:3f,-96,38,31,0x02,LE 1M
141,1783972665.886445045,1783972665.886805058,360.000,67:6d:ea:60:e2:68,-57,39,35,0x00,LE 1M
