numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
7684,1784085453.090429068,1784085453.090805054,376.000,4e:8b:50:c6:79:53,-46,37,37,0x00,LE 1M
7685,1784085453.128206015,1784085453.128582001,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7686,1784085453.129770041,1784085453.130146027,376.000,e0:90:b5:2d:f2:73,-55,39,37,0x00,LE 1M
7687,1784085453.161860943,1784085453.162236929,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7688,1784085453.195143938,1784085453.195279837,136.000,inconnue,-51,38,7,0x07,LE 1M
7689,1784085453.222006083,1784085453.222310066,304.000,5d:9d:6f:a8:90:a8,-55,39,28,0x00,LE 1M
7690,1784085453.254163980,1784085453.254467964,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
7691,1784085453.275588989,1784085453.275892973,304.000,5d:9d:6f:a8:90:a8,-48,38,28,0x00,LE 1M
7692,1784085453.298489094,1784085453.298865080,376.000,e0:90:b5:2d:f2:73,-55,39,37,0x00,LE 1M
7693,1784085453.316751957,1784085453.317031860,280.000,6d:fa:e6:8a:d6:38,-74,37,25,0x00,LE 1M
7694,1784085453.339550018,1784085453.339926004,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7695,1784085453.373332977,1784085453.373468876,136.000,inconnue,-77,39,7,0x07,LE 1M
7696,1784085453.405647039,1784085453.406023026,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7697,1784085453.448885918,1784085453.449261904,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7698,1784085453.476114035,1784085453.476490021,376.000,e0:90:b5:2d:f2:73,-55,39,37,0x00,LE 1M
7699,1784085453.509917021,1784085453.510221004,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
7700,1784085453.559938908,1784085453.560314894,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7701,1784085453.592976093,1784085453.593248129,272.000,50:83:4a:a9:ec:e0,-93,39,24,0x00,LE 1M
7702,1784085453.626919985,1784085453.627055883,136.000,inconnue,-49,37,7,0x07,LE 1M
7703,1784085453.653901100,1784085453.654277086,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7704,1784085453.675524950,1784085453.675796986,272.000,inconnue,-94,39,24,0x08,LE 1M
7705,1784085453.718666077,1784085453.718970060,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
7706,1784085453.748085976,1784085453.748461962,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7707,1784085453.786540031,1784085453.786916018,376.000,e0:90:b5:2d:f2:73,-55,39,37,0x00,LE 1M
7708,1784085453.818738937,1784085453.819114923,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7709,1784085453.843799114,1784085453.844071150,272.000,41:5c:5e:03:51:8b,-74,38,24,0x00,LE 1M
7710,1784085453.875690937,1784085453.876066923,376.000,e0:90:b5:2d:f2:73,-55,39,37,0x00,LE 1M
7711,1784085453.908267975,1784085453.908403873,136.000,inconnue,-49,37,7,0x07,LE 1M
7712,1784085453.947803974,1784085453.948179960,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7713,1784085453.982180119,1784085453.982484102,304.000,5d:9d:6f:a8:90:a8,-55,39,28,0x00,LE 1M
7714,1784085453.984438896,1784085453.984814882,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7715,1784085453.986351013,1784085453.986726999,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7716,1784085454.008342981,1784085454.008718967,376.000,e0:90:b5:2d:f2:73,-55,39,37,0x00,LE 1M
7717,1784085454.040209055,1784085454.040344954,136.000,inconnue,-49,37,7,0x07,LE 1M
7718,1784085454.072696924,1784085454.073072910,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7719,1784085454.105173111,1784085454.105453014,280.000,6d:fa:e6:8a:d6:38,-77,39,25,0x00,LE 1M
7720,1784085454.156961918,1784085454.157337904,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7721,1784085454.179822922,1784085454.180198908,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7722,1784085454.212752104,1784085454.213056087,304.000,5d:9d:6f:a8:90:a8,-54,39,28,0x00,LE 1M
7723,1784085454.230355978,1784085454.230491877,136.000,inconnue,-49,37,7,0x07,LE 1M
7724,1784085454.259470940,1784085454.259846926,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7725,1784085454.287542105,1784085454.287918091,376.000,e0:90:b5:2d:f2:73,-55,39,37,0x00,LE 1M
7726,1784085454.320003986,1784085454.320379972,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7727,1784085454.352622032,1784085454.352998018,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7728,1784085454.379513025,1784085454.379889011,376.000,e0:90:b5:2d:f2:73,-54,39,37,0x00,LE 1M
7729,1784085454.396167994,1784085454.396471977,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
7730,1784085454.413459063,1784085454.413835049,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7731,1784085454.445173979,1784085454.445453882,280.000,6d:fa:e6:8a:d6:38,-77,39,25,0x00,LE 1M
7732,1784085454.471882105,1784085454.472074032,192.000,fb:6d:cd:74:f9:a9,-74,37,14,0x02,LE 1M
7733,1784085454.494204998,1784085454.494580984,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7734,1784085454.510726929,1784085454.511102915,376.000,e0:90:b5:2d:f2:73,-54,39,37,0x00,LE 1M
7735,1784085454.544028044,1784085454.544300079,272.000,41:5c:5e:03:51:8b,-77,37,24,0x00,LE 1M
7736,1784085454.575493097,1784085454.575628996,136.000,inconnue,-51,38,7,0x07,LE 1M
7737,1784085454.607326984,1784085454.607462883,136.000,inconnue,-79,39,7,0x07,LE 1M
