device_id;nombre_valeurs;longueur_moyenne_octets;longueur_mediane_octets;longueur_min_octets;longueur_max_octets;ecart_type_octets
Appareil_001;364;33;33.0;33;33;0.0
Appareil_002;783;36;36;36;36;0.0
Appareil_003;382;34;34.0;34;34;0.0
Appareil_004;22;37;37.0;37;37;0.0
Appareil_005;224;20;20.0;20;20;0.0
Appareil_006;96;24;24.0;24;24;0.0
Appareil_007;7;33;33;33;33;0.0
Appareil_008;1;20;20;20;20;0.0
Appareil_009;13;14;14;14;14;0.0
Appareil_010;1;24;24;24;24;0.0
Appareil_011;43;25;25;25;25;0.0
Appareil_012;39;33;33;33;33;0.0
Appareil_013;1;20;20;20;20;0.0
Appareil_014;6;23;23.0;23;23;0.0
Appareil_015;1;25;25;25;25;0.0
Appareil_016;1;20;20;20;20;0.0
Appareil_017;1;33;33;33;33;0.0
Appareil_018;1;20;20;20;20;0.0
Appareil_019;1;33;33;33;33;0.0
Appareil_020;1;20;20;20;20;0.0
Appareil_021;1;24;24;24;24;0.0
Appareil_022;1;25;25;25;25;0.0
Appareil_023;1;24;24;24;24;0.0
Appareil_024;1;14;14;14;14;0.0
Appareil_025;1;30;30;30;30;0.0
Appareil_026;2;22;22.0;20;24;2.0
Appareil_027;1;22;22;22;22;0.0
Appareil_028;1;20;20;20;20;0.0
Appareil_029;3;14;14;14;14;0.0
Appareil_030;1;25;25;25;25;0.0
Appareil_031;1;24;24;24;24;0.0
Appareil_032;1;20;20;20;20;0.0
Appareil_033;1;24;24;24;24;0.0
Appareil_034;1;20;20;20;20;0.0
Appareil_035;2;24;24.0;24;24;0.0
Appareil_036;1;36;36;36;36;0.0
Appareil_037;1;33;33;33;33;0.0
Appareil_038;1;28;28;28;28;0.0
Appareil_039;1;23;23;23;23;0.0
Appareil_040;1;36;36;36;36;0.0
Appareil_041;1;33;33;33;33;0.0
Appareil_042;1;25;25;25;25;0.0
Appareil_043;1;36;36;36;36;0.0
Appareil_044;1;20;20;20;20;0.0
Appareil_045;1;34;34;34;34;0.0
Appareil_046;2;36;36.0;34;38;2.0
Appareil_047;1;33;33;33;33;0.0
Appareil_048;1;25;25;25;25;0.0
Appareil_049;1;36;36;36;36;0.0
Appareil_050;1;56;56;56;56;0.0
Appareil_051;1;20;20;20;20;0.0
