timestamp;address;pdu_type_code;pdu_type_name;length_bytes;rssi_dbm;channel;uuid;major;minor;tx_power_dbm;raw_hex;source_field;manufacturer;device_type;detection_confidence;local_name;device_id;canonical_uuid;calibrated_rssi_dbm;received_power_w;received_power_nw;airtime_us;frame_energy_j;frame_energy_nj;alert_level;alert_metric_name;alert_metric_value
1784762296.707043;4e:ee:20:af:66:bd;0;ADV_IND;33;-74.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-74.0;3.9810717055349695e-11;0.03981071705534969;344.0;1.3694886667040295e-14;1.3694886667040296e-05;VERT;RSSI;-74.0
1784762296.733276;5c:37:11:34:82:9e;0;ADV_IND;36;-67.0;37;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-67.0;1.9952623149688828e-10;0.19952623149688828;368.0;7.342565319085489e-14;7.342565319085489e-05;ORANGE;RSSI;-67.0
1784762296.764633;73:e1:5b:d3:09:fa;0;ADV_IND;34;-64.0;38;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;-64.0;3.9810717055349694e-10;0.3981071705534969;352.0;1.4013372403483091e-13;0.00014013372403483092;ORANGE;RSSI;-64.0
1784762296.791064;73:e1:5b:d3:09:fa;0;ADV_IND;34;-74.0;39;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;-74.0;3.9810717055349695e-11;0.03981071705534969;352.0;1.4013372403483093e-14;1.4013372403483093e-05;VERT;RSSI;-74.0
1784762296.818506;6e:b9:6e:2b:30:5e;0;ADV_IND;36;-66.0;37;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-66.0;2.511886431509582e-10;0.2511886431509582;368.0;9.243742067955261e-14;9.24374206795526e-05;ORANGE;RSSI;-66.0
1784762296.877481;6e:b9:6e:2b:30:5e;0;ADV_IND;36;-74.0;39;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-74.0;3.9810717055349695e-11;0.03981071705534969;368.0;1.4650343876368688e-14;1.4650343876368689e-05;VERT;RSSI;-74.0
1784762296.973664;f5:39:7e:e8:f2:89;2;ADV_NONCONN_IND;37;-69.0;37;;0;0;0;12190011ef5ac77c85d5e29cc0370b3ffe881ef99f36ebb7c803000004c0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_004;apple:appareil apple ble:f5:39:7e:e8:f2:89;-69.0;1.2589254117941662e-10;0.12589254117941662;376.0;4.7335595483460646e-14;4.7335595483460644e-05;ORANGE;RSSI;-69.0
1784762297.132664;4e:ee:20:af:66:bd;0;ADV_IND;33;-74.0;39;8bb72266-b6b2-bd5f-3c97-316c7ad61683;26703;31168;-111;02158bb72266b6b2bd5f3c97316c7ad61683684f79c091;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-74.0;3.9810717055349695e-11;0.03981071705534969;344.0;1.3694886667040295e-14;1.3694886667040296e-05;VERT;RSSI;-74.0
1784762297.169723;5c:37:11:34:82:9e;0;ADV_IND;36;-66.0;37;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-66.0;2.511886431509582e-10;0.2511886431509582;368.0;9.243742067955261e-14;9.24374206795526e-05;ORANGE;RSSI;-66.0
1784762297.201429;5c:37:11:34:82:9e;0;ADV_IND;36;-65.0;38;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-65.0;3.1622776601683795e-10;0.31622776601683794;368.0;1.1637181789419636e-13;0.00011637181789419637;ORANGE;RSSI;-65.0
1784762297.228489;5c:37:11:34:82:9e;0;ADV_IND;36;-72.0;39;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-72.0;6.309573444801942e-11;0.06309573444801943;368.0;2.3219230276871145e-14;2.3219230276871145e-05;VERT;RSSI;-72.0
1784762297.255268;73:e1:5b:d3:09:fa;0;ADV_IND;34;-66.0;37;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;-66.0;2.511886431509582e-10;0.2511886431509582;352.0;8.841840238913727e-14;8.841840238913728e-05;ORANGE;RSSI;-66.0
1784762297.283187;73:e1:5b:d3:09:fa;0;ADV_IND;34;-64.0;38;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;-64.0;3.9810717055349694e-10;0.3981071705534969;352.0;1.4013372403483091e-13;0.00014013372403483092;ORANGE;RSSI;-64.0
1784762297.311226;73:e1:5b:d3:09:fa;0;ADV_IND;34;-74.0;39;;0;0;0;00112233445566778899aabbccddeeff10010011c80004c0010ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;-74.0;3.9810717055349695e-11;0.03981071705534969;352.0;1.4013372403483093e-14;1.4013372403483093e-05;VERT;RSSI;-74.0
1784762297.318066;6e:b9:6e:2b:30:5e;0;ADV_IND;36;-66.0;37;00112233-4455-6677-8899-aabbccddeeff;20993;12289;-56;021500112233445566778899aabbccddeeff52013001c8;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;iBeacon;élevée;;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-66.0;2.511886431509582e-10;0.2511886431509582;368.0;9.243742067955261e-14;9.24374206795526e-05;ORANGE;RSSI;-66.0
1784762297.422621;4f:2d:cc:dd:4c:1d;0;ADV_IND;20;-84.0;39;;0;0;0;100203000004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_005;apple:appareil apple ble:4f:2d:cc:dd:4c:1d;-84.0;3.9810717055349695e-12;0.003981071705534969;240.0;9.554572093283927e-16;9.554572093283927e-07;VERT;RSSI;-84.0
1784762297.444076;55:b1:c8:32:ed:5e;0;ADV_IND;24;-80.0;37;;0;0;0;1006381e7cb544b60004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_006;apple:appareil apple ble:55:b1:c8:32:ed:5e;-80.0;1e-11;0.01;272.0;2.7199999999999996e-15;2.72e-06;VERT;RSSI;-80.0
