device_id;fabricant;type_detecte;confiance_detection;nom_local;adresse_mac;uuid_ibeacon;nombre_trames;rssi_recent_dbm;longueur_recente_octets;type_pdu_recent;canal_recent;derniere_detection_epoch
Appareil_001;Apple;iBeacon;élevée;;4e:ee:20:af:66:bd;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;364;-70.0;33;ADV_IND;39;1784762382.072513
Appareil_002;Apple;iBeacon;élevée;;6e:b9:6e:2b:30:5e;00112233-4455-6677-8899-aabbccddeeff;783;-70.0;36;ADV_IND;39;1784762382.340346
Appareil_003;Apple;Appareil Apple BLE;faible;;73:e1:5b:d3:09:fa;;382;-70.0;34;ADV_IND;39;1784762381.976499
Appareil_004;Apple;Appareil Apple BLE;faible;;f5:39:7e:e8:f2:89;;22;-70.0;37;ADV_NONCONN_IND;37;1784762382.19529
Appareil_005;Apple;Appareil Apple BLE;faible;;4f:2d:cc:dd:4c:1d;;224;-81.0;20;ADV_IND;39;1784762382.157785
Appareil_006;Apple;Appareil Apple BLE;faible;;55:b1:c8:32:ed:5e;;96;-81.0;24;ADV_IND;37;1784762381.752391
Appareil_007;Apple;Appareil Apple BLE;faible;;d3:a4:a0:7b:65:fc;;7;-88.0;33;ADV_IND;37;1784762373.565101
Appareil_008;Apple;Appareil Apple BLE;faible;;4f:2d:cf:1d:4c:1d;;1;-73.0;20;ADV_IND;38;1784762298.662541
Appareil_009;Apple;Appareil Apple BLE;faible;;e9:b7:17:7f:a4:cf;;13;-81.0;14;ADV_NONCONN_IND;37;1784762376.801016
Appareil_010;Apple;Appareil Apple BLE;faible;;4d:b1:d8:32:ed:5e;;1;-82.0;24;ADV_IND;37;1784762300.502021
Appareil_011;Apple;Appareil Apple BLE;faible;;76:35:75:41:2a:1a;;43;-87.0;25;ADV_IND;37;1784762381.660922
Appareil_012;Apple;Appareil Apple BLE;faible;;c0:2d:c5:9f:e2:af;;39;-72.0;33;ADV_IND;39;1784762381.72036
Appareil_013;Apple;Appareil Apple BLE;faible;;4f:2d:cc:dd:4a:1d;;1;-72.0;20;ADV_IND;38;1784762303.090572
