parametre;valeur
debut;2026-08-25T17:32:19.259721
motif_arret;condition d'arrêt atteinte
nombre_mesures;2117
energie_totale_j;1.714974813355569e-05
simulation_activee;True
mcp3208_active;False
ble_actif;True
wifi_actif;True
lora_simulation_active;True
lora_reel_actif;False
