timestamp_iso;device_id;ancien_niveau;nouveau_niveau;grandeur;valeur;unite
2026-07-23T00:47:18.415291;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:18.422412;Appareil_001;ROUGE;ORANGE;RSSI;-60.0;dBm
2026-07-23T00:47:19.173786;Appareil_002;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:19.184825;Appareil_002;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:47:19.301867;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:19.308953;Appareil_001;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:47:19.439942;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:19.448852;Appareil_001;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:47:19.676609;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:19.685865;Appareil_001;ROUGE;ORANGE;RSSI;-61.0;dBm
2026-07-23T00:47:19.906633;Appareil_002;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:19.913425;Appareil_002;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:47:20.078394;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:20.087063;Appareil_001;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:47:20.196390;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:20.203485;Appareil_001;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:47:20.317656;Appareil_002;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:20.327591;Appareil_002;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:47:20.445865;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:20.453084;Appareil_001;ROUGE;ORANGE;RSSI;-60.0;dBm
2026-07-23T00:47:20.464291;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:20.472036;Appareil_001;ROUGE;ORANGE;RSSI;-60.0;dBm
