parametre;valeur
duree_acquisition_s;136.91971010100042
temps_exposition_rf_s;0.7996719999999999
taux_occupation_percent;0.5840444735167147
puissance_moyenne_nw;3.3929891692439687
energie_totale_nj;2.7136262851775177
indice_tempo;89.9836
niveau_tempo;ROUGE
bande_frequence;2,4 GHz — BLE
note;Indice expérimental non réglementaire.
