numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_brut_dbm;rssi_calibre_dbm;offset_db;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
1;1784645822.706592083;0.000000;79:77:6a:2e:8d:1c;33;0x00;-59;-59.00;0.00;38;344.000;1784645822.706936121;;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
2;1784645822.743839979;0.037248;79:77:6a:2e:8d:1c;33;0x00;-60;-60.00;0.00;39;344.000;1784645822.744184017;37.248;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
3;1784645823.003812075;0.297220;79:77:6a:2e:8d:1c;33;0x00;-56;-56.00;0.00;38;344.000;1784645823.004156113;259.972;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
4;1784645823.052077055;0.345485;79:77:6a:2e:8d:1c;33;0x00;-59;-59.00;0.00;39;344.000;1784645823.052421093;48.265;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
5;1784645823.379796028;0.673204;79:77:6a:2e:8d:1c;33;0x00;-58;-58.00;0.00;38;344.000;1784645823.380140066;327.719;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
6;1784645823.635303974;0.928712;79:77:6a:2e:8d:1c;33;0x00;-64;-64.00;0.00;37;344.000;1784645823.635648012;255.508;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
7;1784645823.663521051;0.956929;79:77:6a:2e:8d:1c;33;0x00;-61;-61.00;0.00;38;344.000;1784645823.663865089;28.217;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
8;1784645823.690853119;0.984261;79:77:6a:2e:8d:1c;33;0x00;-62;-62.00;0.00;39;344.000;1784645823.691197157;27.332;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
9;1784645823.847724915;1.141133;79:77:6a:2e:8d:1c;33;0x00;-64;-64.00;0.00;39;344.000;1784645823.848068953;156.872;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
10;1784645824.110497952;1.403906;79:77:6a:2e:8d:1c;33;0x00;-67;-67.00;0.00;39;344.000;1784645824.110841990;262.773;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
11;1784645824.411111116;1.704519;79:77:6a:2e:8d:1c;33;0x00;-68;-68.00;0.00;37;344.000;1784645824.411455154;300.613;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
12;1784645824.434664965;1.728073;79:77:6a:2e:8d:1c;33;0x00;-64;-64.00;0.00;38;344.000;1784645824.435009003;23.554;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
13;1784645824.456820011;1.750228;79:77:6a:2e:8d:1c;33;0x00;-65;-65.00;0.00;39;344.000;1784645824.457164049;22.155;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
14;1784645824.691498041;1.984906;79:77:6a:2e:8d:1c;33;0x00;-60;-60.00;0.00;38;344.000;1784645824.691842079;234.678;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
