parametre;valeur
mode_acquisition;Durée limitée
duree_demandee_s;60
nombre_trames_demande;
heure_debut;2026-07-22T16:49:42.206329
heure_fin;2026-07-22T16:50:42.489663
duree_reelle_s;60.28326880499844
nombre_trames_final;175
nombre_appareils_logiques;6
motif_arret;durée atteinte
regle_regroupement;meme UUID OU meme adresse MAC
