uuid;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_mediane_dbm;rssi_min_dbm;rssi_max_dbm;rssi_ecart_type_db;intervalle_moyen_ms;intervalle_mediane_ms;canal_37;canal_38;canal_39
00112233-4455-6677-8899-aabbccddeeff;822;697;-57.5985401459854;-55.0;-63.0;-53.0;3.380838780765357;173.87697854261287;128.0750036239624;118;334;370
e20a39f4-73f5-4bc4-a12f-17d1ad07a961;811;689;-57.56596794081381;-55.0;-65.0;-53.0;3.4643188648697674;175.75767848863003;149.10602569580078;106;338;367
e20a39f4-73f5-4bc4-a12f-17d1ad07a9b1;1;1;-54.0;-54.0;-54.0;-54.0;0.0;;;0;1;0
