temps_s,mode,message,rssi_dbm,puissance_w,snr_ou_intervalle,energie_totale_j
3.0154879093170166,Wi-Fi 2.4 GHz,"PAQUET,3056,TAILLE,22,Welcome to new project",-40,1e-07,,7.392265377191218e-05
8.188193798065186,Wi-Fi 2.4 GHz,"PAQUET,3057,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-37,1.9952623149688787e-07,,7.392265377191218e-05
12.819058179855347,Wi-Fi 2.4 GHz,"PAQUET,3058,TAILLE,22,Welcome to new project",-38,1.584893192461114e-07,,7.392265377191218e-05
17.89943265914917,Wi-Fi 2.4 GHz,"PAQUET,3059,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.392265377191218e-05
23.039530754089355,Wi-Fi 2.4 GHz,"PAQUET,3060,TAILLE,22,Welcome to new project",-36,2.5118864315095823e-07,,7.392265377191218e-05
28.22173762321472,Wi-Fi 2.4 GHz,"PAQUET,3061,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-40,1e-07,,7.392265377191218e-05
33.321712493896484,Wi-Fi 2.4 GHz,"PAQUET,3062,TAILLE,22,Welcome to new project",-39,1.2589254117941662e-07,,7.392265377191218e-05
37.948237895965576,Wi-Fi 2.4 GHz,"PAQUET,3063,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-33,5.011872336272725e-07,,7.392265377191218e-05
43.01705837249756,Wi-Fi 2.4 GHz,"PAQUET,3064,TAILLE,22,Welcome to new project",-38,1.584893192461114e-07,,7.392265377191218e-05
48.12192702293396,Wi-Fi 2.4 GHz,"PAQUET,3065,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-33,5.011872336272725e-07,,7.392265377191218e-05
53.21766519546509,Wi-Fi 2.4 GHz,"PAQUET,3066,TAILLE,22,Welcome to new project",-34,3.981071705534969e-07,,7.392265377191218e-05
58.30621314048767,Wi-Fi 2.4 GHz,"PAQUET,3067,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.392265377191218e-05
62.920279026031494,Wi-Fi 2.4 GHz,"PAQUET,3068,TAILLE,22,Welcome to new project",-32,6.30957344480193e-07,,7.392265377191218e-05
68.0295660495758,Wi-Fi 2.4 GHz,"PAQUET,3069,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-36,2.5118864315095823e-07,,7.392265377191218e-05
73.16347742080688,Wi-Fi 2.4 GHz,"PAQUET,3070,TAILLE,22,Welcome to new project",-36,2.5118864315095823e-07,,7.392265377191218e-05
77.80511546134949,Wi-Fi 2.4 GHz,"PAQUET,3071,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-36,2.5118864315095823e-07,,7.392265377191218e-05
82.9172534942627,Wi-Fi 2.4 GHz,"PAQUET,3072,TAILLE,22,Welcome to new project",-35,3.162277660168379e-07,,7.392265377191218e-05
