device_id;temps_vert_s;temps_orange_s;temps_rouge_s;niveau_final;grandeur_surveillee;seuil_vert_orange;seuil_orange_rouge
Appareil_002;0.5376003189985568;60.39862401500159;0.0;ORANGE;RSSI;-70;-55
Appareil_003;47.15943828600075;12.108857138999156;0.0;ORANGE;RSSI;-70;-55
Appareil_004;40.46762353899976;0.0;0.0;VERT;RSSI;-70;-55
Appareil_005;0.0;37.39227907900022;0.0;ORANGE;RSSI;-70;-55
Appareil_006;35.42940752699997;0.0;0.0;VERT;RSSI;-70;-55
Appareil_007;0.0;35.1866504970003;0.0;ORANGE;RSSI;-70;-55
Appareil_008;21.75595929200017;0.0;0.0;VERT;RSSI;-70;-55
Appareil_009;0.0;18.27812864400039;0.0;ORANGE;RSSI;-70;-55
Appareil_010;0.0;16.982466595999995;0.0;ORANGE;RSSI;-70;-55
Appareil_011;0.0;1.4660451109998576;0.0;ORANGE;RSSI;-70;-55
