device_id;temps_vert_s;temps_orange_s;temps_rouge_s;niveau_final;grandeur_surveillee;seuil_vert_orange;seuil_orange_rouge
Appareil_001;6.586561494000307;1093.6679074470003;0.0;ORANGE;RSSI;-70;-55
Appareil_002;956.4398719149995;143.80825601300148;0.0;ORANGE;RSSI;-70;-55
Appareil_003;1086.9025930220005;13.21707058299944;0.0;VERT;RSSI;-70;-55
Appareil_004;17.673352514000726;1082.4363070029985;0.0;ORANGE;RSSI;-70;-55
Appareil_005;1100.099050447;0.0;0.0;VERT;RSSI;-70;-55
Appareil_006;9.191846095000074;1090.9023950150004;0.0;ORANGE;RSSI;-70;-55
Appareil_007;1099.4543720700003;0.0;0.0;VERT;RSSI;-70;-55
Appareil_008;1098.8804319350002;0.0;0.0;VERT;RSSI;-70;-55
Appareil_009;1098.698673252;0.0;0.0;VERT;RSSI;-70;-55
Appareil_010;1098.68991396;0.0;0.0;VERT;RSSI;-70;-55
Appareil_011;1098.6813930299995;0.0;0.0;VERT;RSSI;-70;-55
Appareil_012;1098.4354432200007;0.0;0.0;VERT;RSSI;-70;-55
Appareil_013;805.6301458589987;292.24888849400213;0.0;ORANGE;RSSI;-70;-55
Appareil_014;296.8086850670006;800.9015272489996;0.0;ORANGE;RSSI;-70;-55
Appareil_015;1097.1917055679987;0.0;0.0;VERT;RSSI;-70;-55
Appareil_016;1095.842195700001;0.0;0.0;VERT;RSSI;-70;-55
Appareil_017;1095.5478940080002;0.0;0.0;VERT;RSSI;-70;-55
Appareil_018;1093.5289778769993;0.0;0.0;VERT;RSSI;-70;-55
Appareil_019;1089.7529130080002;0.0;0.0;VERT;RSSI;-70;-55
Appareil_020;1088.6301774100002;0.0;0.0;VERT;RSSI;-70;-55
Appareil_021;1088.556527918;0.0;0.0;VERT;RSSI;-70;-55
Appareil_022;1087.0173268939998;0.0;0.0;VERT;RSSI;-70;-55
Appareil_023;0.0;1086.5508378450004;0.0;ORANGE;RSSI;-70;-55
Appareil_024;1085.8212402850004;0.0;0.0;VERT;RSSI;-70;-55
Appareil_025;0.0;1085.7168332160009;0.0;ORANGE;RSSI;-70;-55
Appareil_026;1083.5329642120005;0.0;0.0;VERT;RSSI;-70;-55
Appareil_027;1083.1535270260001;0.0;0.0;VERT;RSSI;-70;-55
Appareil_028;1083.0904782330008;0.0;0.0;VERT;RSSI;-70;-55
Appareil_029;1082.7837419570005;0.0;0.0;VERT;RSSI;-70;-55
Appareil_030;1076.3134499969992;0.0;0.0;VERT;RSSI;-70;-55
Appareil_031;1071.05089391;0.0;0.0;VERT;RSSI;-70;-55
Appareil_032;1067.576258227;0.0;0.0;VERT;RSSI;-70;-55
Appareil_033;1064.8885345459994;0.0;0.0;VERT;RSSI;-70;-55
Appareil_034;1052.0590913909991;0.0;0.0;VERT;RSSI;-70;-55
Appareil_035;1051.3601469129999;0.0;0.0;VERT;RSSI;-70;-55
Appareil_036;1050.1464836060004;0.0;0.0;VERT;RSSI;-70;-55
Appareil_037;1049.5461536369994;0.0;0.0;VERT;RSSI;-70;-55
Appareil_038;1048.251918715001;0.0;0.0;VERT;RSSI;-70;-55
Appareil_039;1046.0428346979998;0.0;0.0;VERT;RSSI;-70;-55
Appareil_040;1043.9673402860008;0.0;0.0;VERT;RSSI;-70;-55
Appareil_041;1043.0538286109995;0.0;0.0;VERT;RSSI;-70;-55
Appareil_042;1038.2695588440001;0.0;0.0;VERT;RSSI;-70;-55
Appareil_043;1035.1505153890012;0.0;0.0;VERT;RSSI;-70;-55
Appareil_044;1028.9585705530008;0.0;0.0;VERT;RSSI;-70;-55
