parametre;valeur
mode_acquisition;Durée limitée
duree_demandee_s;60
nombre_trames_demande;
heure_debut;2026-07-22T23:29:29.974872
heure_fin;2026-07-22T23:30:30.566750
duree_reelle_s;60.59181823199992
nombre_trames_final;284
nombre_appareils_logiques;2
motif_arret;durée atteinte
regle_regroupement;meme UUID OU meme adresse MAC
grandeur_alerte;RSSI
seuil_vert_orange;-70
seuil_orange_rouge;-60
chronometre_demarre_a_la_premiere_trame;True
