device_id;uuid_principal;adresse_mac_principale;uuid_observes;adresses_mac_observees;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_min_dbm;rssi_max_dbm;puissance_moyenne_nw;energie_totale_nj;longueur_moyenne_octets;longueur_min_octets;longueur_max_octets;intervalle_moyen_ms;canal_37;canal_38;canal_39
Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;6b:20:4b:6b:c7:fc;e20a19f4-73f5-4bc4-a12f-17d1ad07a961 | e20a39b4-7335-5b7a-a02f-17d32d36a965 | e20a39f4-03f5-4bc4-a02f-17d1ad07a761 | e20a39f4-7331-5bfa-a9af-16d32d06a961 | e20a39f4-7335-5bc4-992f-17d3ad03a945 | e20a39f4-7335-5bc4-b92f-17d3ad37a965 | e20a39f4-73f5-4bb4-a32f-2757a5f7b5ed | e20a39f4-73f5-4bc4-412f-19d1ad07a961 | e20a39f4-73f5-4bc4-a12f-17d1ad03a961 | e20a39f4-73f5-4bc4-a12f-17d1ad07a761 | e20a39f4-73f5-4bc4-a12f-17d1ad07a961 | e20a39f4-73f5-4bc4-a12f-17d1ad07e961 | e20a39f4-73f5-4bc4-a12f-17d1ad37a961 | e20a39f4-73f5-4bc4-a12f-17d1ade7b961 | e20a39f4-73f5-4bc4-a12f-c7d1ad076961 | e20a39f4-73f5-4bc4-a22b-2751a3f777ec | e20a39f4-73f5-5bc4-a12f-17d1ad07a961 | e20a39f4-73f5-5bc4-a92f-17d1ad07a961 | e20a39f4-b3f4-4bc4-a12f-17d1ad07a961 | e20a39f5-73f5-4bc4-a12f-17d1ad77a961 | e21239f4-73f5-4bfc-a12f-17d1ad07a961 | e21539e8-73f5-4bc4-a12f-07d1ad07a9e1;6b:20:4b:69:c7:fc | 6b:20:4b:6b:c7:fc | 6b:20:53:63:c7:fc | 6b:20:55:6b:c7:fc | 6b:20:7b:6b:c7:fc;147;146;-66.6938775510204;-71.0;-61.0;0.271541990189235;0.013731335359889237;33;33;33;367.2729163334287;10;52;85
Appareil_002;e20a39f4-72f5-4bc4-a12f-17d1ad07a961;6b:a0:4b:6b:c7:fc;e20a39f4-72f5-4bc4-a12f-17d1ad07a961 | e20a39f4-73f5-8bc4-a12f-17d1ad07a961;6b:a0:4b:6b:c7:fc;2;2;-64.5;-65.0;-64.0;0.35716746828516743;0.00024573121818019517;33;33;33;13460.088968276978;0;2;0
Appareil_003;e21a39f4-4bf5-43c4-512f-99d1ad07a921;6b:20:4b:6b:d7:fc;e21a39f4-4bf5-43c4-512f-99d1ad07a921;6b:20:4b:6b:d7:fc;1;1;-64.0;-64.0;-64.0;0.3981071705534969;0.00013694886667040294;33;33;33;;0;1;0
Appareil_004;e20a39f4-73f5-5bc4-99af-10d1ad07a961;6b:00:4b:6b:c7:fc;e20a39f4-73f5-5bc4-99af-10d1ad07a961;6b:00:4b:6b:c7:fc;1;1;-64.0;-64.0;-64.0;0.3981071705534969;0.00018790658450125054;49;49;49;;0;1;0
Appareil_005;e20a39f4-73f5-5fc4-d92f-07d12d06a9e1;6b:20:4b:6b:c7:f8;e20a39f4-73f5-5fc4-d92f-07d12d06a9e1;6b:20:4b:6b:c7:f8;1;1;-65.0;-65.0;-65.0;0.31622776601683794;0.00010878235150979225;33;33;33;;0;1;0
Appareil_006;e20a39f4-7335-5be4-992f-17d3ad13a945;6b:20:4b:63:c7:fc;e20a3934-73f5-4bc4-a12f-17d1ad07a961 | e20a39f4-7335-5be4-992f-17d3ad13a945;6b:20:4b:63:c7:fc;2;2;-64.0;-64.0;-64.0;0.3981071705534969;0.0002738977333408059;33;33;33;16011.577129364014;0;2;0
Appareil_007;e20a39f4-73f5-4b44-a02f-17d1aa07a961;6d:20:4b:6b:c7:fc;e20a39f4-73f5-4b44-a02f-17d1aa07a961;6d:20:4b:6b:c7:fc;1;1;-65.0;-65.0;-65.0;0.31622776601683794;0.00010878235150979225;33;33;33;;0;1;0
Appareil_008;e20a39f4-73f5-5bc4-a12f-13d1adf7a961;6b:20:0b:6b:c7:fc;e20a39f4-73f5-5bc4-a12f-13d1adf7a961;6b:20:0b:6b:c7:fc;1;1;-62.0;-62.0;-62.0;0.6309573444801942;0.00021704932650118682;33;33;33;;0;1;0
