numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,59.705020904541016,64.81125593185425,5.106235027313232,-29.0,1.2589254117941661e-06,6.428369034478106e-06
2,79.62825465202332,89.39464330673218,9.766388654708862,-28.5,1.4125375446227554e-06,1.3795390650153992e-05
3,100.05294227600098,104.65714716911316,4.604204893112183,-28.0,1.584893192461114e-06,7.29717299178965e-06
4,114.83836531639099,119.72887396812439,4.890508651733398,-29.0,1.2589254117941661e-06,6.1567856182664005e-06
5,124.61529874801636,130.24238967895508,5.627090930938721,-29.0,1.2589254117941661e-06,7.084087767435247e-06
6,139.54880213737488,149.47829842567444,9.92949628829956,-29.0,1.2589254117941661e-06,1.2500495203656168e-05
7,169.81821703910828,174.48552894592285,4.667311906814575,-29.0,1.2589254117941661e-06,5.875797564258354e-06
