temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
41.04534935951233,Beacons BLE,Beacon BLE | MAC=68:1F:53:C7:D7:4E,-82,6.309573444801943e-12,,1.1328275042330247e-06
42.05800175666809,Beacons BLE,Beacon BLE | MAC=68:1F:53:C7:D7:4E,-82,6.309573444801943e-12,,1.1328275042330247e-06
43.077629804611206,Beacons BLE,Beacon BLE | MAC=68:1F:53:C7:D7:4E,-82,6.309573444801943e-12,,1.1328275042330247e-06
44.10917592048645,Beacons BLE,Beacon BLE | MAC=68:1F:53:C7:D7:4E,-70,1e-10,,1.1328275042330247e-06
45.12680768966675,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
46.14028739929199,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
47.15366268157959,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
48.20677709579468,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
49.24582052230835,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
50.35547494888306,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
51.38482451438904,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
52.41293215751648,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
53.44195795059204,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
54.47000193595886,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
55.49993133544922,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
56.53451609611511,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
57.56248617172241,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
58.62411308288574,Beacons BLE,Beacon BLE | MAC=7B:CF:11:06:79:53,-64,3.9810717055349694e-10,,1.1328275042330247e-06
59.67166256904602,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-57,1.9952623149688828e-09,,1.1328275042330247e-06
60.742409229278564,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
61.788597106933594,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
62.86501431465149,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
63.905789852142334,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
64.94580388069153,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
65.98777532577515,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
67.0289957523346,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
68.11774587631226,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
69.18031787872314,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
70.23689770698547,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
71.29404425621033,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
