numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,0.0006582736968994141,9.832154273986816,9.831496000289917,-18.307692307692307,1.47649088161426e-05,0.0001451611419705513
2,10.647947072982788,21.06298828125,10.415041208267212,-27.153846153846153,1.925818634185076e-06,2.0057480434686447e-05
3,27.43941307067871,28.228048086166382,0.7886350154876709,-27.0,1.9952623149688787e-06,1.5735337266674478e-06
4,59.06615972518921,60.08531165122986,1.0191519260406494,-29.0,1.2589254117941661e-06,1.283036258171542e-06
5,61.07743453979492,66.10050320625305,5.02306866645813,-23.8,4.168693834703355e-06,2.0939635381155608e-05
6,69.08387231826782,71.10690999031067,2.0230376720428467,-21.5,7.079457843841373e-06,1.4322009915730322e-05
7,72.13473629951477,123.20784306526184,51.07310676574707,-20.0,1e-05,0.0005107310676574707
8,215.3662497997284,220.3759045600891,5.009654760360718,-28.4,1.445439770745928e-06,7.241154228332043e-06
9,221.37963247299194,222.40107345581055,1.0214409828186035,-29.0,1.2589254117941661e-06,1.285918009918348e-06
10,224.38463521003723,226.39440870285034,2.0097734928131104,-29.0,1.2589254117941661e-06,2.5301549220527444e-06
11,227.41679573059082,228.3816478252411,0.9648520946502686,-28.0,1.584893192461114e-06,1.5291875165430571e-06
12,235.44342136383057,371.69480538368225,136.25138401985168,-24.46323529411765,3.5782977106848525e-06,0.000487548015515878
13,387.69144320487976,409.7278485298157,22.036405324935913,-24.045454545454547,3.939621922381894e-06,8.681510550861063e-05
14,448.81578493118286,451.81224822998047,2.9964632987976074,-29.0,1.2589254117941661e-06,3.7723237923648834e-06
15,492.9109618663788,495.8963506221771,2.98538875579834,-28.666666666666668,1.3593563908785242e-06,4.058207284451359e-06
16,496.93669152259827,501.93706727027893,5.000375747680664,-28.8,1.3182567385564074e-06,6.591779024694069e-06
17,556.0283284187317,572.0502746105194,16.02194619178772,-27.625,1.7278259805078628e-06,2.7683134888469835e-05
18,573.0847492218018,577.0782413482666,3.9934921264648438,-27.75,1.678804018122559e-06,6.704290628249982e-06
19,578.1003785133362,592.0933947563171,13.993016242980957,-27.642857142857142,1.7207361621198888e-06,2.4078289066428318e-05
20,593.1169958114624,612.1410977840424,19.024101972579956,-27.36842105263158,1.8329807108324375e-06,3.4870811956648384e-05
21,613.127560377121,622.1887447834015,9.061184406280518,-27.444444444444443,1.801173528334133e-06,1.6320765487946505e-05
22,634.1776101589203,662.2224853038788,28.044875144958496,-19.821428571428573,1.0419746251239547e-05,0.00029222048265816245
23,665.253945350647,672.2725594043732,7.018614053726196,-26.285714285714285,2.3519526350709614e-06,1.650744781820741e-05
