timestamp;address;pdu_type_code;pdu_type_name;length_bytes;rssi_dbm;channel;uuid;major;minor;tx_power_dbm;raw_hex;source_field;device_id;canonical_uuid;calibrated_rssi_dbm;received_power_w;received_power_nw;airtime_us;frame_energy_j;frame_energy_nj
1784732291.908231;5e:d8:ca:3b:3a:19;0;ADV_IND;33;-71.0;38;e20a39f4-71f5-4bc4-a12f-17d1adca9861;8736;23553;72;0215e20a39f471f54bc4a12f17d1adca986122205c0148;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-71.0;7.943282347242822e-11;0.07943282347242822;344.0;2.7324891274515306e-14;2.7324891274515306e-05
1784732291.950164;5e:d8:ca:3b:3a:19;0;ADV_IND;33;-70.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;25120;20481;-56;0215e20a39f473f54bc4a12f17d1ad07a96162205001c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-70.0;1e-10;0.1;344.0;3.4400000000000004e-14;3.44e-05
1784732292.05742;7b:c6:e5:78:47:72;0;ADV_IND;36;-70.0;38;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-70.0;1e-10;0.1;368.0;3.68e-14;3.68e-05
1784732292.09911;7b:c6:e5:78:47:72;0;ADV_IND;36;-70.0;39;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-70.0;1e-10;0.1;368.0;3.68e-14;3.68e-05
1784732292.194245;5e:d8:ca:3b:3a:19;0;ADV_IND;33;-70.0;38;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;25120;20481;-56;0215e20a39f473f54bc4a12f17d1ad07a96162205001c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-70.0;1e-10;0.1;344.0;3.4400000000000004e-14;3.44e-05
1784732293.025727;54:92:b0:fa:ca:a5;0;ADV_IND;33;-70.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-70.0;1e-10;0.1;344.0;3.4400000000000004e-14;3.44e-05
1784732293.326708;5e:d8:ca:3b:3a:19;0;ADV_IND;33;-70.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;25120;20481;-56;0215e20a39f473f54bc4a12f17d1ad07a96162205001c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-70.0;1e-10;0.1;344.0;3.4400000000000004e-14;3.44e-05
1784732293.884899;54:92:b0:fa:ca:a5;0;ADV_IND;33;-71.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-71.0;7.943282347242822e-11;0.07943282347242822;344.0;2.7324891274515306e-14;2.7324891274515306e-05
1784732294.125015;7b:c6:e5:78:47:72;0;ADV_IND;36;-75.0;37;00112233-4455-6677-8819-ab7bccddeeef;1;1;-56;021500112233445566778819ab7bccddeeef00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-75.0;3.1622776601683794e-11;0.03162277660168379;368.0;1.1637181789419636e-14;1.1637181789419635e-05
1784732296.153066;54:92:b0:fa:ca:a5;0;ADV_IND;33;-71.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-71.0;7.943282347242822e-11;0.07943282347242822;344.0;2.7324891274515306e-14;2.7324891274515306e-05
1784732296.185014;5e:d8:ca:3b:3a:19;0;ADV_IND;33;-75.0;37;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;25120;20481;-56;0215e20a39f473f54bc4a12f17d1ad07a96162205001c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-75.0;3.1622776601683794e-11;0.03162277660168379;344.0;1.0878235150979225e-14;1.0878235150979224e-05
1784732296.740042;54:92:b0:fa:ca:a5;0;ADV_IND;33;-87.0;38;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-87.0;1.9952623149688827e-12;0.001995262314968883;344.0;6.863702363492956e-16;6.863702363492956e-07
1784732296.777174;54:92:b0:fa:ca:a5;0;ADV_IND;33;-70.0;39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-70.0;1e-10;0.1;344.0;3.4400000000000004e-14;3.44e-05
1784732296.809066;5e:d8:ca:3b:3a:19;0;ADV_IND;33;-73.0;37;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;25120;20481;-56;0215e20a39f473f54bc4a12f17d1ad07a96162205001c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-73.0;5.011872336272715e-11;0.05011872336272715;344.0;1.7240840836778138e-14;1.724084083677814e-05
1784732297.199398;7b:c6:e5:78:47:72;0;ADV_IND;36;-68.0;39;00112233-4455-6677-8899-aabbccddeeff;1;1;-56;021500112233445566778899aabbccddeeff00010001c8;btcommon.eir_ad.entry.data;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;-68.0;1.584893192461111e-10;0.1584893192461111;368.0;5.832406948256888e-14;5.8324069482568874e-05
1784732297.304791;54:92:b0:fa:ca:a5;0;ADV_IND;33;-72.0;37;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-72.0;6.309573444801942e-11;0.06309573444801943;344.0;2.170493265011868e-14;2.1704932650118682e-05
1784732297.89547;54:92:b0:fa:ca:a5;0;ADV_IND;33;-80.0;38;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;-56;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;btcommon.eir_ad.entry.data;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;-80.0;1e-11;0.01;344.0;3.4399999999999995e-15;3.4399999999999997e-06
