timestamp_epoch;elapsed_s;source;technology;band;device;rssi_dbm;adc_code;voltage_v;power_detector_dbm;power_antenna_dbm;power_w;duration_s;energy_j;cumulative_energy_j;packet_length_bytes;pdu_type;channel;alert_level;simulated
1787667189.3083727;4.751012172999253;BLE Sniffer;Appareil BLE;2,4 GHz BLE;01:02:48:e9:3e:3f;-90.0;;;;-90.0;1e-12;0.00028;2.7999999999999996e-16;2.7999999999999996e-16;25;0x08;37;VERT;False
1787667189.609644;5.052282880998973;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-74.0;;;;-74.0;3.9810717055349695e-11;0.00028;1.1147000775497913e-14;1.1147000775497913e-14;25;0x00;38;VERT;False
1787667189.6097338;5.0523712989997875;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-84.0;;;;-84.0;3.9810717055349695e-12;0.00028;1.1147000775497915e-15;1.2261700853047705e-14;25;0x00;39;VERT;False
1787667189.8107505;5.253389323999727;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-82.0;;;;-82.0;6.309573444801943e-12;0.00028;1.7666805645445437e-15;1.4028381417592249e-14;25;0x00;37;VERT;False
1787667190.1120427;5.554682230000253;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-75.0;;;;-75.0;3.1622776601683794e-11;0.00028;8.854377448471461e-15;2.288275886606371e-14;25;0x00;38;VERT;False
1787667190.1121328;5.554770499998995;BLE Sniffer;Appareil Apple BLE;2,4 GHz BLE;4c:f5:9e:3d:87:7b;-96.0;;;;-96.0;2.511886431509582e-13;0.00028;7.033282008226829e-17;7.033282008226829e-17;25;0x00;39;VERT;False
1787667190.2130253;5.655664899999465;BLE Sniffer;Appareil BLE;2,4 GHz BLE;d3:23:2f:4d:3e:b1;-72.0;;;;-72.0;6.309573444801942e-11;0.000376;2.3723996152455302e-14;2.3723996152455302e-14;37;0x00;37;VERT;False
1787667190.4141555;5.856794332999925;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-72.0;;;;-72.0;6.309573444801942e-11;0.00028;1.7666805645445437e-14;4.054956451150915e-14;25;0x00;38;VERT;False
1787667190.414227;5.85686456700023;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-82.0;;;;-82.0;6.309573444801943e-12;0.00028;1.7666805645445437e-15;4.231624507605369e-14;25;0x00;39;VERT;False
1787667190.615471;6.0581099889986945;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-78.0;;;;-78.0;1.5848931924611107e-11;0.00028;4.4377009388911094e-15;4.67539460149448e-14;25;0x00;37;VERT;False
1787667190.716162;6.1588015369998175;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:bf:7b;-73.0;;;;-73.0;5.011872336272715e-11;0.00028;1.40332425415636e-14;1.40332425415636e-14;25;0x00;38;VERT;False
1787667190.71625;6.158887454999785;BLE Sniffer;Appareil Apple BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-78.0;;;;-78.0;1.5848931924611107e-11;0.00028;4.4377009388911094e-15;5.1191646953835905e-14;25;0x00;39;VERT;False
1787667190.91736;6.359999500999038;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-84.0;;;;-84.0;3.9810717055349695e-12;0.00028;1.1147000775497915e-15;5.23063470313857e-14;25;0x00;37;VERT;False
1787667191.0180278;6.4606664779985294;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-77.0;;;;-77.0;1.9952623149688828e-11;0.00028;5.586734481912872e-15;5.789308151329856e-14;25;0x00;38;VERT;False
1787667191.018101;6.460738563999257;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-85.0;;;;-85.0;3.1622776601683794e-12;0.00028;8.854377448471461e-16;5.87785192581457e-14;25;0x00;39;VERT;False
1787667191.520036;6.962675341999784;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-79.0;;;;-79.0;1.2589254117941662e-11;0.00028;3.524991153023665e-15;6.230351041116937e-14;25;0x00;37;VERT;False
1787667191.520115;6.96275255799992;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-73.0;;;;-73.0;5.011872336272715e-11;0.00028;1.40332425415636e-14;7.633675295273297e-14;25;0x00;38;VERT;False
1787667191.5201535;6.962791276999269;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-80.0;;;;-80.0;1e-11;0.00028;2.7999999999999997e-15;7.913675295273297e-14;25;0x00;39;VERT;False
1787667191.821652;7.264290920998974;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-81.0;;;;-81.0;7.943282347242821e-12;0.00028;2.22411905722799e-15;8.136087200996097e-14;25;0x00;37;VERT;False
1787667191.8217242;7.264361673998792;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-71.0;;;;-71.0;7.943282347242822e-11;0.00028;2.22411905722799e-14;1.0360206258224087e-13;25;0x00;38;VERT;False
1787667191.8217616;7.264399133999177;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-82.0;;;;-82.0;6.309573444801943e-12;0.00028;1.7666805645445437e-15;1.0536874314678541e-13;25;0x00;39;VERT;False
1787667192.2235713;7.666211200999896;BLE Sniffer;Appareil BLE;2,4 GHz BLE;d3:23:2f:4d:3e:b1;-72.0;;;;-72.0;6.309573444801942e-11;0.000376;2.3723996152455302e-14;4.7447992304910603e-14;37;0x00;37;VERT;False
1787667192.2236536;7.6662913789987215;BLE Sniffer;Appareil BLE;2,4 GHz BLE;d3:23:2f:4d:3e:b1;-78.0;;;;-78.0;1.5848931924611107e-11;0.000376;5.959198403653776e-15;5.340719070856438e-14;37;0x00;38;VERT;False
1787667192.3244762;7.767115851000199;BLE Sniffer;Appareil BLE;2,4 GHz BLE;d3:23:2f:4d:3e:b1;-82.0;;;;-82.0;6.309573444801943e-12;0.000376;2.3723996152455303e-15;5.577959032380991e-14;37;0x00;39;VERT;False
1787667192.3245592;7.767196714999955;BLE Sniffer;Appareil BLE;2,4 GHz BLE;48:e9:9e:3d:b7:7b;-77.0;;;;-77.0;1.9952623149688828e-11;0.00028;5.586734481912872e-15;1.1095547762869828e-13;25;0x00;37;VERT;False
