device_id;fabricant;type_detecte;confiance_detection;nom_local;adresse_mac;uuid_ibeacon;nombre_trames;rssi_recent_dbm;longueur_recente_octets;type_pdu_recent;canal_recent;derniere_detection_epoch
Appareil_001;Apple;iBeacon;élevée;;5b:d0:b2:88:8f:9a;00112233-4455-6677-8899-aabbccddeeff;1977;-67.0;36;ADV_IND;39;1784763024.398664
Appareil_002;Apple;Appareil Apple BLE;faible;;4f:2d:cc:dd:4c:1d;;559;-70.0;20;ADV_IND;38;1784763024.549061
Appareil_003;Apple;Appareil Apple BLE;faible;;f5:39:7e:e8:f2:89;;46;-78.0;37;ADV_NONCONN_IND;37;1784763018.737701
Appareil_004;Apple;iBeacon;élevée;;78:d8:0b:6e:66:9e;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;1072;-67.0;33;ADV_IND;39;1784763023.568735
Appareil_005;Apple;Appareil Apple BLE;faible;;76:35:75:41:2a:1a;;88;-80.0;25;ADV_IND;37;1784763016.988126
Appareil_006;Apple;Appareil Apple BLE;faible;;68:00:48:f7:63:93;;957;-66.0;34;ADV_IND;39;1784763024.117053
Appareil_007;Apple;Appareil Apple BLE;faible;;d3:a4:a0:7b:65:fc;;27;-82.0;33;ADV_IND;37;1784762987.167906
Appareil_008;Apple;Appareil Apple BLE;faible;;77:35:75:41:2a:1a;;2;-84.0;25;ADV_IND;37;1784762897.225991
Appareil_009;Apple;Appareil Apple BLE;faible;;72:7c:80:9b:92:72;;7;-94.0;24;ADV_NONCONN_IND;37;1784762910.690907
Appareil_010;Apple;Appareil Apple BLE;faible;;ee:60:7b:98:38:c6;;11;-86.0;14;ADV_NONCONN_IND;38;1784762975.881684
Appareil_011;Apple;Appareil Apple BLE;faible;;7f:2d:a2:88:79:9d;;1;-89.0;23;ADV_NONCONN_IND;39;1784762829.614281
Appareil_012;Apple;Appareil Apple BLE;faible;;55:b1:c8:32:ed:5e;;92;-88.0;24;ADV_IND;39;1784763018.069274
Appareil_013;Apple;Appareil Apple BLE;faible;;c0:2d:c5:9f:e2:af;;103;-70.0;33;ADV_IND;39;1784763022.109531
Appareil_014;Apple;Appareil Apple BLE;faible;;4f:2d:ce:dd:4c:1d;;4;-70.0;20;ADV_IND;38;1784763015.281778
Appareil_015;Apple;Appareil Apple BLE;faible;;f3:24:fe:8d:e0:99;;5;-94.0;14;ADV_NONCONN_IND;37;1784762934.001908
Appareil_016;Apple;Appareil Apple BLE;faible;;ee:60:79:98:38:c6;;1;-87.0;14;ADV_NONCONN_IND;37;1784762832.444977
Appareil_017;Apple;Appareil Apple BLE;faible;;76:35:75:41:2a:3a;;1;-86.0;25;ADV_IND;37;1784762832.707501
Appareil_018;Apple;Appareil Apple BLE;faible;;52:7c:80:9b:9a:72;;1;-89.0;24;ADV_IND;37;1784762834.750818
Appareil_019;Apple;Appareil Apple BLE;faible;;4f:2d:4c:dd:4c:1d;;1;-82.0;20;ADV_IND;39;1784762838.531711
Appareil_020;Apple;Appareil Apple BLE;faible;;55:b1:c8:32:ed:ce;;1;-86.0;24;ADV_IND;38;1784762839.614655
Appareil_021;Apple;Appareil Apple BLE;faible;;4f:2d:cc:dd:4c:5d;;2;-87.0;20;ADV_IND;39;1784762876.977473
Appareil_022;Apple;Appareil Apple BLE;faible;;6f:2d:cc:dd:4c:1d;;2;-77.0;20;ADV_IND;37;1784762955.051078
Appareil_023;Apple;Appareil Apple BLE;faible;;68:00:48:f7:43:93;;1;-69.0;34;ADV_IND;38;1784762841.665907
Appareil_024;Apple;Appareil Apple BLE;faible;;7f:3d:22:8e:79:9d;;1;-87.0;23;ADV_NONCONN_IND;37;1784762842.459993
Appareil_025;Apple;iBeacon;élevée;;5b:d0:82:a8:7f:9a;00112233-445b-6677-8899-aabbdc5dedeb;1;-68.0;36;ADV_IND;38;1784762842.572707
Appareil_026;Apple;Appareil Apple BLE;faible;;16:35:75:41:2a:1a;;1;-87.0;25;ADV_IND;37;1784762844.749981
Appareil_027;Apple;Appareil Apple BLE;faible;;7f:3d:a2:88:79:9d;;14;-80.0;23;ADV_NONCONN_IND;37;1784762980.133418
Appareil_028;Apple;Appareil Apple BLE;faible;;ee:60:7b:98:78:c6;;1;-89.0;12;ADV_NONCONN_IND;37;1784762845.157407
Appareil_029;Apple;Appareil Apple BLE;faible;;4f:2d:cc:dd:4a:1d;;1;-76.0;20;ADV_IND;38;1784762845.445917
Appareil_030;Apple;Appareil Apple BLE;faible;;ee:60:7b:98:38:86;;1;-89.0;14;ADV_NONCONN_IND;37;1784762850.060877
Appareil_031;Apple;Appareil Apple BLE;faible;;e8:b7:17:7f:a4:cf;;1;-82.0;14;ADV_NONCONN_IND;38;1784762854.234628
Appareil_032;Apple;Appareil Apple BLE;faible;;55:b1:c0:32:ed:5e;;1;-87.0;26;ADV_IND;37;1784762856.409917
Appareil_033;Apple;Appareil Apple BLE;faible;;4d:2e:4c:dd:5c:1d;;1;-85.0;20;ADV_IND;39;1784762857.919319
Appareil_034;Apple;Appareil Apple BLE;faible;;77:3d:75:41:2a:3a;;1;-87.0;57;ADV_IND;37;1784762864.913293
Appareil_035;Apple;Appareil Apple BLE;faible;;4f:2d:cc:dd:4c:2d;;1;-79.0;20;ADV_IND;37;1784762865.272255
Appareil_036;Apple;Appareil Apple BLE;faible;;ee:60:7b:99:38:c6;;1;-86.0;14;ADV_NONCONN_IND;37;1784762865.916529
Appareil_037;Apple;Appareil Apple BLE;faible;;4f:ed:cc:5d:4c:1d;;1;-80.0;20;ADV_IND;37;1784762866.173637
Appareil_038;Apple;Appareil Apple BLE;faible;;76:3d:75:41:2a:12;;1;-81.0;25;ADV_IND;37;1784762866.801437
Appareil_039;Apple;Appareil Apple BLE;faible;;4f:2f:cc:dd:4c:1d;;1;-73.0;20;ADV_IND;38;1784762867.784104
Appareil_040;Apple;Appareil Apple BLE;faible;;4f:25:cc:dd:4c:1d;;2;-78.0;20;ADV_IND;37;1784762923.304054
Appareil_041;Apple;Appareil Apple BLE;faible;;4f:2d:ec:8d:4c:1d;;1;-84.0;20;ADV_IND;39;1784762868.816734
Appareil_042;Apple;Appareil Apple BLE;faible;;4f:2d:cc:dd:4c:3d;;2;-89.0;20;ADV_IND;39;1784762935.633375
Appareil_043;Apple;Appareil Apple BLE;faible;;72:7d:80:9b:92:72;;1;-90.0;24;ADV_IND;37;1784762871.604658
Appareil_044;Apple;Appareil Apple BLE;faible;;4f:2d:ca:dd:4c:19;;1;-87.0;20;ADV_IND;39;1784762873.382185
Appareil_045;Apple;Appareil Apple BLE;faible;;5f:3d:a2:88:79:9d;;1;-85.0;23;ADV_NONCONN_IND;37;1784762876.149738
Appareil_046;Apple;Appareil Apple BLE;faible;;c0:0d:c5:9f:e2:af;;1;-70.0;33;ADV_IND;38;1784762879.445439
Appareil_047;Apple;Appareil Apple BLE;faible;;7a:35:7d:41:2a:1a;;1;-84.0;57;ADV_IND;37;1784762880.856992
Appareil_048;Apple;Appareil Apple BLE;faible;;4f:2d:c8:dd:4c:1d;;2;-91.0;20;ADV_IND;39;1784762906.918671
Appareil_049;Apple;Appareil Apple BLE;faible;;73:fc:82:9b:92:72;;1;-92.0;25;ADV_IND;37;1784762884.463378
Appareil_050;Apple;Appareil Apple BLE;faible;;f5:39:fe:e8:f2:89;;1;-73.0;37;ADV_NONCONN_IND;38;1784762884.485829
