device_id;nombre_valeurs;longueur_moyenne_octets;longueur_mediane_octets;longueur_min_octets;longueur_max_octets;ecart_type_octets
Appareil_001;1977;36.00809307030855;36;36;52;0.3597549543088375
Appareil_002;559;20.012522361359572;20;20;22;0.13971824107167538
Appareil_003;46;37;37.0;37;37;0.0
Appareil_004;1072;33.01679104477612;33.0;33;51;0.5495060206999334
Appareil_005;88;25.386363636363637;25.0;25;57;3.3959595584037876
Appareil_006;957;34;34;34;34;0.0
Appareil_007;27;33.44444444444444;33;33;45;2.2662308949301266
Appareil_008;2;25;25.0;25;25;0.0
Appareil_009;7;24;24;24;24;0.0
Appareil_010;11;16.90909090909091;14;14;46;9.199353193217103
Appareil_011;1;23;23;23;23;0.0
Appareil_012;92;24.043478260869566;24.0;24;28;0.4147561745291068
Appareil_013;103;33;33;33;33;0.0
Appareil_014;4;20;20.0;20;20;0.0
Appareil_015;5;14;14;14;14;0.0
Appareil_016;1;14;14;14;14;0.0
Appareil_017;1;25;25;25;25;0.0
Appareil_018;1;24;24;24;24;0.0
Appareil_019;1;20;20;20;20;0.0
Appareil_020;1;24;24;24;24;0.0
Appareil_021;2;20;20.0;20;20;0.0
Appareil_022;2;20;20.0;20;20;0.0
Appareil_023;1;34;34;34;34;0.0
Appareil_024;1;23;23;23;23;0.0
Appareil_025;1;36;36;36;36;0.0
Appareil_026;1;25;25;25;25;0.0
Appareil_027;14;23;23.0;23;23;0.0
Appareil_028;1;12;12;12;12;0.0
Appareil_029;1;20;20;20;20;0.0
Appareil_030;1;14;14;14;14;0.0
Appareil_031;1;14;14;14;14;0.0
Appareil_032;1;26;26;26;26;0.0
Appareil_033;1;20;20;20;20;0.0
Appareil_034;1;57;57;57;57;0.0
Appareil_035;1;20;20;20;20;0.0
Appareil_036;1;14;14;14;14;0.0
Appareil_037;1;20;20;20;20;0.0
Appareil_038;1;25;25;25;25;0.0
Appareil_039;1;20;20;20;20;0.0
Appareil_040;2;20;20.0;20;20;0.0
Appareil_041;1;20;20;20;20;0.0
Appareil_042;2;20;20.0;20;20;0.0
Appareil_043;1;24;24;24;24;0.0
Appareil_044;1;20;20;20;20;0.0
Appareil_045;1;23;23;23;23;0.0
Appareil_046;1;33;33;33;33;0.0
Appareil_047;1;57;57;57;57;0.0
Appareil_048;2;20;20.0;20;20;0.0
Appareil_049;1;25;25;25;25;0.0
Appareil_050;1;37;37;37;37;0.0
Appareil_051;10;14;14.0;14;14;0.0
Appareil_052;1;33;33;33;33;0.0
Appareil_053;1;20;20;20;20;0.0
Appareil_054;1;24;24;24;24;0.0
Appareil_055;1;20;20;20;20;0.0
Appareil_056;2;20;20.0;20;20;0.0
Appareil_057;1;25;25;25;25;0.0
Appareil_058;1;35;35;35;35;0.0
Appareil_059;1;33;33;33;33;0.0
Appareil_060;1;26;26;26;26;0.0
Appareil_061;1;25;25;25;25;0.0
Appareil_062;1;24;24;24;24;0.0
Appareil_063;1;14;14;14;14;0.0
Appareil_064;1;24;24;24;24;0.0
Appareil_065;1;20;20;20;20;0.0
Appareil_066;1;20;20;20;20;0.0
Appareil_067;1;20;20;20;20;0.0
Appareil_068;1;25;25;25;25;0.0
Appareil_069;1;25;25;25;25;0.0
Appareil_070;1;20;20;20;20;0.0
Appareil_071;2;25;25.0;25;25;0.0
Appareil_072;1;25;25;25;25;0.0
Appareil_073;2;32;32.0;20;44;12.0
Appareil_074;1;14;14;14;14;0.0
Appareil_075;1;24;24;24;24;0.0
Appareil_076;1;25;25;25;25;0.0
Appareil_077;1;37;37;37;37;0.0
Appareil_078;1;20;20;20;20;0.0
Appareil_079;1;25;25;25;25;0.0
Appareil_080;1;20;20;20;20;0.0
Appareil_081;2;25;25.0;25;25;0.0
Appareil_082;1;24;24;24;24;0.0
Appareil_083;1;24;24;24;24;0.0
Appareil_084;1;20;20;20;20;0.0
Appareil_085;1;14;14;14;14;0.0
Appareil_086;1;20;20;20;20;0.0
Appareil_087;1;25;25;25;25;0.0
Appareil_088;1;34;34;34;34;0.0
Appareil_089;1;20;20;20;20;0.0
Appareil_090;1;31;31;31;31;0.0
Appareil_091;1;20;20;20;20;0.0
Appareil_092;1;33;33;33;33;0.0
Appareil_093;1;14;14;14;14;0.0
Appareil_094;1;20;20;20;20;0.0
Appareil_095;1;20;20;20;20;0.0
Appareil_096;1;14;14;14;14;0.0
Appareil_097;1;21;21;21;21;0.0
Appareil_098;2;25;25.0;25;25;0.0
Appareil_099;1;20;20;20;20;0.0
Appareil_100;1;23;23;23;23;0.0
Appareil_101;1;20;20;20;20;0.0
Appareil_102;1;14;14;14;14;0.0
Appareil_103;1;25;25;25;25;0.0
Appareil_104;1;20;20;20;20;0.0
Appareil_105;1;25;25;25;25;0.0
Appareil_106;1;17;17;17;17;0.0
Appareil_107;1;20;20;20;20;0.0
Appareil_108;1;20;20;20;20;0.0
Appareil_109;1;20;20;20;20;0.0
Appareil_110;1;24;24;24;24;0.0
Appareil_111;1;20;20;20;20;0.0
Appareil_112;1;20;20;20;20;0.0
Appareil_113;1;24;24;24;24;0.0
Appareil_114;1;24;24;24;24;0.0
Appareil_115;1;24;24;24;24;0.0
