device_id;temps_vert_s;temps_orange_s;temps_rouge_s;niveau_final;grandeur_surveillee;seuil_vert_orange;seuil_orange_rouge
Appareil_001;6.586561494000307;1082.2091203850005;0.0;ORANGE;RSSI;-70;-55
Appareil_002;956.4398719149995;132.34950704200037;0.0;ORANGE;RSSI;-70;-55
Appareil_003;1075.4438563290014;13.21707058299944;0.0;VERT;RSSI;-70;-55
Appareil_004;17.673352514000726;1070.9775754759985;0.0;ORANGE;RSSI;-70;-55
Appareil_005;1088.6403325130004;0.0;0.0;VERT;RSSI;-70;-55
Appareil_006;9.191846095000074;1079.4436822839998;0.0;ORANGE;RSSI;-70;-55
Appareil_007;1087.99566495;0.0;0.0;VERT;RSSI;-70;-55
Appareil_008;1087.4217344259996;0.0;0.0;VERT;RSSI;-70;-55
Appareil_009;1087.2399815200006;0.0;0.0;VERT;RSSI;-70;-55
Appareil_010;1087.231227839001;0.0;0.0;VERT;RSSI;-70;-55
Appareil_011;1087.22271215;0.0;0.0;VERT;RSSI;-70;-55
Appareil_012;1086.9767685060006;0.0;0.0;VERT;RSSI;-70;-55
Appareil_013;805.6301458589987;280.7902195580018;0.0;ORANGE;RSSI;-70;-55
Appareil_014;296.8086850670006;789.4428606279998;0.0;ORANGE;RSSI;-70;-55
Appareil_015;1085.733044409999;0.0;0.0;VERT;RSSI;-70;-55
Appareil_016;1084.3835411340006;0.0;0.0;VERT;RSSI;-70;-55
Appareil_017;1084.0892448679997;0.0;0.0;VERT;RSSI;-70;-55
Appareil_018;1082.0703341990002;0.0;0.0;VERT;RSSI;-70;-55
Appareil_019;1078.2943406619997;0.0;0.0;VERT;RSSI;-70;-55
Appareil_020;1077.1716129340011;0.0;0.0;VERT;RSSI;-70;-55
Appareil_021;1077.0979729229994;0.0;0.0;VERT;RSSI;-70;-55
Appareil_022;1075.5587767880006;0.0;0.0;VERT;RSSI;-70;-55
Appareil_023;0.0;1075.0922941090002;0.0;ORANGE;RSSI;-70;-55
Appareil_024;1074.3627016970004;0.0;0.0;VERT;RSSI;-70;-55
Appareil_025;0.0;1074.2583009060008;0.0;ORANGE;RSSI;-70;-55
Appareil_026;1072.0744366789995;0.0;0.0;VERT;RSSI;-70;-55
Appareil_027;1071.6950326960005;0.0;0.0;VERT;RSSI;-70;-55
Appareil_028;1071.6319919770003;0.0;0.0;VERT;RSSI;-70;-55
Appareil_029;1071.3252626079993;0.0;0.0;VERT;RSSI;-70;-55
Appareil_030;1064.8549761290005;0.0;0.0;VERT;RSSI;-70;-55
Appareil_031;1059.592426172001;0.0;0.0;VERT;RSSI;-70;-55
Appareil_032;1056.117795989001;0.0;0.0;VERT;RSSI;-70;-55
Appareil_033;1053.4300778269999;0.0;0.0;VERT;RSSI;-70;-55
Appareil_034;1040.6006491889993;0.0;0.0;VERT;RSSI;-70;-55
Appareil_035;1039.9017103960005;0.0;0.0;VERT;RSSI;-70;-55
Appareil_036;1038.6880525340002;0.0;0.0;VERT;RSSI;-70;-55
Appareil_037;1038.0877287119993;0.0;0.0;VERT;RSSI;-70;-55
Appareil_038;1036.7934982160004;0.0;0.0;VERT;RSSI;-70;-55
Appareil_039;1034.5844189959998;0.0;0.0;VERT;RSSI;-70;-55
