temps_s,paquets_total,paquets_par_seconde,debit_ko_s,source
288.07,37206,128.95,67.62,"('10.213.124.218', 2390)"
289.08,37336,129.28,67.79,"('10.213.124.218', 2390)"
290.09,37465,127.6,66.91,"('10.213.124.218', 2390)"
291.09,37596,130.58,68.48,"('10.213.124.218', 2390)"
292.1,37725,127.35,66.78,"('10.213.124.218', 2390)"
293.12,37856,129.29,67.8,"('10.213.124.218', 2390)"
294.12,37987,130.95,68.67,"('10.213.124.218', 2390)"
295.12,38117,129.17,67.74,"('10.213.124.218', 2390)"
296.13,38246,128.48,67.38,"('10.213.124.218', 2390)"
297.13,38376,129.7,68.02,"('10.213.124.218', 2390)"
298.14,38506,129.31,67.81,"('10.213.124.218', 2390)"
299.14,38635,128.86,67.58,"('10.213.124.218', 2390)"
300.16,38765,127.54,66.88,"('10.213.124.218', 2390)"
301.16,38895,129.28,67.8,"('10.213.124.218', 2390)"
302.16,39026,130.67,68.53,"('10.213.124.218', 2390)"
303.17,39156,129.43,67.87,"('10.213.124.218', 2390)"
304.17,39285,128.78,67.54,"('10.213.124.218', 2390)"
305.17,39413,127.72,66.98,"('10.213.124.218', 2390)"
306.17,39544,130.91,68.65,"('10.213.124.218', 2390)"
307.19,39674,127.41,66.81,"('10.213.124.218', 2390)"
308.2,39806,130.61,68.49,"('10.213.124.218', 2390)"
309.21,39933,126.55,66.36,"('10.213.124.218', 2390)"
310.22,40063,128.83,67.56,"('10.213.124.218', 2390)"
311.23,40195,130.53,68.45,"('10.213.124.218', 2390)"
312.23,40326,130.93,68.66,"('10.213.124.218', 2390)"
313.24,40455,127.27,66.74,"('10.213.124.218', 2390)"
314.25,40587,130.32,68.34,"('10.213.124.218', 2390)"
315.27,40715,125.68,65.91,"('10.213.124.218', 2390)"
316.29,40849,131.61,69.02,"('10.213.124.218', 2390)"
317.3,40981,131.0,68.7,"('10.213.124.218', 2390)"
318.3,41110,128.29,67.28,"('10.213.124.218', 2390)"
319.31,41240,129.4,67.86,"('10.213.124.218', 2390)"
320.31,41370,129.85,68.09,"('10.213.124.218', 2390)"
321.32,41498,127.29,66.75,"('10.213.124.218', 2390)"
322.33,41629,129.2,67.75,"('10.213.124.218', 2390)"
323.34,41759,129.17,67.74,"('10.213.124.218', 2390)"
324.34,41890,130.92,68.65,"('10.213.124.218', 2390)"
325.34,42019,128.97,67.64,"('10.213.124.218', 2390)"
326.34,42149,129.46,67.89,"('10.213.124.218', 2390)"
327.35,42277,127.06,66.63,"('10.213.124.218', 2390)"
328.35,42409,131.24,68.83,"('10.213.124.218', 2390)"
329.36,42538,128.29,67.28,"('10.213.124.218', 2390)"
330.36,42668,129.56,67.94,"('10.213.124.218', 2390)"
331.38,42797,127.44,66.83,"('10.213.124.218', 2390)"
332.39,42929,129.58,67.96,"('10.213.124.218', 2390)"
333.41,43058,126.72,66.45,"('10.213.124.218', 2390)"
334.43,43192,131.59,69.01,"('10.213.124.218', 2390)"
335.43,43322,129.73,68.03,"('10.213.124.218', 2390)"
336.44,43453,130.35,68.36,"('10.213.124.218', 2390)"
337.7,43505,41.14,21.57,"('10.213.124.218', 2390)"
341.0,43655,45.51,23.87,"('10.213.124.218', 2390)"
346.49,44111,82.98,43.51,"('10.213.124.218', 2390)"
348.99,44784,269.82,141.5,"('10.213.124.218', 2390)"
350.14,45091,265.89,139.44,"('10.213.124.218', 2390)"
351.15,45353,260.13,136.42,"('10.213.124.218', 2390)"
356.49,45400,8.79,4.61,"('10.213.124.218', 2390)"
358.97,46080,275.06,144.24,"('10.213.124.218', 2390)"
360.01,46375,284.12,148.99,"('10.213.124.218', 2390)"
361.02,46606,226.69,118.88,"('10.213.124.218', 2390)"
362.03,46757,150.0,78.66,"('10.213.124.218', 2390)"
363.03,46888,130.67,68.52,"('10.213.124.218', 2390)"
364.05,47017,126.67,66.43,"('10.213.124.218', 2390)"
365.05,47149,131.72,69.08,"('10.213.124.218', 2390)"
366.06,47278,127.6,66.91,"('10.213.124.218', 2390)"
367.09,47409,128.21,67.24,"('10.213.124.218', 2390)"
368.09,47540,130.14,68.25,"('10.213.124.218', 2390)"
369.1,47672,131.03,68.71,"('10.213.124.218', 2390)"
370.1,47801,128.99,67.65,"('10.213.124.218', 2390)"
371.11,47930,127.56,66.89,"('10.213.124.218', 2390)"
372.11,48060,129.73,68.03,"('10.213.124.218', 2390)"
373.13,48190,128.56,67.42,"('10.213.124.218', 2390)"
374.13,48320,129.91,68.13,"('10.213.124.218', 2390)"
375.13,48449,128.17,67.21,"('10.213.124.218', 2390)"
376.14,48581,130.9,68.65,"('10.213.124.218', 2390)"
377.15,48710,128.26,67.26,"('10.213.124.218', 2390)"
378.15,48839,128.33,67.3,"('10.213.124.218', 2390)"
379.16,48971,131.21,68.81,"('10.213.124.218', 2390)"
380.16,49099,127.97,67.11,"('10.213.124.218', 2390)"
381.16,49228,128.91,67.6,"('10.213.124.218', 2390)"
382.16,49359,130.75,68.56,"('10.213.124.218', 2390)"
383.18,49489,127.27,66.74,"('10.213.124.218', 2390)"
384.2,49619,128.27,67.27,"('10.213.124.218', 2390)"
385.2,49750,130.79,68.59,"('10.213.124.218', 2390)"
386.21,49879,126.95,66.58,"('10.213.124.218', 2390)"
387.22,50012,131.56,68.99,"('10.213.124.218', 2390)"
388.22,50141,128.94,67.62,"('10.213.124.218', 2390)"
389.24,50272,129.41,67.86,"('10.213.124.218', 2390)"
390.25,50403,129.17,67.74,"('10.213.124.218', 2390)"
391.27,50533,128.17,67.22,"('10.213.124.218', 2390)"
392.27,50664,130.93,68.66,"('10.213.124.218', 2390)"
393.29,50794,127.41,66.82,"('10.213.124.218', 2390)"
394.29,50925,130.17,68.26,"('10.213.124.218', 2390)"
395.29,51055,129.89,68.12,"('10.213.124.218', 2390)"
396.32,51185,127.24,66.73,"('10.213.124.218', 2390)"
397.33,51316,129.38,67.85,"('10.213.124.218', 2390)"
398.33,51447,130.63,68.5,"('10.213.124.218', 2390)"
399.33,51575,127.7,66.97,"('10.213.124.218', 2390)"
400.34,51705,128.78,67.53,"('10.213.124.218', 2390)"
401.35,51837,131.4,68.91,"('10.213.124.218', 2390)"
402.35,51966,128.37,67.32,"('10.213.124.218', 2390)"
403.36,52095,128.43,67.35,"('10.213.124.218', 2390)"
404.36,52226,130.56,68.47,"('10.213.124.218', 2390)"
405.38,52356,127.48,66.85,"('10.213.124.218', 2390)"
406.38,52486,129.66,67.99,"('10.213.124.218', 2390)"
