temps_s,paquets_total,paquets_par_seconde,debit_ko_s,source
656.76,84832,130.03,68.19,"('10.213.124.218', 2390)"
657.78,84962,127.42,66.82,"('10.213.124.218', 2390)"
658.79,85092,129.82,68.08,"('10.213.124.218', 2390)"
659.79,85220,127.0,66.6,"('10.213.124.218', 2390)"
660.8,85353,131.98,69.21,"('10.213.124.218', 2390)"
661.8,85482,128.74,67.51,"('10.213.124.218', 2390)"
662.81,85613,130.53,68.45,"('10.213.124.218', 2390)"
663.82,85742,127.48,66.85,"('10.213.124.218', 2390)"
664.83,85873,128.98,67.64,"('10.213.124.218', 2390)"
665.84,86005,131.37,68.89,"('10.213.124.218', 2390)"
666.85,86130,123.17,64.59,"('10.213.124.218', 2390)"
667.86,86265,134.86,70.72,"('10.213.124.218', 2390)"
668.86,86395,129.9,68.12,"('10.213.124.218', 2390)"
669.86,86524,128.42,67.35,"('10.213.124.218', 2390)"
670.87,86655,130.09,68.22,"('10.213.124.218', 2390)"
671.87,86783,127.2,66.71,"('10.213.124.218', 2390)"
672.88,86915,131.22,68.81,"('10.213.124.218', 2390)"
673.88,87045,129.41,67.86,"('10.213.124.218', 2390)"
674.9,87174,127.47,66.84,"('10.213.124.218', 2390)"
675.9,87306,130.98,68.69,"('10.213.124.218', 2390)"
676.91,87436,129.11,67.71,"('10.213.124.218', 2390)"
677.92,87565,128.4,67.34,"('10.213.124.218', 2390)"
678.92,87695,129.46,67.89,"('10.213.124.218', 2390)"
679.93,87823,126.83,66.51,"('10.213.124.218', 2390)"
680.95,87955,129.66,67.99,"('10.213.124.218', 2390)"
681.95,88087,131.32,68.87,"('10.213.124.218', 2390)"
682.96,88216,128.3,67.28,"('10.213.124.218', 2390)"
683.96,88347,130.75,68.57,"('10.213.124.218', 2390)"
684.97,88477,128.78,67.54,"('10.213.124.218', 2390)"
686.0,88607,125.82,65.98,"('10.213.124.218', 2390)"
687.01,88741,133.58,70.05,"('10.213.124.218', 2390)"
688.01,88871,129.05,67.67,"('10.213.124.218', 2390)"
689.02,89000,128.43,67.35,"('10.213.124.218', 2390)"
690.03,89131,129.46,67.89,"('10.213.124.218', 2390)"
691.04,89261,128.13,67.19,"('10.213.124.218', 2390)"
692.06,89393,129.46,67.89,"('10.213.124.218', 2390)"
693.08,89525,130.3,68.33,"('10.213.124.218', 2390)"
694.08,89652,126.86,66.53,"('10.213.124.218', 2390)"
695.09,89785,131.68,69.06,"('10.213.124.218', 2390)"
696.09,89916,130.06,68.2,"('10.213.124.218', 2390)"
697.11,90046,128.56,67.42,"('10.213.124.218', 2390)"
698.11,90175,128.85,67.57,"('10.213.124.218', 2390)"
699.11,90305,129.37,67.84,"('10.213.124.218', 2390)"
700.12,90436,129.53,67.93,"('10.213.124.218', 2390)"
701.13,90567,130.09,68.22,"('10.213.124.218', 2390)"
702.14,90697,129.29,67.8,"('10.213.124.218', 2390)"
703.16,90826,126.53,66.35,"('10.213.124.218', 2390)"
704.16,90959,132.11,69.28,"('10.213.124.218', 2390)"
705.17,91089,129.12,67.71,"('10.213.124.218', 2390)"
706.17,91219,129.26,67.79,"('10.213.124.218', 2390)"
707.19,91349,127.68,66.96,"('10.213.124.218', 2390)"
708.21,91480,129.27,67.79,"('10.213.124.218', 2390)"
709.21,91611,129.96,68.15,"('10.213.124.218', 2390)"
710.22,91739,127.59,66.91,"('10.213.124.218', 2390)"
711.24,91872,130.24,68.3,"('10.213.124.218', 2390)"
712.25,92003,129.3,67.81,"('10.213.124.218', 2390)"
713.25,92133,129.91,68.12,"('10.213.124.218', 2390)"
714.26,92264,130.55,68.46,"('10.213.124.218', 2390)"
715.26,92392,127.4,66.81,"('10.213.124.218', 2390)"
716.27,92523,130.28,68.32,"('10.213.124.218', 2390)"
717.27,92652,128.6,67.44,"('10.213.124.218', 2390)"
718.27,92782,129.97,68.16,"('10.213.124.218', 2390)"
719.28,92913,130.13,68.24,"('10.213.124.218', 2390)"
720.28,93041,127.77,67.0,"('10.213.124.218', 2390)"
721.28,93172,130.74,68.56,"('10.213.124.218', 2390)"
722.28,93302,129.39,67.85,"('10.213.124.218', 2390)"
724.0,93410,63.02,33.05,"('10.213.124.218', 2390)"
726.5,93564,61.64,32.32,"('10.213.124.218', 2390)"
727.5,93976,411.14,215.61,"('10.213.124.218', 2390)"
730.32,94009,11.7,6.13,"('10.213.124.218', 2390)"
734.58,94396,90.82,47.62,"('10.213.124.218', 2390)"
737.52,94926,180.58,94.7,"('10.213.124.218', 2390)"
738.71,95375,377.45,197.94,"('10.213.124.218', 2390)"
739.95,95523,118.76,62.28,"('10.213.124.218', 2390)"
741.73,95682,89.37,46.87,"('10.213.124.218', 2390)"
744.46,95827,53.21,27.9,"('10.213.124.218', 2390)"
746.12,96291,278.59,146.1,"('10.213.124.218', 2390)"
747.16,96514,215.24,112.88,"('10.213.124.218', 2390)"
748.17,96648,133.01,69.75,"('10.213.124.218', 2390)"
749.17,96776,127.98,67.12,"('10.213.124.218', 2390)"
750.17,96907,130.93,68.66,"('10.213.124.218', 2390)"
751.17,97037,129.08,67.69,"('10.213.124.218', 2390)"
752.18,97165,126.57,66.37,"('10.213.124.218', 2390)"
753.19,97296,130.48,68.43,"('10.213.124.218', 2390)"
754.19,97426,129.28,67.8,"('10.213.124.218', 2390)"
755.2,97555,128.27,67.27,"('10.213.124.218', 2390)"
756.2,97686,130.62,68.5,"('10.213.124.218', 2390)"
757.21,97817,130.02,68.19,"('10.213.124.218', 2390)"
758.22,97948,130.15,68.26,"('10.213.124.218', 2390)"
759.22,98076,127.57,66.9,"('10.213.124.218', 2390)"
760.23,98206,129.26,67.79,"('10.213.124.218', 2390)"
761.23,98336,129.88,68.11,"('10.213.124.218', 2390)"
762.25,98467,127.73,66.98,"('10.213.124.218', 2390)"
763.26,98598,130.35,68.36,"('10.213.124.218', 2390)"
764.26,98730,131.05,68.72,"('10.213.124.218', 2390)"
765.28,98859,127.63,66.93,"('10.213.124.218', 2390)"
766.29,98990,129.47,67.9,"('10.213.124.218', 2390)"
767.29,99122,131.13,68.76,"('10.213.124.218', 2390)"
768.3,99252,129.22,67.77,"('10.213.124.218', 2390)"
769.31,99381,127.59,66.91,"('10.213.124.218', 2390)"
770.31,99512,130.76,68.57,"('10.213.124.218', 2390)"
771.31,99640,127.91,67.08,"('10.213.124.218', 2390)"
772.33,99772,130.21,68.28,"('10.213.124.218', 2390)"
773.33,99902,129.53,67.93,"('10.213.124.218', 2390)"
774.35,100033,128.33,67.3,"('10.213.124.218', 2390)"
775.36,100165,131.18,68.79,"('10.213.124.218', 2390)"
776.36,100293,127.34,66.78,"('10.213.124.218', 2390)"
777.38,100421,125.83,65.99,"('10.213.124.218', 2390)"
778.39,100556,133.09,69.79,"('10.213.124.218', 2390)"
779.4,100687,130.85,68.62,"('10.213.124.218', 2390)"
780.4,100816,128.68,67.48,"('10.213.124.218', 2390)"
781.41,100947,129.48,67.9,"('10.213.124.218', 2390)"
782.42,101076,128.25,67.26,"('10.213.124.218', 2390)"
783.42,101207,130.61,68.49,"('10.213.124.218', 2390)"
784.43,101337,128.09,67.17,"('10.213.124.218', 2390)"
785.43,101468,130.92,68.65,"('10.213.124.218', 2390)"
786.44,101598,129.55,67.94,"('10.213.124.218', 2390)"
787.46,101728,127.61,66.92,"('10.213.124.218', 2390)"
788.47,101860,130.32,68.34,"('10.213.124.218', 2390)"
789.48,101991,130.23,68.29,"('10.213.124.218', 2390)"
790.48,102121,129.2,67.75,"('10.213.124.218', 2390)"
791.49,102251,129.45,67.88,"('10.213.124.218', 2390)"
792.49,102379,127.59,66.91,"('10.213.124.218', 2390)"
793.51,102511,129.36,67.84,"('10.213.124.218', 2390)"
794.51,102641,129.31,67.81,"('10.213.124.218', 2390)"
795.55,102773,127.04,66.62,"('10.213.124.218', 2390)"
796.57,102907,131.7,69.07,"('10.213.124.218', 2390)"
797.58,103039,131.15,68.78,"('10.213.124.218', 2390)"
798.73,103043,3.47,1.82,"('10.213.124.218', 2390)"
799.73,103317,272.87,143.1,"('10.213.124.218', 2390)"
800.75,103448,128.39,67.33,"('10.213.124.218', 2390)"
801.76,103580,131.23,68.82,"('10.213.124.218', 2390)"
802.77,103709,127.47,66.85,"('10.213.124.218', 2390)"
803.77,103840,130.93,68.66,"('10.213.124.218', 2390)"
804.78,103970,129.59,67.96,"('10.213.124.218', 2390)"
805.79,104100,127.58,66.91,"('10.213.124.218', 2390)"
807.01,104178,64.22,33.68,"('10.213.124.218', 2390)"
810.92,104341,41.67,21.85,"('10.213.124.218', 2390)"
812.56,104791,274.77,144.09,"('10.213.124.218', 2390)"
815.44,105015,77.85,40.83,"('10.213.124.218', 2390)"
817.02,105392,238.73,125.19,"('10.213.124.218', 2390)"
819.78,105621,82.91,43.48,"('10.213.124.218', 2390)"
820.92,105931,270.7,141.96,"('10.213.124.218', 2390)"
822.0,106144,197.11,103.37,"('10.213.124.218', 2390)"
824.54,106232,34.67,18.18,"('10.213.124.218', 2390)"
825.58,106609,361.46,189.55,"('10.213.124.218', 2390)"
827.05,106680,48.6,25.49,"('10.213.124.218', 2390)"
830.58,106979,84.62,44.37,"('10.213.124.218', 2390)"
833.55,107356,126.93,66.56,"('10.213.124.218', 2390)"
836.52,107745,131.13,68.76,"('10.213.124.218', 2390)"
837.52,108207,459.06,240.74,"('10.213.124.218', 2390)"
839.61,108271,30.68,16.09,"('10.213.124.218', 2390)"
840.77,108504,201.14,105.48,"('10.213.124.218', 2390)"
847.05,108648,22.91,12.01,"('10.213.124.218', 2390)"
850.76,109412,205.86,107.96,"('10.213.124.218', 2390)"
856.41,109786,66.3,34.77,"('10.213.124.218', 2390)"
857.48,110619,773.21,405.48,"('10.213.124.218', 2390)"
859.17,110695,45.13,23.67,"('10.213.124.218', 2390)"
860.89,110920,130.39,68.38,"('10.213.124.218', 2390)"
861.9,111216,294.23,154.3,"('10.213.124.218', 2390)"
862.9,111346,129.52,67.92,"('10.213.124.218', 2390)"
865.62,111377,11.41,5.99,"('10.213.124.218', 2390)"
867.07,111759,263.12,137.98,"('10.213.124.218', 2390)"
868.38,111980,168.45,88.34,"('10.213.124.218', 2390)"
871.08,112059,29.28,15.36,"('10.213.124.218', 2390)"
873.06,112442,193.6,101.53,"('10.213.124.218', 2390)"
875.0,112443,0.52,0.27,"('10.213.124.218', 2390)"
876.95,112975,273.34,143.35,"('10.213.124.218', 2390)"
880.27,113272,89.37,46.86,"('10.213.124.218', 2390)"
882.26,113644,187.26,98.2,"('10.213.124.218', 2390)"
884.5,113879,104.47,54.79,"('10.213.124.218', 2390)"
885.51,114271,391.45,205.28,"('10.213.124.218', 2390)"
886.51,114401,129.44,67.88,"('10.213.124.218', 2390)"
887.52,114527,124.6,65.34,"('10.213.124.218', 2390)"
888.53,114661,132.39,69.43,"('10.213.124.218', 2390)"
889.54,114793,131.27,68.84,"('10.213.124.218', 2390)"
890.56,114923,127.65,66.94,"('10.213.124.218', 2390)"
891.56,115055,131.21,68.81,"('10.213.124.218', 2390)"
892.59,115184,126.27,66.22,"('10.213.124.218', 2390)"
893.59,115317,132.31,69.39,"('10.213.124.218', 2390)"
894.59,115445,127.76,67.0,"('10.213.124.218', 2390)"
895.6,115575,129.47,67.9,"('10.213.124.218', 2390)"
896.6,115705,129.07,67.69,"('10.213.124.218', 2390)"
897.61,115836,130.62,68.5,"('10.213.124.218', 2390)"
898.62,115967,129.48,67.9,"('10.213.124.218', 2390)"
899.63,116096,127.98,67.11,"('10.213.124.218', 2390)"
900.63,116228,131.6,69.02,"('10.213.124.218', 2390)"
901.63,116358,129.37,67.84,"('10.213.124.218', 2390)"
902.64,116488,129.44,67.88,"('10.213.124.218', 2390)"
903.64,116617,128.6,67.44,"('10.213.124.218', 2390)"
904.65,116747,128.33,67.3,"('10.213.124.218', 2390)"
905.66,116879,131.14,68.77,"('10.213.124.218', 2390)"
906.68,117009,128.17,67.21,"('10.213.124.218', 2390)"
907.68,117140,130.75,68.57,"('10.213.124.218', 2390)"
917.59,117196,5.65,2.96,"('10.213.124.218', 2390)"
919.73,117893,326.22,171.07,"('10.213.124.218', 2390)"
920.73,118249,355.13,186.23,"('10.213.124.218', 2390)"
924.2,118283,9.79,5.13,"('10.213.124.218', 2390)"
927.15,118728,150.78,79.07,"('10.213.124.218', 2390)"
928.5,119189,342.82,179.78,"('10.213.124.218', 2390)"
929.5,119384,194.36,101.92,"('10.213.124.218', 2390)"
930.51,119514,129.33,67.82,"('10.213.124.218', 2390)"
932.01,119560,30.66,16.08,"('10.213.124.218', 2390)"
933.76,119561,0.57,0.3,"('10.213.124.218', 2390)"
935.39,119563,1.23,0.64,"('10.213.124.218', 2390)"
937.17,120163,337.18,176.82,"('10.213.124.218', 2390)"
940.39,120469,94.92,49.78,"('10.213.124.218', 2390)"
941.4,120922,447.96,234.92,"('10.213.124.218', 2390)"
942.42,121054,130.37,68.37,"('10.213.124.218', 2390)"
943.42,121185,130.31,68.34,"('10.213.124.218', 2390)"
944.44,121315,127.51,66.87,"('10.213.124.218', 2390)"
945.44,121446,130.51,68.44,"('10.213.124.218', 2390)"
946.45,121576,129.86,68.1,"('10.213.124.218', 2390)"
947.46,121706,128.6,67.44,"('10.213.124.218', 2390)"
948.48,121836,127.36,66.79,"('10.213.124.218', 2390)"
949.81,121951,86.57,45.4,"('10.213.124.218', 2390)"
954.8,122094,28.64,15.02,"('10.213.124.218', 2390)"
957.18,122687,248.53,130.33,"('10.213.124.218', 2390)"
960.41,123073,119.49,62.66,"('10.213.124.218', 2390)"
967.21,123371,43.86,23.0,"('10.213.124.218', 2390)"
968.62,124138,542.05,284.26,"('10.213.124.218', 2390)"
970.42,124286,82.25,43.14,"('10.213.124.218', 2390)"
974.55,124510,54.35,28.5,"('10.213.124.218', 2390)"
977.34,125034,187.72,98.45,"('10.213.124.218', 2390)"
980.56,125421,120.01,62.93,"('10.213.124.218', 2390)"
981.69,125871,398.06,208.75,"('10.213.124.218', 2390)"
982.7,126021,148.18,77.71,"('10.213.124.218', 2390)"
983.71,126152,130.38,68.37,"('10.213.124.218', 2390)"
984.71,126281,128.9,67.6,"('10.213.124.218', 2390)"
985.71,126411,129.88,68.11,"('10.213.124.218', 2390)"
986.72,126541,129.15,67.73,"('10.213.124.218', 2390)"
987.72,126671,129.6,67.96,"('10.213.124.218', 2390)"
988.73,126800,127.6,66.91,"('10.213.124.218', 2390)"
989.73,126929,128.88,67.59,"('10.213.124.218', 2390)"
990.74,127061,130.86,68.63,"('10.213.124.218', 2390)"
991.74,127188,126.99,66.6,"('10.213.124.218', 2390)"
992.75,127321,131.16,68.78,"('10.213.124.218', 2390)"
993.76,127452,130.84,68.61,"('10.213.124.218', 2390)"
994.76,127581,128.59,67.44,"('10.213.124.218', 2390)"
995.76,127711,129.52,67.92,"('10.213.124.218', 2390)"
996.76,127841,129.99,68.17,"('10.213.124.218', 2390)"
997.78,127971,127.66,66.95,"('10.213.124.218', 2390)"
998.79,128102,129.35,67.83,"('10.213.124.218', 2390)"
999.8,128233,130.3,68.33,"('10.213.124.218', 2390)"
1000.8,128364,130.35,68.35,"('10.213.124.218', 2390)"
1001.81,128494,129.26,67.78,"('10.213.124.218', 2390)"
1002.82,128624,128.61,67.44,"('10.213.124.218', 2390)"
1003.83,128755,129.42,67.87,"('10.213.124.218', 2390)"
1004.84,128885,129.35,67.83,"('10.213.124.218', 2390)"
1005.84,129016,130.32,68.34,"('10.213.124.218', 2390)"
1006.85,129146,129.18,67.74,"('10.213.124.218', 2390)"
1007.85,129276,129.47,67.89,"('10.213.124.218', 2390)"
1008.86,129405,128.63,67.45,"('10.213.124.218', 2390)"
1009.86,129535,129.34,67.83,"('10.213.124.218', 2390)"
1010.87,129664,128.48,67.38,"('10.213.124.218', 2390)"
1011.87,129795,130.97,68.68,"('10.213.124.218', 2390)"
1012.87,129925,129.64,67.99,"('10.213.124.218', 2390)"
1013.88,130053,126.61,66.4,"('10.213.124.218', 2390)"
1014.88,130184,130.36,68.36,"('10.213.124.218', 2390)"
1015.91,130316,129.34,67.83,"('10.213.124.218', 2390)"
1016.91,130444,128.0,67.12,"('10.213.124.218', 2390)"
1017.91,130577,132.63,69.55,"('10.213.124.218', 2390)"
1018.91,130707,129.22,67.77,"('10.213.124.218', 2390)"
1019.92,130835,127.71,66.98,"('10.213.124.218', 2390)"
1020.92,130965,129.38,67.85,"('10.213.124.218', 2390)"
1021.93,131097,131.11,68.76,"('10.213.124.218', 2390)"
1022.94,131227,128.63,67.45,"('10.213.124.218', 2390)"
1023.94,131357,129.34,67.83,"('10.213.124.218', 2390)"
1024.95,131487,129.68,68.0,"('10.213.124.218', 2390)"
1025.97,131618,128.27,67.26,"('10.213.124.218', 2390)"
1026.97,131748,129.42,67.87,"('10.213.124.218', 2390)"
1027.98,131878,129.23,67.77,"('10.213.124.218', 2390)"
1028.99,132010,130.78,68.58,"('10.213.124.218', 2390)"
1030.0,132140,129.01,67.65,"('10.213.124.218', 2390)"
1031.0,132270,129.85,68.09,"('10.213.124.218', 2390)"
1032.0,132400,129.49,67.91,"('10.213.124.218', 2390)"
1033.0,132530,129.66,67.99,"('10.213.124.218', 2390)"
1034.02,132660,127.41,66.82,"('10.213.124.218', 2390)"
1035.03,132791,130.6,68.49,"('10.213.124.218', 2390)"
1036.03,132920,128.33,67.3,"('10.213.124.218', 2390)"
1037.03,133051,130.97,68.68,"('10.213.124.218', 2390)"
1038.03,133181,129.64,67.98,"('10.213.124.218', 2390)"
1039.04,133311,129.33,67.82,"('10.213.124.218', 2390)"
1040.04,133440,128.43,67.35,"('10.213.124.218', 2390)"
1041.05,133571,130.48,68.42,"('10.213.124.218', 2390)"
1042.05,133700,128.99,67.64,"('10.213.124.218', 2390)"
1043.07,133830,127.8,67.02,"('10.213.124.218', 2390)"
1044.07,133960,129.67,68.0,"('10.213.124.218', 2390)"
1045.07,134090,129.97,68.16,"('10.213.124.218', 2390)"
1046.07,134221,130.3,68.33,"('10.213.124.218', 2390)"
1047.08,134351,129.72,68.03,"('10.213.124.218', 2390)"
1048.09,134481,128.28,67.27,"('10.213.124.218', 2390)"
1049.09,134611,129.71,68.02,"('10.213.124.218', 2390)"
1050.1,134741,129.46,67.89,"('10.213.124.218', 2390)"
1051.11,134870,127.71,66.97,"('10.213.124.218', 2390)"
1052.11,135001,130.01,68.18,"('10.213.124.218', 2390)"
1053.11,135132,130.95,68.67,"('10.213.124.218', 2390)"
1054.13,135262,128.35,67.31,"('10.213.124.218', 2390)"
1055.13,135393,130.83,68.61,"('10.213.124.218', 2390)"
1056.14,135523,128.43,67.35,"('10.213.124.218', 2390)"
1057.15,135654,130.1,68.23,"('10.213.124.218', 2390)"
1058.16,135783,127.67,66.95,"('10.213.124.218', 2390)"
1059.17,135914,129.31,67.81,"('10.213.124.218', 2390)"
1060.17,136044,129.86,68.1,"('10.213.124.218', 2390)"
1061.19,136175,128.86,67.58,"('10.213.124.218', 2390)"
1062.19,136306,130.4,68.38,"('10.213.124.218', 2390)"
1063.2,136434,127.43,66.83,"('10.213.124.218', 2390)"
1064.24,136567,127.93,67.09,"('10.213.124.218', 2390)"
1065.24,136700,132.82,69.65,"('10.213.124.218', 2390)"
1066.26,136830,127.17,66.69,"('10.213.124.218', 2390)"
1067.27,136962,130.7,68.54,"('10.213.124.218', 2390)"
1068.27,137093,130.74,68.56,"('10.213.124.218', 2390)"
1069.27,137223,129.85,68.09,"('10.213.124.218', 2390)"
1070.28,137353,128.64,67.46,"('10.213.124.218', 2390)"
1071.31,137484,128.36,67.31,"('10.213.124.218', 2390)"
1072.31,137616,131.2,68.8,"('10.213.124.218', 2390)"
1073.32,137746,129.42,67.87,"('10.213.124.218', 2390)"
1074.33,137875,127.52,66.87,"('10.213.124.218', 2390)"
1075.33,138006,130.52,68.45,"('10.213.124.218', 2390)"
1076.33,138136,129.91,68.12,"('10.213.124.218', 2390)"
1077.33,138263,126.72,66.46,"('10.213.124.218', 2390)"
1078.35,138396,130.74,68.56,"('10.213.124.218', 2390)"
1079.35,138525,128.97,67.63,"('10.213.124.218', 2390)"
1080.35,138656,130.99,68.7,"('10.213.124.218', 2390)"
1081.35,138786,129.67,68.0,"('10.213.124.218', 2390)"
1082.36,138916,129.3,67.8,"('10.213.124.218', 2390)"
1083.37,139046,128.54,67.41,"('10.213.124.218', 2390)"
1084.38,139177,130.26,68.31,"('10.213.124.218', 2390)"
1085.38,139305,127.59,66.91,"('10.213.124.218', 2390)"
1086.39,139437,130.26,68.31,"('10.213.124.218', 2390)"
1087.4,139568,130.19,68.28,"('10.213.124.218', 2390)"
1088.41,139696,126.13,66.15,"('10.213.124.218', 2390)"
1089.43,139829,131.27,68.84,"('10.213.124.218', 2390)"
1090.43,139960,130.82,68.61,"('10.213.124.218', 2390)"
1091.43,140090,129.28,67.8,"('10.213.124.218', 2390)"
1092.44,140220,129.13,67.72,"('10.213.124.218', 2390)"
1093.44,140349,128.9,67.6,"('10.213.124.218', 2390)"
1094.45,140480,129.39,67.85,"('10.213.124.218', 2390)"
1095.47,140611,128.31,67.29,"('10.213.124.218', 2390)"
1096.49,140743,130.38,68.38,"('10.213.124.218', 2390)"
1097.49,140873,129.39,67.85,"('10.213.124.218', 2390)"
1098.51,141003,128.17,67.22,"('10.213.124.218', 2390)"
1099.51,141134,129.9,68.12,"('10.213.124.218', 2390)"
1100.52,141265,130.71,68.55,"('10.213.124.218', 2390)"
1101.52,141395,129.67,68.0,"('10.213.124.218', 2390)"
1102.52,141524,128.52,67.4,"('10.213.124.218', 2390)"
1103.53,141655,130.21,68.28,"('10.213.124.218', 2390)"
1104.53,141784,128.56,67.42,"('10.213.124.218', 2390)"
1105.55,141915,129.35,67.83,"('10.213.124.218', 2390)"
1106.55,142044,128.37,67.32,"('10.213.124.218', 2390)"
1107.56,142174,129.31,67.81,"('10.213.124.218', 2390)"
1108.56,142306,131.31,68.86,"('10.213.124.218', 2390)"
1109.57,142436,129.32,67.82,"('10.213.124.218', 2390)"
1110.58,142566,128.64,67.46,"('10.213.124.218', 2390)"
1111.59,142696,128.36,67.31,"('10.213.124.218', 2390)"
1112.6,142828,131.29,68.85,"('10.213.124.218', 2390)"
1113.61,142958,127.55,66.89,"('10.213.124.218', 2390)"
1114.63,143090,129.35,67.83,"('10.213.124.218', 2390)"
1115.64,143220,129.43,67.87,"('10.213.124.218', 2390)"
1116.64,143351,130.38,68.37,"('10.213.124.218', 2390)"
1117.65,143480,128.1,67.18,"('10.213.124.218', 2390)"
1118.65,143610,129.65,67.99,"('10.213.124.218', 2390)"
1119.66,143742,131.14,68.77,"('10.213.124.218', 2390)"
1120.66,143871,128.54,67.41,"('10.213.124.218', 2390)"
1121.68,144002,129.35,67.83,"('10.213.124.218', 2390)"
1122.68,144133,130.22,68.29,"('10.213.124.218', 2390)"
1123.69,144263,129.37,67.84,"('10.213.124.218', 2390)"
1124.69,144393,129.31,67.81,"('10.213.124.218', 2390)"
1125.7,144522,128.57,67.42,"('10.213.124.218', 2390)"
1126.7,144653,130.22,68.29,"('10.213.124.218', 2390)"
1127.71,144783,129.36,67.84,"('10.213.124.218', 2390)"
1128.73,144913,127.65,66.94,"('10.213.124.218', 2390)"
1129.73,145042,128.99,67.64,"('10.213.124.218', 2390)"
1130.73,145173,130.6,68.49,"('10.213.124.218', 2390)"
1131.73,145302,128.91,67.6,"('10.213.124.218', 2390)"
1132.74,145433,129.81,68.08,"('10.213.124.218', 2390)"
1133.74,145563,129.43,67.88,"('10.213.124.218', 2390)"
1134.75,145693,129.24,67.77,"('10.213.124.218', 2390)"
1135.77,145824,128.35,67.31,"('10.213.124.218', 2390)"
1136.78,145955,129.09,67.7,"('10.213.124.218', 2390)"
1137.79,146085,129.44,67.88,"('10.213.124.218', 2390)"
1138.79,146215,129.57,67.95,"('10.213.124.218', 2390)"
1139.8,146347,130.33,68.35,"('10.213.124.218', 2390)"
1140.8,146477,129.98,68.16,"('10.213.124.218', 2390)"
