index;uuid;major;minor;address;start_epoch;end_epoch;duration_ms;interval_ms;packet_count;channels;rssi_mean;tx_power
31;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711588.978411;1784711588.978411;0.0;422.839879989624;1;38;-55.0;-56
32;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711589.014965;1784711589.014965;0.0;36.55409812927246;1;39;-57.0;-56
33;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711589.388634;1784711589.388634;0.0;373.668909072876;1;37;-55.0;-56
34;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711589.415181;1784711589.415181;0.0;26.546955108642578;1;38;-56.0;-56
35;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711589.4517;1784711589.4517;0.0;36.51905059814453;1;39;-58.0;-56
36;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711589.995677;1784711589.995677;0.0;543.9770221710205;1;37;-56.0;-56
37;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711590.02207;1784711590.02207;0.0;26.39293670654297;1;38;-56.0;-56
38;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711590.0487;1784711590.0487;0.0;26.630163192749023;1;39;-58.0;-56
39;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711590.314212;1784711590.314212;0.0;265.51198959350586;1;38;-56.0;-56
40;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711590.336191;1784711590.336191;0.0;21.97885513305664;1;39;-58.0;-56
41;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711591.575991;1784711591.575991;0.0;1239.799976348877;1;37;-56.0;-56
42;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711591.607841;1784711591.607841;0.0;31.850099563598633;1;38;-56.0;-56
43;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711591.645426;1784711591.645426;0.0;37.58502006530762;1;39;-58.0;-56
44;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711591.775358;1784711591.775358;0.0;129.93192672729492;1;37;-56.0;-56
45;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711591.812865;1784711591.812865;0.0;37.507057189941406;1;38;-56.0;-56
46;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711591.836089;1784711591.836089;0.0;23.223876953125;1;39;-58.0;-56
47;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711592.227503;1784711592.227503;0.0;391.4141654968262;1;39;-58.0;-56
48;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711592.638774;1784711592.638774;0.0;411.2708568572998;1;38;-56.0;-56
