timestamp;address;pdu_type_code;pdu_type_name;length_bytes;rssi_dbm;channel;uuid;major;minor;tx_power_dbm;raw_hex;source_field;manufacturer;device_type;detection_confidence;local_name;device_id;canonical_uuid;calibrated_rssi_dbm;received_power_w;received_power_nw;airtime_us;frame_energy_j;frame_energy_nj;alert_level;alert_metric_name;alert_metric_value
1784761776.067592;7a:bb:56:99:77:d5;0;ADV_IND;24;-72.0;37;;0;0;0;1006381ea7e59e850004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_001;apple:appareil apple ble:7a:bb:56:99:77:d5;-72.0;6.309573444801942e-11;0.06309573444801943;272.0;1.7162039769861283e-14;1.7162039769861282e-05;VERT;RSSI;-72.0
1784761776.136236;d7:2a:df:c1:04:e0;2;ADV_NONCONN_IND;37;-78.0;39;;0;0;0;1219002cabe5a77f4bd4e7fb8df6c683d3e18a9b7da3a2018c01000004c0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_002;apple:appareil apple ble:d7:2a:df:c1:04:e0;-78.0;1.5848931924611107e-11;0.015848931924611107;376.0;5.9591984036537755e-15;5.9591984036537755e-06;VERT;RSSI;-78.0
1784761776.24118;4f:2d:cc:dd:4c:1d;0;ADV_IND;20;-82.0;39;;0;0;0;100203000004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_003;apple:appareil apple ble:4f:2d:cc:dd:4c:1d;-82.0;6.309573444801943e-12;0.006309573444801942;240.0;1.5142976267524661e-15;1.514297626752466e-06;VERT;RSSI;-82.0
1784761776.402646;7a:bb:56:99:77:d5;0;ADV_IND;24;-71.0;38;;0;0;0;1006381ea7e59e850004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_001;apple:appareil apple ble:7a:bb:56:99:77:d5;-71.0;7.943282347242822e-11;0.07943282347242822;272.0;2.1605727984500475e-14;2.1605727984500475e-05;VERT;RSSI;-71.0
1784761776.439053;7a:bb:56:99:77:d5;0;ADV_IND;24;-80.0;39;;0;0;0;1006381ea7e59e850004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_001;apple:appareil apple ble:7a:bb:56:99:77:d5;-80.0;1e-11;0.01;272.0;2.7199999999999996e-15;2.72e-06;VERT;RSSI;-80.0
1784761776.595953;4f:2d:cc:dd:4c:1d;0;ADV_IND;20;-80.0;37;;0;0;0;100203000004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_003;apple:appareil apple ble:4f:2d:cc:dd:4c:1d;-80.0;1e-11;0.01;240.0;2.4e-15;2.4e-06;VERT;RSSI;-80.0
1784761776.628925;7a:bb:56:99:77:d5;0;ADV_IND;24;-71.0;38;;0;0;0;1006381ea7e59e850004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_001;apple:appareil apple ble:7a:bb:56:99:77:d5;-71.0;7.943282347242822e-11;0.07943282347242822;272.0;2.1605727984500475e-14;2.1605727984500475e-05;VERT;RSSI;-71.0
1784761776.656112;7a:bb:56:99:77:d5;0;ADV_IND;24;-80.0;39;;0;0;0;1006381ea7e59e850004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_001;apple:appareil apple ble:7a:bb:56:99:77:d5;-80.0;1e-11;0.01;272.0;2.7199999999999996e-15;2.72e-06;VERT;RSSI;-80.0
1784761776.995704;7a:b5:56:99:77:d5;0;ADV_IND;24;-72.0;38;;0;0;0;1006381ea7e59e850004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_004;apple:appareil apple ble:7a:b5:56:99:77:d5;-72.0;6.309573444801942e-11;0.06309573444801943;272.0;1.7162039769861283e-14;1.7162039769861282e-05;VERT;RSSI;-72.0
1784761777.026978;7a:bb:56:99:77:d5;0;ADV_IND;24;-80.0;39;;0;0;0;1006381ea7e59e850004c00100a0ff;btcommon.eir_ad.entry.data,btcommon.eir_ad.entry.company_id,btcommon.eir_ad.entry.type;Apple;Appareil Apple BLE;faible;;Appareil_001;apple:appareil apple ble:7a:bb:56:99:77:d5;-80.0;1e-11;0.01;272.0;2.7199999999999996e-15;2.72e-06;VERT;RSSI;-80.0
