temps_s,mode,message,rssi_dbm,puissance_w,snr_ou_intervalle,energie_totale_j
574.878648519516,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-93 dBm | Intervalle=16.500 s,-93,5.011872336272715e-13,16.499799013137817,1.3440275817953587e-05
590.9767761230469,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-54 dBm | Intervalle=15.987 s,-54,3.981071705534969e-09,15.987261295318604,1.3440275817953587e-05
606.5751876831055,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-93 dBm | Intervalle=15.703 s,-93,5.011872336272715e-13,15.702773571014404,1.3440275817953587e-05
622.2428617477417,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-57 dBm | Intervalle=15.687 s,-57,1.9952623149688828e-09,15.687342643737793,1.3440275817953587e-05
638.3948738574982,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-49 dBm | Intervalle=15.943 s,-49,1.2589254117941661e-08,15.942802429199219,1.3440275817953587e-05
671.5717639923096,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-69 dBm | Intervalle=33.152 s,-69,1.2589254117941662e-10,33.15197038650513,1.3440275817953587e-05
687.2432267665863,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-59 dBm | Intervalle=15.984 s,-59,1.2589254117941663e-09,15.983962535858154,1.3440275817953587e-05
702.4297766685486,Beacons BLE,Beacon BLE | MAC=70:83:9F:F7:B4:91 | RSSI=-73 dBm | Intervalle=0.000 s,-73,5.011872336272715e-11,0.0,1.3440275817953587e-05
750.5843179225922,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-72 dBm | Intervalle=63.027 s,-72,6.309573444801942e-11,63.026952028274536,1.3440275817953587e-05
767.7107141017914,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-58 dBm | Intervalle=17.021 s,-58,1.584893192461111e-09,17.02137041091919,1.3440275817953587e-05
782.4369263648987,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-56 dBm | Intervalle=0.000 s,-56,2.511886431509582e-09,0.0,1.3440275817953587e-05
819.6632823944092,Beacons BLE,Beacon BLE | MAC=57:A9:70:45:F0:A6 | RSSI=-78 dBm | Intervalle=0.000 s,-78,1.5848931924611107e-11,0.0,1.3440275817953587e-05
831.2744212150574,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-48 dBm | Intervalle=48.684 s,-48,1.5848931924611143e-08,48.68443417549133,1.3440275817953587e-05
847.3262784481049,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-64 dBm | Intervalle=16.003 s,-64,3.9810717055349694e-10,16.00297713279724,1.3440275817953587e-05
848.4314715862274,Beacons BLE,Beacon BLE | MAC=57:A9:70:45:F0:A6 | RSSI=-66 dBm | Intervalle=28.387 s,-66,2.511886431509582e-10,28.38720464706421,1.3440275817953587e-05
862.4889969825745,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-55 dBm | Intervalle=15.378 s,-55,3.1622776601683795e-09,15.37769865989685,1.3440275817953587e-05
897.1009502410889,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-47 dBm | Intervalle=34.347 s,-47,1.9952623149688786e-08,34.34674119949341,1.3440275817953587e-05
927.1837067604065,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-72 dBm | Intervalle=30.553 s,-72,6.309573444801942e-11,30.553070783615112,1.3440275817953587e-05
942.7925126552582,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-50 dBm | Intervalle=15.131 s,-50,1e-08,15.130881786346436,1.3440275817953587e-05
958.356635093689,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-58 dBm | Intervalle=15.933 s,-58,1.584893192461111e-09,15.933107137680054,1.3440275817953587e-05
1042.0765941143036,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-50 dBm | Intervalle=83.362 s,-50,1e-08,83.36158728599548,1.3440275817953587e-05
1102.744408607483,Beacons BLE,Beacon BLE | MAC=56:49:0F:45:3F:87 | RSSI=-58 dBm | Intervalle=61.048 s,-58,1.584893192461111e-09,61.04805135726929,1.3440275817953587e-05
