temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
51.81103563308716,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-74,3.9810717055349695e-11,,4.151328558167939e-07
52.575791120529175,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-45,3.162277660168379e-08,,4.151328558167939e-07
53.32382369041443,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-69,1.2589254117941662e-10,,4.151328558167939e-07
54.06845045089722,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-55,3.1622776601683795e-09,,4.151328558167939e-07
54.74837279319763,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-57,1.9952623149688828e-09,,4.151328558167939e-07
55.36980223655701,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-69,1.2589254117941662e-10,,4.151328558167939e-07
56.1307053565979,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,4.151328558167939e-07
56.95627522468567,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-55,3.1622776601683795e-09,,4.151328558167939e-07
57.86961817741394,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-58,1.584893192461111e-09,,4.151328558167939e-07
58.89665961265564,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-52,6.309573444801943e-09,,4.151328558167939e-07
59.6919481754303,Beacons BLE,Beacon BLE | MAC=64:A4:E0:FD:BB:AC,-71,7.943282347242822e-11,,4.151328558167939e-07
60.545915842056274,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-56,2.511886431509582e-09,,4.151328558167939e-07
61.379379749298096,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-65,3.1622776601683795e-10,,4.151328558167939e-07
62.23232173919678,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-45,3.162277660168379e-08,,4.151328558167939e-07
63.30601644515991,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-53,5.011872336272715e-09,,4.151328558167939e-07
64.39018058776855,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-44,3.981071705534969e-08,,4.151328558167939e-07
65.24179553985596,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-65,3.1622776601683795e-10,,4.151328558167939e-07
65.83166646957397,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-66,2.511886431509582e-10,,4.151328558167939e-07
66.62199831008911,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-56,2.511886431509582e-09,,4.151328558167939e-07
67.36468839645386,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-61,7.943282347242822e-10,,4.151328558167939e-07
68.02757239341736,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-42,6.30957344480193e-08,,4.151328558167939e-07
68.84381890296936,Beacons BLE,Beacon BLE | MAC=64:A4:E0:FD:BB:AC,-61,7.943282347242822e-10,,4.151328558167939e-07
69.67754554748535,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-50,1e-08,,4.151328558167939e-07
70.5000011920929,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-63,5.011872336272714e-10,,4.151328558167939e-07
71.3255889415741,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-59,1.2589254117941663e-09,,4.151328558167939e-07
72.43227910995483,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-47,1.9952623149688786e-08,,4.151328558167939e-07
73.39062738418579,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-47,1.9952623149688786e-08,,4.151328558167939e-07
74.08535647392273,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-49,1.2589254117941661e-08,,4.151328558167939e-07
74.90418148040771,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-70,1e-10,,4.151328558167939e-07
75.5753014087677,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-80,1e-11,,4.151328558167939e-07
76.27510571479797,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-72,6.309573444801942e-11,,4.151328558167939e-07
