numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_dbm;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
1;1784284513.946180105;0.000000;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284513.946548223;;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
2;1784284514.258039951;0.311860;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284514.258408070;311.860;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
3;1784284514.544915915;0.598736;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284514.545284033;286.876;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
4;1784284514.833760977;0.887581;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284514.834129095;288.845;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
5;1784284514.875648975;0.929469;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284514.876017094;41.888;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
6;1784284515.092295885;1.146116;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284515.092664003;216.647;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
7;1784284515.093405962;1.147226;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284515.093774080;1.110;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
8;1784284515.403889894;1.457710;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284515.404258013;310.484;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
9;1784284515.440866947;1.494687;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284515.441235065;36.977;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
10;1784284515.972501040;2.026321;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284515.972869158;531.634;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
11;1784284515.994107008;2.047927;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284515.994475126;21.606;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
12;1784284516.256643057;2.310463;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284516.257011175;262.536;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
13;1784284516.288283110;2.342103;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284516.288651228;31.640;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
14;1784284516.536632061;2.590452;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284516.537000179;248.349;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
15;1784284516.570466995;2.624287;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284516.570835114;33.835;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
16;1784284516.817393064;2.871213;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284516.817761183;246.926;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
17;1784284516.843945026;2.897765;5c:8a:dc:2f:62:8d;36;0x00;-68;39;368.000;1784284516.844313145;26.552;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
18;1784284517.111031055;3.164851;5c:8a:dc:2f:62:8d;36;0x00;-60;37;368.000;1784284517.111399174;267.086;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
19;1784284517.137691021;3.191511;5c:8a:dc:2f:62:8d;36;0x00;-62;38;368.000;1784284517.138059139;26.660;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
