numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_brut_dbm;rssi_calibre_dbm;offset_db;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
1765;1784552540.149734020;1005.753862;7d:1b:e3:75:eb:ee;36;0x00;-69;-59.59;9.41;38;368.000;1784552540.150102139;733401.107;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1766;1784552540.187118053;1005.791246;7d:1b:e3:75:eb:ee;36;0x00;-75;-65.59;9.41;39;368.000;1784552540.187486172;37.384;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1767;1784552540.443387985;1006.047516;7d:1b:e3:75:eb:ee;36;0x00;-68;-58.59;9.41;38;368.000;1784552540.443756104;256.270;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1768;1784552540.480384111;1006.084512;7d:1b:e3:75:eb:ee;36;0x00;-73;-63.59;9.41;39;368.000;1784552540.480752230;36.996;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1769;1784552540.729480982;1006.333609;7d:1b:e3:75:eb:ee;36;0x00;-69;-59.59;9.41;38;368.000;1784552540.729849100;249.097;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1770;1784552540.766575098;1006.370703;7d:1b:e3:75:eb:ee;36;0x00;-73;-63.59;9.41;39;368.000;1784552540.766943216;37.094;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1771;1784552541.042110920;1006.646239;7d:1b:e3:75:eb:ee;36;0x00;-63;-53.59;9.41;37;368.000;1784552541.042479038;275.536;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1772;1784552541.073843002;1006.677971;7d:1b:e3:75:eb:ee;36;0x00;-68;-58.59;9.41;38;368.000;1784552541.074211121;31.732;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1773;1784552541.095410109;1006.699538;7d:1b:e3:75:eb:ee;36;0x00;-77;-67.59;9.41;39;368.000;1784552541.095778227;21.567;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
1774;1784552541.310667038;1006.914795;7d:1b:e3:75:eb:ee;36;0x00;-63;-53.59;9.41;37;368.000;1784552541.311035156;215.257;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
