index;device_id;canonical_uuid;address;start_epoch;end_epoch;span_ms;interval_ms;packet_count;channels;pdu_types;length_mean_bytes;rssi_mean_dbm;total_airtime_us;event_energy_j;event_energy_nj;cumulative_energy_j;cumulative_energy_nj
1;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730895.517455;1784730895.517455;0.0;;1;38;ADV_IND;33;-51.0;344.0;2.7324891274515308e-12;0.002732489127451531;2.7324891274515308e-12;0.002732489127451531
2;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730895.543766;1784730895.543766;0.0;26.31092071533203;1;39;ADV_IND;33;-58.0;344.0;5.452032582066221e-13;0.0005452032582066222;3.277692385658153e-12;0.003277692385658153
3;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730895.800841;1784730895.800841;0.0;257.07507133483887;1;38;ADV_IND;33;-51.0;344.0;2.7324891274515308e-12;0.002732489127451531;6.010181513109684e-12;0.006010181513109684
4;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730895.837726;1784730895.837726;0.0;36.88502311706543;1;39;ADV_IND;33;-58.0;344.0;5.452032582066221e-13;0.0005452032582066222;6.555384771316306e-12;0.006555384771316306
5;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730896.083057;1784730896.083057;0.0;245.330810546875;1;38;ADV_IND;33;-51.0;344.0;2.7324891274515308e-12;0.002732489127451531;9.287873898767837e-12;0.009287873898767837
6;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730896.114608;1784730896.114608;0.0;31.551122665405273;1;39;ADV_IND;33;-58.0;344.0;5.452032582066221e-13;0.0005452032582066222;9.83307715697446e-12;0.00983307715697446
7;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730896.355571;1784730896.355571;0.0;240.96298217773438;1;38;ADV_IND;33;-52.0;344.0;2.1704932650118683e-12;0.0021704932650118683;1.2003570421986328e-11;0.012003570421986328
8;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730896.392543;1784730896.392543;0.0;36.9720458984375;1;39;ADV_IND;33;-58.0;344.0;5.452032582066221e-13;0.0005452032582066222;1.2548773680192951e-11;0.012548773680192951
9;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730896.658597;1784730896.658597;0.0;266.0539150238037;1;37;ADV_IND;33;-53.0;344.0;1.7240840836778139e-12;0.0017240840836778139;1.4272857763870765e-11;0.014272857763870765
10;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730896.929591;1784730896.929591;0.0;270.9939479827881;1;38;ADV_IND;33;-51.0;344.0;2.7324891274515308e-12;0.002732489127451531;1.7005346891322297e-11;0.017005346891322298
11;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;60:86:db:60:b7:6c;1784730896.961018;1784730896.961018;0.0;31.42714500427246;1;39;ADV_IND;33;-58.0;344.0;5.452032582066221e-13;0.0005452032582066222;1.755055014952892e-11;0.01755055014952892
