temps_s,numero_paquet,taille_message,message,source,rssi_dbm,puissance_w,energie_j
438.964,384,136,"PAQUET,384,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.44803101484445e-10
440.912,385,56,"PAQUET,386,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-61,7.943282347242822e-10,1.547373143881483e-09
441.924,386,77,"PAQUET,387,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.068435234171819e-10
442.916,387,115,"PAQUET,388,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-66,2.511886431509582e-10,2.491793395415017e-10
443.931,388,136,"PAQUET,389,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.088556550669263e-10
444.926,389,36,"PAQUET,390,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.960580258789384e-10
445.927,390,56,"PAQUET,391,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.318510607162031e-10
446.934,391,77,"PAQUET,392,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-65,3.1622776601683795e-10,3.183521589466438e-10
447.93,392,115,"PAQUET,393,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.964075071282656e-10
448.924,393,136,"PAQUET,394,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.957465110879847e-10
449.93,394,36,"PAQUET,395,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,4.008048772532191e-10
450.928,395,56,"PAQUET,396,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.9731300716047126e-10
451.937,396,77,"PAQUET,397,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.361302480667346e-10
452.939,397,115,"PAQUET,398,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-65,3.1622776601683795e-10,3.170037269790966e-10
453.937,398,136,"PAQUET,399,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.001665299897563e-10
454.932,399,36,"PAQUET,400,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.9599158457678495e-10
455.94,400,56,"PAQUET,401,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.055242084017518e-10
456.935,401,77,"PAQUET,402,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-65,3.1622776601683795e-10,3.146507376989635e-10
457.945,402,115,"PAQUET,403,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.059292874618285e-10
458.937,403,136,"PAQUET,404,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-65,3.1622776601683795e-10,3.138138579203907e-10
460.941,404,56,"PAQUET,406,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,7.97693039744492e-10
461.949,405,77,"PAQUET,407,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.362614247302256e-10
462.942,406,115,"PAQUET,408,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.265125315488101e-10
463.953,407,136,"PAQUET,409,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.063273164733672e-10
464.946,408,36,"PAQUET,410,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-65,3.1622776601683795e-10,3.140600212066105e-10
465.953,409,56,"PAQUET,411,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.047861041675056e-10
466.95,410,77,"PAQUET,412,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.968915794725265e-10
467.958,411,115,"PAQUET,413,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.054932598835924e-10
