temps_s,numero_paquet,message,rssi_dbm,puissance_w,energie_totale_j
0.0011856555938720703,1,"PAQUET,0,TAILLE,1,A",-24,3.981071705534969e-06,0.0007185753492842559
0.5945119857788086,2,"PAQUET,1,TAILLE,2,BZ",-24,3.981071705534969e-06,0.0007185753492842559
1.3925046920776367,3,"PAQUET,2,TAILLE,5,HELLO",-24,3.981071705534969e-06,0.0007185753492842559
2.2725400924682617,4,"PAQUET,3,TAILLE,15,ICI DELTA ALPHA",-24,3.981071705534969e-06,0.0007185753492842559
3.0786397457122803,5,"PAQUET,4,TAILLE,1,A",-25,3.162277660168379e-06,0.0007185753492842559
3.893686294555664,6,"PAQUET,5,TAILLE,2,BZ",-25,3.162277660168379e-06,0.0007185753492842559
4.727854490280151,7,"PAQUET,6,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
5.479677200317383,8,"PAQUET,7,TAILLE,15,ICI DELTA ALPHA",-25,3.162277660168379e-06,0.0007185753492842559
6.262113571166992,9,"PAQUET,8,TAILLE,1,A",-25,3.162277660168379e-06,0.0007185753492842559
7.06848406791687,10,"PAQUET,9,TAILLE,2,BZ",-25,3.162277660168379e-06,0.0007185753492842559
7.930469036102295,11,"PAQUET,10,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
8.756992101669312,12,"PAQUET,11,TAILLE,15,ICI DELTA ALPHA",-24,3.981071705534969e-06,0.0007185753492842559
9.547865629196167,13,"PAQUET,12,TAILLE,1,A",-24,3.981071705534969e-06,0.0007185753492842559
10.562624216079712,14,"PAQUET,13,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
11.555644989013672,15,"PAQUET,14,TAILLE,5,HELLO",-26,2.5118864315095823e-06,0.0007185753492842559
12.58211088180542,16,"PAQUET,15,TAILLE,15,ICI DELTA ALPHA",-27,1.9952623149688787e-06,0.0007185753492842559
13.55345869064331,17,"PAQUET,16,TAILLE,1,A",-28,1.584893192461114e-06,0.0007185753492842559
14.57437014579773,18,"PAQUET,17,TAILLE,2,BZ",-27,1.9952623149688787e-06,0.0007185753492842559
15.581179141998291,19,"PAQUET,18,TAILLE,5,HELLO",-27,1.9952623149688787e-06,0.0007185753492842559
16.558589220046997,20,"PAQUET,19,TAILLE,15,ICI DELTA ALPHA",-28,1.584893192461114e-06,0.0007185753492842559
17.59550380706787,21,"PAQUET,20,TAILLE,1,A",-27,1.9952623149688787e-06,0.0007185753492842559
18.57607626914978,22,"PAQUET,21,TAILLE,2,BZ",-28,1.584893192461114e-06,0.0007185753492842559
19.59028673171997,23,"PAQUET,22,TAILLE,5,HELLO",-27,1.9952623149688787e-06,0.0007185753492842559
20.56802487373352,24,"PAQUET,23,TAILLE,15,ICI DELTA ALPHA",-27,1.9952623149688787e-06,0.0007185753492842559
21.56118607521057,25,"PAQUET,24,TAILLE,1,A",-27,1.9952623149688787e-06,0.0007185753492842559
22.55810284614563,26,"PAQUET,25,TAILLE,2,BZ",-27,1.9952623149688787e-06,0.0007185753492842559
23.563175439834595,27,"PAQUET,26,TAILLE,5,HELLO",-27,1.9952623149688787e-06,0.0007185753492842559
24.579837560653687,28,"PAQUET,27,TAILLE,15,ICI DELTA ALPHA",-28,1.584893192461114e-06,0.0007185753492842559
25.58804941177368,29,"PAQUET,28,TAILLE,1,A",-27,1.9952623149688787e-06,0.0007185753492842559
26.601048946380615,30,"PAQUET,29,TAILLE,2,BZ",-27,1.9952623149688787e-06,0.0007185753492842559
27.572382926940918,31,"PAQUET,30,TAILLE,5,HELLO",-27,1.9952623149688787e-06,0.0007185753492842559
28.58694624900818,32,"PAQUET,31,TAILLE,15,ICI DELTA ALPHA",-27,1.9952623149688787e-06,0.0007185753492842559
29.56939148902893,33,"PAQUET,32,TAILLE,1,A",-28,1.584893192461114e-06,0.0007185753492842559
30.600555896759033,34,"PAQUET,33,TAILLE,2,BZ",-28,1.584893192461114e-06,0.0007185753492842559
31.592254400253296,35,"PAQUET,34,TAILLE,5,HELLO",-28,1.584893192461114e-06,0.0007185753492842559
32.58478307723999,36,"PAQUET,35,TAILLE,15,ICI DELTA ALPHA",-27,1.9952623149688787e-06,0.0007185753492842559
33.57188367843628,37,"PAQUET,36,TAILLE,1,A",-27,1.9952623149688787e-06,0.0007185753492842559
34.55268406867981,38,"PAQUET,37,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
35.580485820770264,39,"PAQUET,38,TAILLE,5,HELLO",-26,2.5118864315095823e-06,0.0007185753492842559
36.59062147140503,40,"PAQUET,39,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
37.600149631500244,41,"PAQUET,40,TAILLE,1,A",-25,3.162277660168379e-06,0.0007185753492842559
38.56933879852295,42,"PAQUET,41,TAILLE,2,BZ",-25,3.162277660168379e-06,0.0007185753492842559
39.56159043312073,43,"PAQUET,42,TAILLE,5,HELLO",-26,2.5118864315095823e-06,0.0007185753492842559
40.60314226150513,44,"PAQUET,43,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
41.58580994606018,45,"PAQUET,44,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
42.59267067909241,46,"PAQUET,45,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
43.598496198654175,47,"PAQUET,46,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
44.558319330215454,48,"PAQUET,47,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
45.561482429504395,49,"PAQUET,48,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
46.5650897026062,50,"PAQUET,49,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
47.56364369392395,51,"PAQUET,50,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
48.56809449195862,52,"PAQUET,51,TAILLE,15,ICI DELTA ALPHA",-25,3.162277660168379e-06,0.0007185753492842559
49.58861517906189,53,"PAQUET,52,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
50.585134744644165,54,"PAQUET,53,TAILLE,2,BZ",-25,3.162277660168379e-06,0.0007185753492842559
51.565945863723755,55,"PAQUET,54,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
52.609896659851074,56,"PAQUET,55,TAILLE,15,ICI DELTA ALPHA",-25,3.162277660168379e-06,0.0007185753492842559
53.57936215400696,57,"PAQUET,56,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
54.57441258430481,58,"PAQUET,57,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
55.58819603919983,59,"PAQUET,58,TAILLE,5,HELLO",-26,2.5118864315095823e-06,0.0007185753492842559
56.5653772354126,60,"PAQUET,59,TAILLE,15,ICI DELTA ALPHA",-25,3.162277660168379e-06,0.0007185753492842559
57.58526825904846,61,"PAQUET,60,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
58.56611728668213,62,"PAQUET,61,TAILLE,2,BZ",-27,1.9952623149688787e-06,0.0007185753492842559
59.56420111656189,63,"PAQUET,62,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
60.5665168762207,64,"PAQUET,63,TAILLE,15,ICI DELTA ALPHA",-27,1.9952623149688787e-06,0.0007185753492842559
61.56408619880676,65,"PAQUET,64,TAILLE,1,A",-25,3.162277660168379e-06,0.0007185753492842559
62.57278895378113,66,"PAQUET,65,TAILLE,2,BZ",-25,3.162277660168379e-06,0.0007185753492842559
63.605135679244995,67,"PAQUET,66,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
64.60766577720642,68,"PAQUET,67,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
65.60573816299438,69,"PAQUET,68,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
66.56851315498352,70,"PAQUET,69,TAILLE,2,BZ",-24,3.981071705534969e-06,0.0007185753492842559
67.57991576194763,71,"PAQUET,70,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
68.56941437721252,72,"PAQUET,71,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
69.58833241462708,73,"PAQUET,72,TAILLE,1,A",-27,1.9952623149688787e-06,0.0007185753492842559
70.57967352867126,74,"PAQUET,73,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
71.59564805030823,75,"PAQUET,74,TAILLE,5,HELLO",-27,1.9952623149688787e-06,0.0007185753492842559
72.59184694290161,76,"PAQUET,75,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
73.61514496803284,77,"PAQUET,76,TAILLE,1,A",-28,1.584893192461114e-06,0.0007185753492842559
74.60639452934265,78,"PAQUET,77,TAILLE,2,BZ",-24,3.981071705534969e-06,0.0007185753492842559
75.6054015159607,79,"PAQUET,78,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
76.58812928199768,80,"PAQUET,79,TAILLE,15,ICI DELTA ALPHA",-25,3.162277660168379e-06,0.0007185753492842559
77.59842681884766,81,"PAQUET,80,TAILLE,1,A",-23,5.011872336272725e-06,0.0007185753492842559
78.59831213951111,82,"PAQUET,81,TAILLE,2,BZ",-31,7.943282347242822e-07,0.0007185753492842559
79.59851264953613,83,"PAQUET,82,TAILLE,5,HELLO",-30,1e-06,0.0007185753492842559
80.58931493759155,84,"PAQUET,83,TAILLE,15,ICI DELTA ALPHA",-30,1e-06,0.0007185753492842559
81.57881951332092,85,"PAQUET,84,TAILLE,1,A",-30,1e-06,0.0007185753492842559
82.62058877944946,86,"PAQUET,85,TAILLE,2,BZ",-28,1.584893192461114e-06,0.0007185753492842559
83.58075523376465,87,"PAQUET,86,TAILLE,5,HELLO",-31,7.943282347242822e-07,0.0007185753492842559
84.59928178787231,88,"PAQUET,87,TAILLE,15,ICI DELTA ALPHA",-31,7.943282347242822e-07,0.0007185753492842559
85.60899877548218,89,"PAQUET,88,TAILLE,1,A",-31,7.943282347242822e-07,0.0007185753492842559
86.57611417770386,90,"PAQUET,89,TAILLE,2,BZ",-30,1e-06,0.0007185753492842559
87.58576083183289,91,"PAQUET,90,TAILLE,5,HELLO",-31,7.943282347242822e-07,0.0007185753492842559
88.59254264831543,92,"PAQUET,91,TAILLE,15,ICI DELTA ALPHA",-31,7.943282347242822e-07,0.0007185753492842559
89.60527610778809,93,"PAQUET,92,TAILLE,1,A",-31,7.943282347242822e-07,0.0007185753492842559
90.61434149742126,94,"PAQUET,93,TAILLE,2,BZ",-30,1e-06,0.0007185753492842559
91.57211637496948,95,"PAQUET,94,TAILLE,5,HELLO",-31,7.943282347242822e-07,0.0007185753492842559
92.56713700294495,96,"PAQUET,95,TAILLE,15,ICI DELTA ALPHA",-30,1e-06,0.0007185753492842559
93.60904884338379,97,"PAQUET,96,TAILLE,1,A",-31,7.943282347242822e-07,0.0007185753492842559
94.56880831718445,98,"PAQUET,97,TAILLE,2,BZ",-30,1e-06,0.0007185753492842559
95.57664656639099,99,"PAQUET,98,TAILLE,5,HELLO",-31,7.943282347242822e-07,0.0007185753492842559
96.57181525230408,100,"PAQUET,99,TAILLE,15,ICI DELTA ALPHA",-30,1e-06,0.0007185753492842559
97.58731865882874,101,"PAQUET,100,TAILLE,1,A",-30,1e-06,0.0007185753492842559
98.58623337745667,102,"PAQUET,101,TAILLE,2,BZ",-35,3.162277660168379e-07,0.0007185753492842559
99.58439493179321,103,"PAQUET,102,TAILLE,5,HELLO",-40,1e-07,0.0007185753492842559
100.58106184005737,104,"PAQUET,103,TAILLE,15,ICI DELTA ALPHA",-38,1.584893192461114e-07,0.0007185753492842559
101.61050057411194,105,"PAQUET,104,TAILLE,1,A",-39,1.2589254117941662e-07,0.0007185753492842559
102.59548163414001,106,"PAQUET,105,TAILLE,2,BZ",-38,1.584893192461114e-07,0.0007185753492842559
103.58598184585571,107,"PAQUET,106,TAILLE,5,HELLO",-40,1e-07,0.0007185753492842559
104.57333898544312,108,"PAQUET,107,TAILLE,15,ICI DELTA ALPHA",-38,1.584893192461114e-07,0.0007185753492842559
105.60236930847168,109,"PAQUET,108,TAILLE,1,A",-38,1.584893192461114e-07,0.0007185753492842559
106.58419418334961,110,"PAQUET,109,TAILLE,2,BZ",-38,1.584893192461114e-07,0.0007185753492842559
107.61539363861084,111,"PAQUET,110,TAILLE,5,HELLO",-35,3.162277660168379e-07,0.0007185753492842559
108.60711693763733,112,"PAQUET,111,TAILLE,15,ICI DELTA ALPHA",-24,3.981071705534969e-06,0.0007185753492842559
109.59244155883789,113,"PAQUET,112,TAILLE,1,A",-24,3.981071705534969e-06,0.0007185753492842559
110.63050103187561,114,"PAQUET,113,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
111.62253713607788,115,"PAQUET,114,TAILLE,5,HELLO",-26,2.5118864315095823e-06,0.0007185753492842559
112.56891632080078,116,"PAQUET,115,TAILLE,15,ICI DELTA ALPHA",-27,1.9952623149688787e-06,0.0007185753492842559
113.59873080253601,117,"PAQUET,116,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
114.59091329574585,118,"PAQUET,117,TAILLE,2,BZ",-24,3.981071705534969e-06,0.0007185753492842559
115.60352563858032,119,"PAQUET,118,TAILLE,5,HELLO",-24,3.981071705534969e-06,0.0007185753492842559
116.57118368148804,120,"PAQUET,119,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
117.57607698440552,121,"PAQUET,120,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
118.58242607116699,122,"PAQUET,121,TAILLE,2,BZ",-24,3.981071705534969e-06,0.0007185753492842559
119.59026980400085,123,"PAQUET,122,TAILLE,5,HELLO",-24,3.981071705534969e-06,0.0007185753492842559
120.60676598548889,124,"PAQUET,123,TAILLE,15,ICI DELTA ALPHA",-24,3.981071705534969e-06,0.0007185753492842559
121.60483527183533,125,"PAQUET,124,TAILLE,1,A",-24,3.981071705534969e-06,0.0007185753492842559
122.61342453956604,126,"PAQUET,125,TAILLE,2,BZ",-24,3.981071705534969e-06,0.0007185753492842559
123.60606050491333,127,"PAQUET,126,TAILLE,5,HELLO",-24,3.981071705534969e-06,0.0007185753492842559
124.61405920982361,128,"PAQUET,127,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
125.61589479446411,129,"PAQUET,128,TAILLE,1,A",-25,3.162277660168379e-06,0.0007185753492842559
126.57860851287842,130,"PAQUET,129,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
127.58922457695007,131,"PAQUET,130,TAILLE,5,HELLO",-23,5.011872336272725e-06,0.0007185753492842559
128.59628415107727,132,"PAQUET,131,TAILLE,15,ICI DELTA ALPHA",-25,3.162277660168379e-06,0.0007185753492842559
129.60113859176636,133,"PAQUET,132,TAILLE,1,A",-25,3.162277660168379e-06,0.0007185753492842559
130.61872959136963,134,"PAQUET,133,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
131.58012104034424,135,"PAQUET,134,TAILLE,5,HELLO",-24,3.981071705534969e-06,0.0007185753492842559
132.59105706214905,136,"PAQUET,135,TAILLE,15,ICI DELTA ALPHA",-24,3.981071705534969e-06,0.0007185753492842559
133.58694291114807,137,"PAQUET,136,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
134.57812428474426,138,"PAQUET,137,TAILLE,2,BZ",-27,1.9952623149688787e-06,0.0007185753492842559
135.61211109161377,139,"PAQUET,138,TAILLE,5,HELLO",-27,1.9952623149688787e-06,0.0007185753492842559
136.5922224521637,140,"PAQUET,139,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
137.62348198890686,141,"PAQUET,140,TAILLE,1,A",-27,1.9952623149688787e-06,0.0007185753492842559
138.6079638004303,142,"PAQUET,141,TAILLE,2,BZ",-27,1.9952623149688787e-06,0.0007185753492842559
139.59242630004883,143,"PAQUET,142,TAILLE,5,HELLO",-28,1.584893192461114e-06,0.0007185753492842559
140.62133359909058,144,"PAQUET,143,TAILLE,15,ICI DELTA ALPHA",-27,1.9952623149688787e-06,0.0007185753492842559
141.60591506958008,145,"PAQUET,144,TAILLE,1,A",-28,1.584893192461114e-06,0.0007185753492842559
142.58997225761414,146,"PAQUET,145,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
143.62351655960083,147,"PAQUET,146,TAILLE,5,HELLO",-25,3.162277660168379e-06,0.0007185753492842559
144.6045684814453,148,"PAQUET,147,TAILLE,15,ICI DELTA ALPHA",-27,1.9952623149688787e-06,0.0007185753492842559
145.64798712730408,149,"PAQUET,148,TAILLE,1,A",-26,2.5118864315095823e-06,0.0007185753492842559
146.64665532112122,150,"PAQUET,149,TAILLE,2,BZ",-26,2.5118864315095823e-06,0.0007185753492842559
147.6299352645874,151,"PAQUET,150,TAILLE,5,HELLO",-27,1.9952623149688787e-06,0.0007185753492842559
148.60925364494324,152,"PAQUET,151,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
149.60071063041687,153,"PAQUET,152,TAILLE,1,A",-27,1.9952623149688787e-06,0.0007185753492842559
150.58740878105164,154,"PAQUET,153,TAILLE,2,BZ",-27,1.9952623149688787e-06,0.0007185753492842559
151.62769412994385,155,"PAQUET,154,TAILLE,5,HELLO",-26,2.5118864315095823e-06,0.0007185753492842559
152.61009168624878,156,"PAQUET,155,TAILLE,15,ICI DELTA ALPHA",-26,2.5118864315095823e-06,0.0007185753492842559
153.6160180568695,157,"PAQUET,156,TAILLE,1,A",-24,3.981071705534969e-06,0.0007185753492842559
154.63110208511353,158,"PAQUET,157,TAILLE,2,BZ",-25,3.162277660168379e-06,0.0007185753492842559
155.60102105140686,159,"PAQUET,158,TAILLE,5,HELLO",-24,3.981071705534969e-06,0.0007185753492842559
156.60231399536133,160,"PAQUET,159,TAILLE,15,ICI DELTA ALPHA",-24,3.981071705534969e-06,0.0007185753492842559
157.60956811904907,161,"PAQUET,160,TAILLE,1,A",-25,3.162277660168379e-06,0.0007185753492842559
158.62067246437073,162,"PAQUET,161,TAILLE,2,BZ",-25,3.162277660168379e-06,0.0007185753492842559
159.58254432678223,163,"PAQUET,162,TAILLE,5,HELLO",-26,2.5118864315095823e-06,0.0007185753492842559
160.58773231506348,164,"PAQUET,163,TAILLE,15,ICI DELTA ALPHA",-25,3.162277660168379e-06,0.0007185753492842559
161.58737134933472,165,"PAQUET,164,TAILLE,1,A",-28,1.584893192461114e-06,0.0007185753492842559
