parametre;valeur
debut;2026-08-25T16:04:06.350606
motif_arret;condition d'arrêt atteinte
nombre_mesures;815
energie_totale_j;1.868791755993267e-08
simulation_activee;True
mcp3208_active;False
ble_actif;True
wifi_actif;False
lora_simulation_active;False
lora_reel_actif;False
