numero_trame,nom_appareil,mac,temps_debut_s,temps_fin_s,duree_us,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
6286,Inconnu,inconnue,1783966212.448424101,1783966212.448559999,136.000,-64,38,7,0x07,LE 1M
6287,Inconnu,inconnue,1783966212.485296965,1783966212.485432863,136.000,-64,39,7,0x07,LE 1M
6292,Inconnu,inconnue,1783966212.737164021,1783966212.737299919,136.000,-66,38,7,0x07,LE 1M
6296,Inconnu,inconnue,1783966213.035094976,1783966213.035230875,136.000,-69,39,7,0x07,LE 1M
6301,Inconnu,inconnue,1783966213.320991993,1783966213.321127892,136.000,-69,38,7,0x07,LE 1M
6302,Inconnu,inconnue,1783966213.348476887,1783966213.348612785,136.000,-69,39,7,0x07,LE 1M
6307,Inconnu,inconnue,1783966213.611609936,1783966213.611745834,136.000,-76,38,7,0x07,LE 1M
6308,Inconnu,inconnue,1783966213.637996912,1783966213.638132811,136.000,-71,39,7,0x07,LE 1M
6319,Inconnu,inconnue,1783966214.481461048,1783966214.481596947,136.000,-66,38,7,0x07,LE 1M
6320,Inconnu,inconnue,1783966214.498034000,1783966214.498169899,136.000,-71,39,7,0x07,LE 1M
6325,Inconnu,inconnue,1783966214.755280018,1783966214.755415916,136.000,-64,38,7,0x07,LE 1M
6326,Inconnu,inconnue,1783966214.786761999,1783966214.786897898,136.000,-66,39,7,0x07,LE 1M
6333,Inconnu,inconnue,1783966215.038669109,1783966215.038805008,136.000,-63,37,7,0x07,LE 1M
6339,Inconnu,inconnue,1783966215.379795074,1783966215.379930973,136.000,-67,37,7,0x07,LE 1M
6345,Inconnu,inconnue,1783966215.642302036,1783966215.642437935,136.000,-64,37,7,0x07,LE 1M
6348,Inconnu,inconnue,1783966215.928137064,1783966215.928272963,136.000,-79,37,7,0x07,LE 1M
6351,Inconnu,inconnue,1783966216.187192917,1783966216.187328815,136.000,-82,37,7,0x07,LE 1M
6354,Inconnu,inconnue,1783966216.487787008,1783966216.487922907,136.000,-83,37,7,0x07,LE 1M
6360,Inconnu,inconnue,1783966217.042052984,1783966217.042188883,136.000,-70,37,7,0x07,LE 1M
6364,Inconnu,inconnue,1783966217.321415901,1783966217.321551800,136.000,-73,38,7,0x07,LE 1M
6365,Inconnu,inconnue,1783966217.347840071,1783966217.347975969,136.000,-75,39,7,0x07,LE 1M
6373,Inconnu,inconnue,1783966217.592814922,1783966217.592950821,136.000,-73,38,7,0x07,LE 1M
6374,Inconnu,inconnue,1783966217.619702101,1783966217.619837999,136.000,-80,39,7,0x07,LE 1M
6378,Inconnu,inconnue,1783966217.894617081,1783966217.894752979,136.000,-81,37,7,0x07,LE 1M
6381,Inconnu,inconnue,1783966218.190064907,1783966218.190200806,136.000,-71,37,7,0x07,LE 1M
6384,Inconnu,inconnue,1783966218.459553957,1783966218.459689856,136.000,-72,37,7,0x07,LE 1M
6392,Inconnu,inconnue,1783966219.046610117,1783966219.046746016,136.000,-80,39,7,0x07,LE 1M
6399,Inconnu,inconnue,1783966219.363106012,1783966219.363241911,136.000,-67,37,7,0x07,LE 1M
6405,Inconnu,inconnue,1783966219.898776054,1783966219.898911953,136.000,-66,37,7,0x07,LE 1M
6411,Inconnu,inconnue,1783966220.205487013,1783966220.205622911,136.000,-66,37,7,0x07,LE 1M
6415,Inconnu,inconnue,1783966220.462697029,1783966220.462832928,136.000,-66,38,7,0x07,LE 1M
6416,Inconnu,inconnue,1783966220.483911037,1783966220.484046936,136.000,-71,39,7,0x07,LE 1M
6421,Inconnu,inconnue,1783966220.745887041,1783966220.746022940,136.000,-67,38,7,0x07,LE 1M
6422,Inconnu,inconnue,1783966220.746597052,1783966220.746732950,136.000,-72,39,7,0x07,LE 1M
6427,Inconnu,inconnue,1783966221.046279907,1783966221.046415806,136.000,-66,38,7,0x07,LE 1M
6428,Inconnu,inconnue,1783966221.075865984,1783966221.076001883,136.000,-72,39,7,0x07,LE 1M
6430,Inconnu,inconnue,1783966221.324029922,1783966221.324165821,136.000,-66,38,7,0x07,LE 1M
6431,Inconnu,inconnue,1783966221.360923052,1783966221.361058950,136.000,-72,39,7,0x07,LE 1M
6439,Inconnu,inconnue,1783966221.605519056,1783966221.605654955,136.000,-66,38,7,0x07,LE 1M
6440,Inconnu,inconnue,1783966221.638184071,1783966221.638319969,136.000,-72,39,7,0x07,LE 1M
6447,Inconnu,inconnue,1783966221.950185061,1783966221.950320959,136.000,-66,37,7,0x07,LE 1M
6451,Inconnu,inconnue,1783966222.179047108,1783966222.179183006,136.000,-66,38,7,0x07,LE 1M
6457,Inconnu,inconnue,1783966222.522252083,1783966222.522387981,136.000,-66,38,7,0x07,LE 1M
6458,Inconnu,inconnue,1783966222.554056883,1783966222.554192781,136.000,-72,39,7,0x07,LE 1M
6462,Inconnu,inconnue,1783966222.748095036,1783966222.748230934,136.000,-67,37,7,0x07,LE 1M
6465,Inconnu,inconnue,1783966223.050539017,1783966223.050674915,136.000,-66,37,7,0x07,LE 1M
6468,Inconnu,inconnue,1783966223.352046013,1783966223.352181911,136.000,-66,37,7,0x07,LE 1M
6471,Inconnu,inconnue,1783966223.622642040,1783966223.622777939,136.000,-66,37,7,0x07,LE 1M
6480,Inconnu,inconnue,1783966224.182590961,1783966224.182726860,136.000,-66,37,7,0x07,LE 1M
6483,Inconnu,inconnue,1783966224.451392889,1783966224.451528788,136.000,-67,37,7,0x07,LE 1M
6486,Inconnu,inconnue,1783966224.749768019,1783966224.749903917,136.000,-66,37,7,0x07,LE 1M
6490,Inconnu,inconnue,1783966225.063714981,1783966225.063850880,136.000,-66,38,7,0x07,LE 1M
6491,Inconnu,inconnue,1783966225.095395088,1783966225.095530987,136.000,-72,39,7,0x07,LE 1M
6496,Inconnu,inconnue,1783966225.355714083,1783966225.355849981,136.000,-66,38,7,0x07,LE 1M
6497,Inconnu,inconnue,1783966225.400919914,1783966225.401055813,136.000,-72,39,7,0x07,LE 1M
6502,Inconnu,inconnue,1783966225.632581949,1783966225.632717848,136.000,-66,38,7,0x07,LE 1M
6503,Inconnu,inconnue,1783966225.669480085,1783966225.669615984,136.000,-72,39,7,0x07,LE 1M
6510,Inconnu,inconnue,1783966225.951472044,1783966225.951607943,136.000,-66,37,7,0x07,LE 1M
6514,Inconnu,inconnue,1783966226.184484959,1783966226.184620857,136.000,-66,38,7,0x07,LE 1M
6515,Inconnu,inconnue,1783966226.215949059,1783966226.216084957,136.000,-72,39,7,0x07,LE 1M
6523,Inconnu,inconnue,1783966226.758524895,1783966226.758660793,136.000,-66,38,7,0x07,LE 1M
6524,Inconnu,inconnue,1783966226.795238972,1783966226.795374870,136.000,-71,39,7,0x07,LE 1M
6529,Inconnu,inconnue,1783966227.050046921,1783966227.050182819,136.000,-66,38,7,0x07,LE 1M
6530,Inconnu,inconnue,1783966227.093144894,1783966227.093280792,136.000,-71,39,7,0x07,LE 1M
6535,Inconnu,inconnue,1783966227.338646889,1783966227.338782787,136.000,-66,38,7,0x07,LE 1M
6538,Inconnu,inconnue,1783966227.618824959,1783966227.618960857,136.000,-66,38,7,0x07,LE 1M
6539,Inconnu,inconnue,1783966227.654639006,1783966227.654774904,136.000,-71,39,7,0x07,LE 1M
6546,Inconnu,inconnue,1783966227.986686945,1783966227.986822844,136.000,-66,37,7,0x07,LE 1M
6550,Inconnu,inconnue,1783966228.189738035,1783966228.189873934,136.000,-66,38,7,0x07,LE 1M
6551,Inconnu,inconnue,1783966228.216159105,1783966228.216295004,136.000,-72,39,7,0x07,LE 1M
6557,Inconnu,inconnue,1783966228.486670971,1783966228.486806870,136.000,-72,39,7,0x07,LE 1M
6562,Inconnu,inconnue,1783966228.760292053,1783966228.760427952,136.000,-66,38,7,0x07,LE 1M
6563,Inconnu,inconnue,1783966228.771270990,1783966228.771406889,136.000,-72,39,7,0x07,LE 1M
6569,Inconnu,inconnue,1783966229.051026106,1783966229.051162004,136.000,-72,39,7,0x07,LE 1M
6574,Inconnu,inconnue,1783966229.325879097,1783966229.326014996,136.000,-66,38,7,0x07,LE 1M
6579,Inconnu,inconnue,1783966229.665499926,1783966229.665635824,136.000,-66,37,7,0x07,LE 1M
6582,Inconnu,inconnue,1783966229.941298962,1783966229.941434860,136.000,-68,37,7,0x07,LE 1M
6585,Inconnu,inconnue,1783966230.214591980,1783966230.214727879,136.000,-69,37,7,0x07,LE 1M
6588,Inconnu,inconnue,1783966230.512696981,1783966230.512832880,136.000,-71,37,7,0x07,LE 1M
6594,Inconnu,inconnue,1783966230.777297020,1783966230.777432919,136.000,-72,37,7,0x07,LE 1M
6597,Inconnu,inconnue,1783966231.051727057,1783966231.051862955,136.000,-70,37,7,0x07,LE 1M
6603,Inconnu,inconnue,1783966231.339958906,1783966231.340094805,136.000,-69,37,7,0x07,LE 1M
6607,Inconnu,inconnue,1783966231.628539085,1783966231.628674984,136.000,-65,38,7,0x07,LE 1M
6608,Inconnu,inconnue,1783966231.665220022,1783966231.665355921,136.000,-79,39,7,0x07,LE 1M
6613,Inconnu,inconnue,1783966231.925592899,1783966231.925728798,136.000,-66,38,7,0x07,LE 1M
6614,Inconnu,inconnue,1783966231.963421106,1783966231.963557005,136.000,-77,39,7,0x07,LE 1M
6619,Inconnu,inconnue,1783966232.221704006,1783966232.221839905,136.000,-66,38,7,0x07,LE 1M
6620,Inconnu,inconnue,1783966232.253259897,1783966232.253395796,136.000,-77,39,7,0x07,LE 1M
6625,Inconnu,inconnue,1783966232.474036932,1783966232.474172831,136.000,-64,38,7,0x07,LE 1M
6626,Inconnu,inconnue,1783966232.495969057,1783966232.496104956,136.000,-72,39,7,0x07,LE 1M
6631,Inconnu,inconnue,1783966232.789764881,1783966232.789900780,136.000,-67,38,7,0x07,LE 1M
6632,Inconnu,inconnue,1783966232.816373110,1783966232.816509008,136.000,-74,39,7,0x07,LE 1M
6639,Inconnu,inconnue,1783966233.072911024,1783966233.073046923,136.000,-66,37,7,0x07,LE 1M
6649,Inconnu,inconnue,1783966233.660181999,1783966233.660317898,136.000,-65,38,7,0x07,LE 1M
6650,Inconnu,inconnue,1783966233.686676025,1783966233.686811924,136.000,-75,39,7,0x07,LE 1M
6657,Inconnu,inconnue,1783966233.961095095,1783966233.961230993,136.000,-66,37,7,0x07,LE 1M
6661,Inconnu,inconnue,1783966234.207978010,1783966234.208113909,136.000,-68,38,7,0x07,LE 1M
6662,Inconnu,inconnue,1783966234.229346037,1783966234.229481936,136.000,-75,39,7,0x07,LE 1M
6667,Inconnu,inconnue,1783966234.473748922,1783966234.473884821,136.000,-85,38,7,0x07,LE 1M
6668,Inconnu,inconnue,1783966234.502211094,1783966234.502346992,136.000,-74,39,7,0x07,LE 1M
6673,Inconnu,inconnue,1783966234.759524107,1783966234.759660006,136.000,-76,38,7,0x07,LE 1M
6674,Inconnu,inconnue,1783966234.797221899,1783966234.797357798,136.000,-77,39,7,0x07,LE 1M
6682,Inconnu,inconnue,1783966235.056938887,1783966235.057074785,136.000,-77,38,7,0x07,LE 1M
6683,Inconnu,inconnue,1783966235.089351892,1783966235.089487791,136.000,-72,39,7,0x07,LE 1M
6691,Inconnu,inconnue,1783966235.599428892,1783966235.599564791,136.000,-66,38,7,0x07,LE 1M
6693,Inconnu,inconnue,1783966235.907296896,1783966235.907432795,136.000,-75,37,7,0x07,LE 1M
6698,Inconnu,inconnue,1783966236.238162994,1783966236.238298893,136.000,-69,39,7,0x07,LE 1M
6703,Inconnu,inconnue,1783966236.483860016,1783966236.483995914,136.000,-63,38,7,0x07,LE 1M
6720,Inconnu,inconnue,1783966237.360146999,1783966237.360282898,136.000,-75,37,7,0x07,LE 1M
6730,Inconnu,inconnue,1783966237.947628975,1783966237.947764874,136.000,-74,38,7,0x07,LE 1M
6742,Inconnu,inconnue,1783966238.782130957,1783966238.782266855,136.000,-70,38,7,0x07,LE 1M
6748,Inconnu,inconnue,1783966239.090898037,1783966239.091033936,136.000,-63,38,7,0x07,LE 1M
6749,Inconnu,inconnue,1783966239.091603041,1783966239.091738939,136.000,-66,39,7,0x07,LE 1M
6754,Inconnu,inconnue,1783966239.353216887,1783966239.353352785,136.000,-56,38,7,0x07,LE 1M
6755,Inconnu,inconnue,1783966239.359272003,1783966239.359407902,136.000,-60,39,7,0x07,LE 1M
6760,Inconnu,inconnue,1783966239.632920027,1783966239.633055925,136.000,-55,38,7,0x07,LE 1M
6761,Inconnu,inconnue,1783966239.664644957,1783966239.664780855,136.000,-61,39,7,0x07,LE 1M
6769,Inconnu,inconnue,1783966240.204308987,1783966240.204444885,136.000,-55,38,7,0x07,LE 1M
6770,Inconnu,inconnue,1783966240.255593061,1783966240.255728960,136.000,-60,39,7,0x07,LE 1M
6775,Inconnu,inconnue,1783966240.489633083,1783966240.489768982,136.000,-55,38,7,0x07,LE 1M
6778,Inconnu,inconnue,1783966240.778891087,1783966240.779026985,136.000,-55,38,7,0x07,LE 1M
6779,Inconnu,inconnue,1783966240.785617113,1783966240.785753012,136.000,-60,39,7,0x07,LE 1M
6784,Inconnu,inconnue,1783966241.075999975,1783966241.076135874,136.000,-55,38,7,0x07,LE 1M
6785,Inconnu,inconnue,1783966241.118274927,1783966241.118410826,136.000,-60,39,7,0x07,LE 1M
6793,Inconnu,inconnue,1783966241.656860113,1783966241.656996012,136.000,-54,38,7,0x07,LE 1M
6802,Inconnu,inconnue,1783966242.214565992,1783966242.214701891,136.000,-55,38,7,0x07,LE 1M
6803,Inconnu,inconnue,1783966242.246293068,1783966242.246428967,136.000,-60,39,7,0x07,LE 1M
6808,Inconnu,inconnue,1783966242.507039070,1783966242.507174969,136.000,-55,38,7,0x07,LE 1M
6809,Inconnu,inconnue,1783966242.533469915,1783966242.533605814,136.000,-60,39,7,0x07,LE 1M
6814,Inconnu,inconnue,1783966242.796658039,1783966242.796793938,136.000,-55,38,7,0x07,LE 1M
6817,Inconnu,inconnue,1783966243.078188896,1783966243.078324795,136.000,-55,38,7,0x07,LE 1M
6818,Inconnu,inconnue,1783966243.104700089,1783966243.104835987,136.000,-60,39,7,0x07,LE 1M
6823,Inconnu,inconnue,1783966243.369988918,1783966243.370124817,136.000,-55,38,7,0x07,LE 1M
6831,Inconnu,inconnue,1783966243.723716974,1783966243.723852873,136.000,-55,37,7,0x07,LE 1M
6834,Inconnu,inconnue,1783966243.986073017,1783966243.986208916,136.000,-55,37,7,0x07,LE 1M
6837,Inconnu,inconnue,1783966244.262545109,1783966244.262681007,136.000,-55,37,7,0x07,LE 1M
6840,Inconnu,inconnue,1783966244.553806067,1783966244.553941965,136.000,-55,37,7,0x07,LE 1M
6843,Inconnu,inconnue,1783966244.799462080,1783966244.799597979,136.000,-55,37,7,0x07,LE 1M
6849,Inconnu,inconnue,1783966245.134980917,1783966245.135116816,136.000,-55,37,7,0x07,LE 1M
6852,Inconnu,inconnue,1783966245.367418051,1783966245.367553949,136.000,-55,37,7,0x07,LE 1M
6856,Inconnu,inconnue,1783966245.678442955,1783966245.678578854,136.000,-55,38,7,0x07,LE 1M
6857,Inconnu,inconnue,1783966245.710007906,1783966245.710143805,136.000,-60,39,7,0x07,LE 1M
6862,Inconnu,inconnue,1783966245.959291935,1783966245.959427834,136.000,-55,38,7,0x07,LE 1M
6863,Inconnu,inconnue,1783966245.991357088,1783966245.991492987,136.000,-60,39,7,0x07,LE 1M
6868,Inconnu,inconnue,1783966246.228024960,1783966246.228160858,136.000,-55,38,7,0x07,LE 1M
6869,Inconnu,inconnue,1783966246.254297972,1783966246.254433870,136.000,-60,39,7,0x07,LE 1M
6874,Inconnu,inconnue,1783966246.529695034,1783966246.529830933,136.000,-55,38,7,0x07,LE 1M
6877,Inconnu,inconnue,1783966246.801820993,1783966246.801956892,136.000,-55,38,7,0x07,LE 1M
6878,Inconnu,inconnue,1783966246.829163074,1783966246.829298973,136.000,-60,39,7,0x07,LE 1M
6883,Inconnu,inconnue,1783966247.078197956,1783966247.078333855,136.000,-55,38,7,0x07,LE 1M
6884,Inconnu,inconnue,1783966247.109983921,1783966247.110119820,136.000,-60,39,7,0x07,LE 1M
6891,Inconnu,inconnue,1783966247.390690088,1783966247.390825987,136.000,-55,37,7,0x07,LE 1M
6903,Inconnu,inconnue,1783966248.024705887,1783966248.024841785,136.000,-55,37,7,0x07,LE 1M
6907,Inconnu,inconnue,1783966248.236643076,1783966248.236778975,136.000,-55,38,7,0x07,LE 1M
6910,Inconnu,inconnue,1783966248.500677109,1783966248.500813007,136.000,-55,38,7,0x07,LE 1M
6911,Inconnu,inconnue,1783966248.527165890,1783966248.527301788,136.000,-60,39,7,0x07,LE 1M
6917,Inconnu,inconnue,1783966248.797218084,1783966248.797353983,136.000,-60,39,7,0x07,LE 1M
6923,Inconnu,inconnue,1783966249.087105036,1783966249.087240934,136.000,-60,39,7,0x07,LE 1M
6930,Inconnu,inconnue,1783966249.366236925,1783966249.366372824,136.000,-55,37,7,0x07,LE 1M
6936,Inconnu,inconnue,1783966249.651932001,1783966249.652067900,136.000,-55,37,7,0x07,LE 1M
6947,Inconnu,inconnue,1783966250.230384111,1783966250.230520010,136.000,-60,39,7,0x07,LE 1M
6952,Inconnu,inconnue,1783966250.522197008,1783966250.522332907,136.000,-55,38,7,0x07,LE 1M
6953,Inconnu,inconnue,1783966250.559128046,1783966250.559263945,136.000,-60,39,7,0x07,LE 1M
6966,Inconnu,inconnue,1783966251.127865076,1783966251.128000975,136.000,-55,37,7,0x07,LE 1M
6972,Inconnu,inconnue,1783966251.424561024,1783966251.424696922,136.000,-55,37,7,0x07,LE 1M
6981,Inconnu,inconnue,1783966251.963304996,1783966251.963440895,136.000,-55,37,7,0x07,LE 1M
6984,Inconnu,inconnue,1783966252.239712000,1783966252.239847898,136.000,-55,37,7,0x07,LE 1M
6987,Inconnu,inconnue,1783966252.519543886,1783966252.519679785,136.000,-55,37,7,0x07,LE 1M
6993,Inconnu,inconnue,1783966252.801155090,1783966252.801290989,136.000,-55,37,7,0x07,LE 1M
6996,Inconnu,inconnue,1783966253.068367004,1783966253.068502903,136.000,-55,37,7,0x07,LE 1M
7003,Inconnu,inconnue,1783966253.398036003,1783966253.398171902,136.000,-55,38,7,0x07,LE 1M
7004,Inconnu,inconnue,1783966253.424510002,1783966253.424645901,136.000,-60,39,7,0x07,LE 1M
7009,Inconnu,inconnue,1783966253.671410084,1783966253.671545982,136.000,-55,38,7,0x07,LE 1M
7010,Inconnu,inconnue,1783966253.703088045,1783966253.703223944,136.000,-60,39,7,0x07,LE 1M
