RAPPORT D'ACQUISITION BLE V4
============================

Date : 2026-07-16 15:46:14.415290
Matériel : Adafruit Bluefruit LE Sniffer nRF51822
PHY : LE 1M
Filtre : dc:a6:32:65:e5:71
Nombre d'appareils détectés : 199
Nombre de trames analysées : 503

DURÉE DES TRAMES
-----------------
Durée moyenne : 368.000 µs
Durée minimale : 368.000 µs
Durée maximale : 368.000 µs

RSSI
----
RSSI moyen : -44.27 dBm
RSSI minimal : -51 dBm
RSSI maximal : -44 dBm

RÉPARTITION PAR CANAL
---------------------
Canal 37 : 44 trames
Canal 38 : 217 trames
Canal 39 : 242 trames

APPAREILS DÉTECTÉS
-------------------
Inconnu | f1:a3:86:58:61:0c | 1 trames | RSSI moyen=-83 | Durée moyenne=192.0 µs
Inconnu | 43:9e:7c:92:82:cf | 1 trames | RSSI moyen=-82 | Durée moyenne=272.0 µs
Inconnu | f1:4b:06:fa:61:0e | 1 trames | RSSI moyen=-83 | Durée moyenne=200.0 µs
Inconnu | 43:9e:7c:b2:82:cf | 1 trames | RSSI moyen=-81 | Durée moyenne=272.0 µs
Inconnu | 64:2e:a0:6b:a1:87 | 1 trames | RSSI moyen=-97 | Durée moyenne=272.0 µs
Inconnu | 36:e7:a0:c0:d7:6d | 1 trames | RSSI moyen=-93 | Durée moyenne=536.0 µs
Inconnu | b4:e7:b0:c6:d3:6d | 1 trames | RSSI moyen=-91 | Durée moyenne=280.0 µs
Inconnu | 43:de:7c:32:80:ce | 1 trames | RSSI moyen=-94 | Durée moyenne=272.0 µs
Inconnu | 94:e7:b0:c6:d7:6d | 1 trames | RSSI moyen=-90 | Durée moyenne=280.0 µs
Inconnu | ee:23:d1:86:56:c9 | 1 trames | RSSI moyen=-89 | Durée moyenne=376.0 µs
Inconnu | 79:c0:95:e3:5c:5e | 1 trames | RSSI moyen=-92 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7d:b2:80:0e | 1 trames | RSSI moyen=-90 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7c:b2:82:ce | 1 trames | RSSI moyen=-79 | Durée moyenne=272.0 µs
Inconnu | b2:e7:b0:c6:d7:6d | 1 trames | RSSI moyen=-88 | Durée moyenne=280.0 µs
Inconnu | f1:3c:86:fc:61:0d | 1 trames | RSSI moyen=-80 | Durée moyenne=192.0 µs
