temps_s,rssi_dbm,puissance_w
0.01619243621826172,-38,1.584893192461114e-07
1.07063889503479,-40,1e-07
1.6320116519927979,-38,1.584893192461114e-07
2.232832431793213,-38,1.584893192461114e-07
2.7767841815948486,-37,1.9952623149688787e-07
3.3274848461151123,-38,1.584893192461114e-07
3.886584997177124,-34,3.981071705534969e-07
4.711845636367798,-30,1e-06
5.3758704662323,-30,1e-06
6.115252733230591,-32,6.30957344480193e-07
6.81615424156189,-32,6.30957344480193e-07
7.548193693161011,-29,1.2589254117941661e-06
8.476606130599976,-29,1.2589254117941661e-06
9.343497514724731,-32,6.30957344480193e-07
9.91218900680542,-36,2.5118864315095823e-07
10.495171785354614,-39,1.2589254117941662e-07
11.080634832382202,-36,2.5118864315095823e-07
11.66545820236206,-31,7.943282347242822e-07
12.27693247795105,-29,1.2589254117941661e-06
12.875426530838013,-29,1.2589254117941661e-06
13.476969242095947,-29,1.2589254117941661e-06
14.088904619216919,-32,6.30957344480193e-07
14.71065616607666,-32,6.30957344480193e-07
15.32582974433899,-33,5.011872336272725e-07
15.950929880142212,-33,5.011872336272725e-07
16.575312852859497,-35,3.162277660168379e-07
17.18590807914734,-38,1.584893192461114e-07
17.874215364456177,-39,1.2589254117941662e-07
18.487838983535767,-35,3.162277660168379e-07
19.101651906967163,-33,5.011872336272725e-07
19.730334281921387,-36,2.5118864315095823e-07
20.362170219421387,-37,1.9952623149688787e-07
20.993431568145752,-40,1e-07
21.573880434036255,-41,7.943282347242822e-08
22.15059995651245,-41,7.943282347242822e-08
22.72919988632202,-39,1.2589254117941662e-07
23.31022620201111,-38,1.584893192461114e-07
23.886754512786865,-35,3.162277660168379e-07
24.477866888046265,-35,3.162277660168379e-07
25.067766189575195,-31,7.943282347242822e-07
25.655866861343384,-32,6.30957344480193e-07
26.251933336257935,-32,6.30957344480193e-07
26.853986978530884,-29,1.2589254117941661e-06
27.44393491744995,-29,1.2589254117941661e-06
28.034021139144897,-30,1e-06
28.625267028808594,-31,7.943282347242822e-07
29.226496934890747,-35,3.162277660168379e-07
29.841293334960938,-38,1.584893192461114e-07
30.44519805908203,-39,1.2589254117941662e-07
31.05273461341858,-32,6.30957344480193e-07
31.659974813461304,-29,1.2589254117941661e-06
32.27978181838989,-29,1.2589254117941661e-06
