index;uuid;major;minor;address;start_epoch;end_epoch;duration_ms;interval_ms;packet_count;channels;rssi_mean;tx_power
1;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653310.894531;1784653310.894531;0.0;;1;37;-64.0;-59
2;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;62:68:02:88:d2:42;1784653311.162729;1784653311.162729;0.0;;1;37;-65.0;-56
3;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653311.194962;1784653311.194962;0.0;300.4310131072998;1;38;-64.0;-59
4;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653311.222149;1784653311.222149;0.0;27.186870574951172;1;39;-61.0;-59
5;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;62:68:02:88:d2:42;1784653311.448895;1784653311.448895;0.0;286.1659526824951;1;37;-65.0;-56
6;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;62:68:02:88:d2:42;1784653311.482704;1784653311.482704;0.0;33.80894660949707;1;38;-64.0;-56
7;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;62:68:02:88:d2:42;1784653311.504982;1784653311.504982;0.0;22.2780704498291;1;39;-62.0;-56
8;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653311.532261;1784653311.532261;0.0;310.11199951171875;1;37;-65.0;-59
9;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653311.565221;1784653311.565221;0.0;32.96017646789551;1;38;-65.0;-59
10;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653311.596331;1784653311.596331;0.0;31.10980987548828;1;39;-62.0;-59
11;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;62:68:02:88:d2:42;1784653311.76381;1784653311.76381;0.0;258.82792472839355;1;37;-66.0;-56
12;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;62:68:02:88:d2:42;1784653311.796762;1784653311.799301;2.538919448852539;32.952070236206055;2;38,39;-62.5;-56
13;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653311.839631;1784653311.839631;0.0;243.300199508667;1;37;-65.0;-59
14;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653311.877497;1784653311.877497;0.0;37.86587715148926;1;38;-65.0;-59
15;00112233-4455-6677-8899-aabbccddeeff;1;1;6c:e7:54:7c:9b:f3;1784653311.927383;1784653311.927383;0.0;49.88598823547363;1;39;-62.0;-59
16;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;62:68:02:88:d2:42;1784653312.090909;1784653312.090909;0.0;294.1470146179199;1;37;-65.0;-56
