temps_s,mode,message,rssi_dbm,puissance_w,snr_ou_intervalle,energie_totale_j
0.529914140701294,Wi-Fi 2.4 GHz,"PAQUET,2391,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-41,7.943282347242822e-08,,7.213448264916883e-05
5.602629661560059,Wi-Fi 2.4 GHz,"PAQUET,2392,TAILLE,22,Welcome to new project",-39,1.2589254117941662e-07,,7.213448264916883e-05
10.710233688354492,Wi-Fi 2.4 GHz,"PAQUET,2393,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-40,1e-07,,7.213448264916883e-05
15.793508529663086,Wi-Fi 2.4 GHz,"PAQUET,2394,TAILLE,22,Welcome to new project",-43,5.011872336272725e-08,,7.213448264916883e-05
20.43381905555725,Wi-Fi 2.4 GHz,"PAQUET,2395,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-46,2.511886431509582e-08,,7.213448264916883e-05
25.576908826828003,Wi-Fi 2.4 GHz,"PAQUET,2396,TAILLE,22,Welcome to new project",-36,2.5118864315095823e-07,,7.213448264916883e-05
31.191696643829346,Wi-Fi 2.4 GHz,"PAQUET,2397,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.213448264916883e-05
35.80517268180847,Wi-Fi 2.4 GHz,"PAQUET,2398,TAILLE,22,Welcome to new project",-39,1.2589254117941662e-07,,7.213448264916883e-05
40.40752840042114,Wi-Fi 2.4 GHz,"PAQUET,2399,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-43,5.011872336272725e-08,,7.213448264916883e-05
45.500086069107056,Wi-Fi 2.4 GHz,"PAQUET,2400,TAILLE,22,Welcome to new project",-46,2.511886431509582e-08,,7.213448264916883e-05
50.58394742012024,Wi-Fi 2.4 GHz,"PAQUET,2401,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-31,7.943282347242822e-07,,7.213448264916883e-05
55.6658091545105,Wi-Fi 2.4 GHz,"PAQUET,2402,TAILLE,22,Welcome to new project",-32,6.30957344480193e-07,,7.213448264916883e-05
60.763482093811035,Wi-Fi 2.4 GHz,"PAQUET,2403,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,7.213448264916883e-05
65.37743091583252,Wi-Fi 2.4 GHz,"PAQUET,2404,TAILLE,22,Welcome to new project",-33,5.011872336272725e-07,,7.213448264916883e-05
70.93620824813843,Wi-Fi 2.4 GHz,"PAQUET,2405,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-32,6.30957344480193e-07,,7.213448264916883e-05
75.57127928733826,Wi-Fi 2.4 GHz,"PAQUET,2406,TAILLE,22,Welcome to new project",-33,5.011872336272725e-07,,7.213448264916883e-05
80.64077138900757,Wi-Fi 2.4 GHz,"PAQUET,2407,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.213448264916883e-05
85.72532749176025,Wi-Fi 2.4 GHz,"PAQUET,2408,TAILLE,22,Welcome to new project",-31,7.943282347242822e-07,,7.213448264916883e-05
90.77050423622131,Wi-Fi 2.4 GHz,"PAQUET,2409,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-34,3.981071705534969e-07,,7.213448264916883e-05
95.854727268219,Wi-Fi 2.4 GHz,"PAQUET,2410,TAILLE,22,Welcome to new project",-33,5.011872336272725e-07,,7.213448264916883e-05
100.45145440101624,Wi-Fi 2.4 GHz,"PAQUET,2411,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-36,2.5118864315095823e-07,,7.213448264916883e-05
105.51200842857361,Wi-Fi 2.4 GHz,"PAQUET,2412,TAILLE,22,Welcome to new project",-34,3.981071705534969e-07,,7.213448264916883e-05
110.55249881744385,Wi-Fi 2.4 GHz,"PAQUET,2413,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,7.213448264916883e-05
115.60219097137451,Wi-Fi 2.4 GHz,"PAQUET,2414,TAILLE,22,Welcome to new project",-30,1e-06,,7.213448264916883e-05
120.72352290153503,Wi-Fi 2.4 GHz,"PAQUET,2415,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-34,3.981071705534969e-07,,7.213448264916883e-05
125.33280873298645,Wi-Fi 2.4 GHz,"PAQUET,2416,TAILLE,22,Welcome to new project",-32,6.30957344480193e-07,,7.213448264916883e-05
130.43781876564026,Wi-Fi 2.4 GHz,"PAQUET,2417,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,7.213448264916883e-05
135.54765605926514,Wi-Fi 2.4 GHz,"PAQUET,2418,TAILLE,22,Welcome to new project",-31,7.943282347242822e-07,,7.213448264916883e-05
140.67775774002075,Wi-Fi 2.4 GHz,"PAQUET,2419,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.213448264916883e-05
145.82635116577148,Wi-Fi 2.4 GHz,"PAQUET,2420,TAILLE,22,Welcome to new project",-32,6.30957344480193e-07,,7.213448264916883e-05
150.46154356002808,Wi-Fi 2.4 GHz,"PAQUET,2421,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-31,7.943282347242822e-07,,7.213448264916883e-05
