temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
0.012437582015991211,Wi-Fi 2.4 GHz,"PAQUET,257,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,3.148991254836472e-05
0.6053054332733154,Wi-Fi 2.4 GHz,"PAQUET,258,TAILLE,22,Welcome to new project",-30,1e-06,,3.148991254836472e-05
1.1927027702331543,Wi-Fi 2.4 GHz,"PAQUET,259,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,3.148991254836472e-05
1.7659800052642822,Wi-Fi 2.4 GHz,"PAQUET,260,TAILLE,22,Welcome to new project",-30,1e-06,,3.148991254836472e-05
2.3753838539123535,Wi-Fi 2.4 GHz,"PAQUET,261,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,3.148991254836472e-05
2.9391918182373047,Wi-Fi 2.4 GHz,"PAQUET,262,TAILLE,22,Welcome to new project",-30,1e-06,,3.148991254836472e-05
3.5323355197906494,Wi-Fi 2.4 GHz,"PAQUET,263,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,3.148991254836472e-05
4.140766859054565,Wi-Fi 2.4 GHz,"PAQUET,264,TAILLE,22,Welcome to new project",-30,1e-06,,3.148991254836472e-05
4.686126232147217,Wi-Fi 2.4 GHz,"PAQUET,265,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,3.148991254836472e-05
5.229345798492432,Wi-Fi 2.4 GHz,"PAQUET,266,TAILLE,22,Welcome to new project",-30,1e-06,,3.148991254836472e-05
5.782403945922852,Wi-Fi 2.4 GHz,"PAQUET,267,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,3.148991254836472e-05
6.375776290893555,Wi-Fi 2.4 GHz,"PAQUET,268,TAILLE,22,Welcome to new project",-30,1e-06,,3.148991254836472e-05
6.934097766876221,Wi-Fi 2.4 GHz,"PAQUET,269,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-29,1.2589254117941661e-06,,3.148991254836472e-05
7.5134806632995605,Wi-Fi 2.4 GHz,"PAQUET,270,TAILLE,22,Welcome to new project",-29,1.2589254117941661e-06,,3.148991254836472e-05
8.108319759368896,Wi-Fi 2.4 GHz,"PAQUET,271,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-29,1.2589254117941661e-06,,3.148991254836472e-05
8.74119782447815,Wi-Fi 2.4 GHz,"PAQUET,272,TAILLE,22,Welcome to new project",-29,1.2589254117941661e-06,,3.148991254836472e-05
9.28293490409851,Wi-Fi 2.4 GHz,"PAQUET,273,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,3.148991254836472e-05
9.829154014587402,Wi-Fi 2.4 GHz,"PAQUET,274,TAILLE,22,Welcome to new project",-29,1.2589254117941661e-06,,3.148991254836472e-05
10.387744188308716,Wi-Fi 2.4 GHz,"PAQUET,275,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-29,1.2589254117941661e-06,,3.148991254836472e-05
10.947628021240234,Wi-Fi 2.4 GHz,"PAQUET,277,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-30,1e-06,,3.148991254836472e-05
