numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
11693,1784084885.101258993,1784084885.101634979,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11694,1784084885.140418053,1784084885.140722036,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11695,1784084885.162259102,1784084885.162635088,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11696,1784084885.178700924,1784084885.179076910,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11697,1784084885.206712008,1784084885.207087994,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11698,1784084885.229398012,1784084885.229533911,136.000,inconnue,-50,37,7,0x07,LE 1M
11699,1784084885.259450912,1784084885.259826899,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11700,1784084885.299993992,1784084885.300297976,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11701,1784084885.333185911,1784084885.333489895,304.000,45:ed:1f:7e:01:34,-60,37,28,0x00,LE 1M
11702,1784084885.361567974,1784084885.361943960,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11703,1784084885.375969887,1784084885.376105785,136.000,inconnue,-68,39,7,0x07,LE 1M
11704,1784084885.419723034,1784084885.420099020,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11705,1784084885.452193975,1784084885.452569962,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11706,1784084885.479127884,1784084885.479503870,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11707,1784084885.510677099,1784084885.510812998,136.000,inconnue,-50,37,7,0x07,LE 1M
11708,1784084885.532301903,1784084885.532605886,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11709,1784084885.554611921,1784084885.554803848,192.000,fb:6d:cd:74:f9:a9,-78,39,14,0x02,LE 1M
11710,1784084885.581286907,1784084885.581662893,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11711,1784084885.613471031,1784084885.613847017,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11712,1784084885.645165920,1784084885.645445824,280.000,6c:8d:f0:9a:d6:f2,-79,39,25,0x00,LE 1M
11713,1784084885.671848059,1784084885.672192097,344.000,e1:1f:39:f2:f8:45,-84,37,33,0x00,LE 1M
11714,1784084885.689060926,1784084885.689436913,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11715,1784084885.710691929,1784084885.711067915,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11716,1784084885.749696016,1784084885.749975920,280.000,63:01:49:29:80:f1,-81,37,25,0x00,LE 1M
11717,1784084885.782031059,1784084885.782166958,136.000,inconnue,-50,38,7,0x07,LE 1M
11718,1784084885.820223093,1784084885.820358992,136.000,inconnue,-67,39,7,0x07,LE 1M
11719,1784084885.848994017,1784084885.849298000,304.000,45:ed:1f:7e:01:34,-60,37,28,0x00,LE 1M
11720,1784084885.867449045,1784084885.867825031,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11721,1784084885.917054892,1784084885.917430878,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11722,1784084885.945190907,1784084885.945566893,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11723,1784084885.964643002,1784084885.965018988,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11724,1784084885.992451906,1784084885.992587805,136.000,inconnue,-67,39,7,0x07,LE 1M
11725,1784084886.027096033,1784084886.027472019,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11726,1784084886.053888083,1784084886.054192066,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11727,1784084886.077785015,1784084886.078088999,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11728,1784084886.089232922,1784084886.089512825,280.000,6c:8d:f0:9a:d6:f2,-73,37,25,0x00,LE 1M
11729,1784084886.122783899,1784084886.123159885,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11730,1784084886.139273882,1784084886.139649868,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11731,1784084886.155739069,1784084886.156115055,376.000,f6:7b:cc:3c:84:f1,-77,37,37,0x02,LE 1M
11732,1784084886.177262068,1784084886.177397966,136.000,inconnue,-49,38,7,0x07,LE 1M
11733,1784084886.210035086,1784084886.210170984,136.000,inconnue,-67,39,7,0x07,LE 1M
11734,1784084886.238868952,1784084886.239244938,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11735,1784084886.260699987,1784084886.261075974,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11736,1784084886.282177925,1784084886.282449961,272.000,41:ab:00:75:3b:aa,-91,39,24,0x00,LE 1M
11737,1784084886.303745031,1784084886.304017067,272.000,42:57:c9:d0:83:51,-77,37,24,0x00,LE 1M
11738,1784084886.341907024,1784084886.342211008,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11739,1784084886.365267992,1784084886.365643978,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11740,1784084886.411109924,1784084886.411245823,136.000,inconnue,-50,37,7,0x07,LE 1M
11741,1784084886.434895992,1784084886.435271978,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11742,1784084886.460799932,1784084886.461079836,280.000,6c:8d:f0:9a:d6:f2,-78,39,25,0x00,LE 1M
11743,1784084886.494791985,1784084886.495167971,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11744,1784084886.522490025,1784084886.522866011,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11745,1784084886.556494951,1784084886.556798935,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11746,1784084886.599180937,1784084886.599460840,280.000,63:01:49:29:80:f1,-82,37,25,0x00,LE 1M
11747,1784084886.620595932,1784084886.620731831,136.000,inconnue,-49,38,7,0x07,LE 1M
11748,1784084886.647517920,1784084886.647653818,136.000,inconnue,-67,39,7,0x07,LE 1M
11749,1784084886.665301085,1784084886.665677071,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11750,1784084886.705358982,1784084886.705734968,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11751,1784084886.749444008,1784084886.749819994,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11752,1784084886.784601927,1784084886.784737825,136.000,inconnue,-50,37,7,0x07,LE 1M
11753,1784084886.818196058,1784084886.818500042,304.000,45:ed:1f:7e:01:34,-57,38,28,0x00,LE 1M
11754,1784084886.847105980,1784084886.847481966,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11755,1784084886.879740953,1784084886.880020857,280.000,6c:8d:f0:9a:d6:f2,-73,37,25,0x00,LE 1M
11756,1784084886.911607027,1784084886.911886930,280.000,6c:8d:f0:9a:d6:f1,-75,38,25,0x00,LE 1M
11757,1784084886.933270931,1784084886.933550835,280.000,6c:8d:f0:9a:d6:f2,-78,39,25,0x00,LE 1M
11758,1784084886.966245890,1784084886.966621876,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11759,1784084886.994786978,1784084886.995162964,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11760,1784084887.017617941,1784084887.017993927,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11761,1784084887.052355051,1784084887.052490950,136.000,inconnue,-50,37,7,0x07,LE 1M
11762,1784084887.079237938,1784084887.079613924,376.000,e0:90:b5:2d:f2:73,-56,38,37,0x00,LE 1M
11763,1784084887.100985050,1784084887.101289034,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11764,1784084887.123193026,1784084887.123497009,304.000,45:ed:1f:7e:01:34,-60,37,28,0x00,LE 1M
11765,1784084887.146222115,1784084887.146526098,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11766,1784084887.181525946,1784084887.181901932,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11767,1784084887.204263926,1784084887.204639912,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11768,1784084887.236380100,1784084887.236756086,376.000,e0:90:b5:2d:f2:73,-57,38,37,0x00,LE 1M
11769,1784084887.252898932,1784084887.253106833,208.000,42:5a:69:d0:83:07,-96,39,16,0x00,LE 1M
11770,1784084887.290987968,1784084887.291123867,136.000,inconnue,-50,37,7,0x07,LE 1M
11771,1784084887.308852911,1784084887.309228897,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11772,1784084887.347661972,1784084887.348037958,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11773,1784084887.375627995,1784084887.376003981,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11774,1784084887.420028925,1784084887.420332909,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11775,1784084887.448550940,1784084887.448854923,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11776,1784084887.481437922,1784084887.481741905,304.000,45:ed:1f:7e:01:34,-59,37,28,0x00,LE 1M
11777,1784084887.508595943,1784084887.508971930,376.000,e0:90:b5:2d:f2:73,-56,38,37,0x00,LE 1M
11778,1784084887.540651083,1784084887.541027069,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11779,1784084887.572469950,1784084887.572605848,136.000,inconnue,-50,37,7,0x07,LE 1M
11780,1784084887.600225925,1784084887.600601912,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11781,1784084887.648518085,1784084887.648797989,280.000,63:00:49:29:80:f1,-96,39,25,0x00,LE 1M
11782,1784084887.674637079,1784084887.675013065,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11783,1784084887.703561068,1784084887.703937054,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11784,1784084887.737293005,1784084887.737668991,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11785,1784084887.766244888,1784084887.766516924,272.000,42:57:c9:d0:83:51,-78,37,24,0x00,LE 1M
11786,1784084887.788628101,1784084887.788900137,272.000,42:57:c9:d0:83:4e,-75,38,24,0x00,LE 1M
11787,1784084887.815773964,1784084887.815965891,192.000,f6:8d:7e:ff:52:32,-75,39,14,0x02,LE 1M
11788,1784084887.847583055,1784084887.847887039,304.000,45:ed:1f:7e:01:34,-60,37,28,0x00,LE 1M
11789,1784084887.874326944,1784084887.874702930,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11790,1784084887.906052113,1784084887.906188011,136.000,inconnue,-67,39,7,0x07,LE 1M
11791,1784084887.928283930,1784084887.928659916,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11792,1784084887.970381021,1784084887.970757008,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11793,1784084888.004581928,1784084888.004861832,280.000,6c:8d:f0:9a:d6:f2,-78,39,25,0x00,LE 1M
11794,1784084888.039608955,1784084888.039984941,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11795,1784084888.061491013,1784084888.061626911,136.000,inconnue,-50,38,7,0x07,LE 1M
11796,1784084888.093421936,1784084888.093557835,136.000,inconnue,-66,39,7,0x07,LE 1M
11797,1784084888.126327038,1784084888.126631021,304.000,45:ed:1f:7e:01:34,-60,37,28,0x00,LE 1M
11798,1784084888.163532972,1784084888.163836956,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11799,1784084888.196544886,1784084888.196920872,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11800,1784084888.235739946,1784084888.236011982,272.000,42:57:c9:d0:83:51,-77,37,24,0x00,LE 1M
