numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,2.923496723175049,5.400052547454834,2.476555824279785,-26.8,2.0892961308540407e-06,5.174258501511794e-06
2,6.357046127319336,8.348406314849854,1.9913601875305176,-29.0,1.2589254117941661e-06,2.5069739441173647e-06
3,9.263007879257202,9.728361368179321,0.46535348892211914,-29.0,1.2589254117941661e-06,5.858453326711308e-07
4,10.196331977844238,11.600697755813599,1.4043657779693604,-29.0,1.2589254117941661e-06,1.7679917653397114e-06
5,12.081295728683472,13.054313659667969,0.9730179309844971,-29.0,1.2589254117941661e-06,1.2249569994477654e-06
6,14.032744646072388,16.538077354431152,2.5053327083587646,-29.0,1.2589254117941661e-06,3.1540270115519513e-06
7,17.110996961593628,21.28474187850952,4.1737449169158936,-29.0,1.2589254117941661e-06,5.2544335382521485e-06
8,22.296439170837402,23.311764240264893,1.0153250694274902,-29.0,1.2589254117941661e-06,1.2782185311339435e-06
9,24.281766653060913,25.303950548171997,1.022183895111084,-29.0,1.2589254117941661e-06,1.2868532810820861e-06
10,27.29496717453003,28.300413370132446,1.005446195602417,-29.0,1.2589254117941661e-06,1.2657817658356506e-06
11,29.272361278533936,33.29930233955383,4.0269410610198975,-29.0,1.2589254117941661e-06,5.06961843351531e-06
12,35.29616379737854,41.26827573776245,5.972111940383911,-29.0,1.2589254117941661e-06,7.518443483828672e-06
13,42.281769037246704,43.292181968688965,1.0104129314422607,-29.0,1.2589254117941661e-06,1.2720345157980986e-06
14,45.32181358337402,49.26370596885681,3.941892385482788,-29.0,1.2589254117941661e-06,4.962548494642207e-06
15,53.30302548408508,54.31515049934387,1.012125015258789,-29.0,1.2589254117941661e-06,1.2741899016218477e-06
16,56.30806756019592,57.28217172622681,0.9741041660308838,-29.0,1.2589254117941661e-06,1.226324488350843e-06
17,58.2675404548645,59.271570444107056,1.0040299892425537,-29.0,1.2589254117941661e-06,1.263998867660874e-06
18,60.36312770843506,61.30050086975098,0.937373161315918,-29.0,1.2589254117941661e-06,1.1800828931144414e-06
19,64.3037097454071,66.3223249912262,2.018615245819092,-29.0,1.2589254117941661e-06,2.541286029596782e-06
20,68.31001019477844,69.31091022491455,1.0009000301361084,-29.0,1.2589254117941661e-06,1.2600584826038936e-06
21,71.28010272979736,72.27801823616028,0.997915506362915,-29.0,1.2589254117941661e-06,1.2563011897837165e-06
22,79.30273628234863,80.29788851737976,0.9951522350311279,-29.0,1.2589254117941661e-06,1.2528224372844475e-06
23,84.29660201072693,103.286874294281,18.990272283554077,-28.894736842105264,1.2898117108261278e-06,2.449387558310488e-05
