numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_brut_dbm;rssi_calibre_dbm;offset_db;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
198;1784722446.656716108;171.660354;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722446.657060146;26.528;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
199;1784722446.888202906;171.891841;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722446.888546944;231.487;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
200;1784722446.914968967;171.918607;67:08:db:54:3a:39;33;0x00;-70;-70.00;0.00;39;344.000;1784722446.915313005;26.766;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
201;1784722447.205632925;172.209271;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722447.205976963;290.664;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
202;1784722447.237104893;172.240743;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722447.237448931;31.472;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
203;1784722447.263768911;172.267407;67:08:db:54:3a:39;33;0x00;-70;-70.00;0.00;39;344.000;1784722447.264112949;26.664;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
204;1784722447.759798050;172.763436;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722447.760142088;496.029;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
205;1784722447.781148911;172.784787;67:08:db:54:3a:39;33;0x00;-70;-70.00;0.00;39;344.000;1784722447.781492949;21.351;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
206;1784722448.046017885;173.049656;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722448.046361923;264.869;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
207;1784722448.072380066;173.076018;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722448.072724104;26.362;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
208;1784722448.336165905;173.339804;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722448.336509943;263.786;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
209;1784722448.362493038;173.366131;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722448.362837076;26.327;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
210;1784722448.399405956;173.403044;67:08:db:54:3a:39;33;0x00;-70;-70.00;0.00;39;344.000;1784722448.399749994;36.913;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
211;1784722448.613965034;173.617603;67:08:db:54:3a:39;33;0x00;-65;-65.00;0.00;37;344.000;1784722448.614309072;214.559;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
212;1784722448.640378952;173.644017;67:08:db:54:3a:39;33;0x00;-61;-61.00;0.00;38;344.000;1784722448.640722990;26.414;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
213;1784722448.677115917;173.680754;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722448.677459955;36.737;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
214;1784722448.887034893;173.890673;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722448.887378931;209.919;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
215;1784722448.913436890;173.917075;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722448.913780928;26.402;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
216;1784722448.955491066;173.959129;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722448.955835104;42.054;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
217;1784722449.253261089;174.256899;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722449.253605127;297.770;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
218;1784722449.269817114;174.273455;67:08:db:54:3a:39;33;0x00;-72;-72.00;0.00;39;344.000;1784722449.270161152;16.556;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
